Task,Story_CodeFirst_Naive,Exec_CodeFirst_Naive,Story_CodeFirst_Dynamic,Exec_CodeFirst_Dynamic,Story_CommentFirst_Naive,Exec_CommentFirst_Naive,Story_CommentFirst_Dynamic,Exec_CommentFirst_Dynamic
Task1CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task1CP,-230.6,-210.1,-141.4,-97.8,-230.6,-209.6,-138.9,-95.8
Task2CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task2CP,-256.8,-222.3,-157.9,-129.1,-256.3,-223.8,-157.0,-130.4
Task3CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task3CP,-258.2,-201.2,-145.6,-123.0,-259.2,-204.7,-156.9,-129.5
Task4CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task4CP,-207.3,-117.8,-137.6,-77.3,-206.3,-117.3,-139.5,-80.3
Task5CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task5CP,-285.2,-155.2,-173.3,-99.1,-284.7,-155.7,-173.7,-96.8
Task6CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task6CP,-202.7,-94.2,-148.9,-88.3,-203.7,-95.2,-153.5,-91.3
Task7CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task7CP,-181.5,-137.0,-88.0,-64.0,-180.0,-134.5,-83.5,-62.5
Task8CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task8CP,-142.3,-109.8,-86.5,-78.1,-140.8,-110.8,-85.2,-78.6
Task9CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task9CP,-129.2,-55.7,-64.7,-48.3,-129.2,-55.7,-69.2,-49.8
Task10CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task10CP,-87.2,-95.7,-56.2,-51.5,-89.2,-96.7,-60.2,-52.9
Task11CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task11CP,-198.4,-134.4,-119.0,-109.7,-197.9,-138.4,-126.3,-116.2
Task12CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task12CP,-31.9,-39.9,-12.5,-21.3,-30.4,-37.9,-11.4,-20.7
