Participant,Task,Type,VerticalNext,VerticalLater,Regression,HorizontalLater,LineRegression,SaccadeLength
615db7bf,Task1CM,CM,0.18,0.17,0.31,0.1,0.08,40.18
f9ec2bc7,Task1CM,CM,0.14,0.15,0.31,0.15,0.18,42.04
dac593bd,Task1CM,CM,0.1,0.18,0.29,0.15,0.12,37.06
b1c5e27d,Task1CM,CM,0.13,0.2,0.33,0.14,0.13,29.13
967a04d0,Task1CM,CM,0.14,0.17,0.32,0.17,0.16,31.95
66b337a9,Task1CM,CM,0.2,0.09,0.27,0.17,0.17,43.26
45c939e2,Task1CM,CM,0.15,0.17,0.26,0.2,0.13,38.77
ba88bf04,Task1CM,CM,0.22,0.16,0.29,0.18,0.14,32.34
782b7c64,Task1CM,CM,0.12,0.12,0.25,0.19,0.18,32.81
4d750b0b,Task1CM,CM,0.14,0.18,0.35,0.15,0.13,38.85
1ce913d5,Task1CP,CP,0.18,0.14,0.33,0.14,0.15,41.58
9679a6e6,Task1CP,CP,0.14,0.15,0.35,0.19,0.16,62.17
625d844e,Task1CP,CP,0.14,0.13,0.27,0.22,0.19,45.29
1de0f518,Task1CP,CP,0.13,0.11,0.26,0.22,0.15,45.23
1d1071e4,Task1CP,CP,0.15,0.09,0.24,0.23,0.21,37.06
cb039d67,Task1CP,CP,0.17,0.11,0.2,0.27,0.12,31.68
5e4ae544,Task1CP,CP,0.15,0.19,0.31,0.2,0.13,34.55
dfab1ede,Task1CP,CP,0.11,0.15,0.28,0.2,0.16,35.14
9a43cae5,Task1CP,CP,0.16,0.15,0.28,0.17,0.17,33.36
66310afd,Task1CP,CP,0.2,0.09,0.25,0.24,0.14,44.54
615db7bf,Task2CM,CM,0.15,0.18,0.29,0.16,0.12,50.66
f9ec2bc7,Task2CM,CM,0.11,0.16,0.3,0.14,0.17,38.36
dac593bd,Task2CM,CM,0.15,0.16,0.26,0.15,0.14,56.02
b1c5e27d,Task2CM,CM,0.12,0.16,0.35,0.15,0.14,31.54
967a04d0,Task2CM,CM,0.14,0.19,0.3,0.15,0.12,63.1
66b337a9,Task2CM,CM,0.15,0.14,0.3,0.18,0.15,42.83
45c939e2,Task2CM,CM,0.13,0.21,0.28,0.15,0.14,34.58
ba88bf04,Task2CM,CM,0.13,0.16,0.41,0.18,0.11,38.22
782b7c64,Task2CM,CM,0.1,0.21,0.31,0.16,0.1,57.87
