Participant,Type,VerticalNext,VerticalLater,Regression,HorizontalLater,LineRegression,SaccadeLength
1ce913d5,CM,0.2,0.1,0.29,0.14,0.15,37.9
1ce913d5,CP,0.16,0.12,0.28,0.21,0.18,40.42
1d1071e4,CM,0.18,0.11,0.28,0.18,0.16,36.83
1d1071e4,CP,0.17,0.1,0.26,0.23,0.17,37.55
1de0f518,CM,0.13,0.13,0.25,0.16,0.15,45.01
1de0f518,CP,0.12,0.12,0.26,0.22,0.16,37.62
45c939e2,CM,0.16,0.16,0.26,0.2,0.15,39.65
45c939e2,CP,0.12,0.14,0.23,0.21,0.15,39.85
4d750b0b,CM,0.14,0.17,0.33,0.16,0.14,59.64
4d750b0b,CP,0.12,0.15,0.29,0.16,0.13,56.0
5e4ae544,CM,0.13,0.13,0.25,0.14,0.13,40.47
5e4ae544,CP,0.14,0.14,0.27,0.23,0.16,37.79
615db7bf,CM,0.14,0.17,0.29,0.15,0.15,51.21
615db7bf,CP,0.16,0.1,0.24,0.23,0.16,40.89
625d844e,CM,0.15,0.12,0.28,0.18,0.14,43.27
625d844e,CP,0.15,0.12,0.26,0.24,0.19,55.86
66310afd,CM,0.13,0.12,0.26,0.18,0.18,50.34
66310afd,CP,0.16,0.11,0.26,0.24,0.17,46.82
66b337a9,CM,0.16,0.13,0.31,0.17,0.16,44.46
66b337a9,CP,0.13,0.1,0.24,0.23,0.18,44.58
782b7c64,CM,0.12,0.18,0.29,0.16,0.16,40.82
782b7c64,CP,0.13,0.12,0.23,0.25,0.15,34.88
9679a6e6,CM,0.16,0.12,0.25,0.16,0.16,54.53
9679a6e6,CP,0.14,0.12,0.26,0.23,0.19,58.03
967a04d0,CM,0.15,0.16,0.3,0.17,0.16,42.7
967a04d0,CP,0.13,0.12,0.25,0.22,0.18,41.38
9a43cae5,CM,0.15,0.11,0.24,0.2,0.18,39.41
9a43cae5,CP,0.16,0.13,0.27,0.22,0.16,36.59
b1c5e27d,CM,0.14,0.18,0.34,0.15,0.14,32.57
b1c5e27d,CP,0.14,0.14,0.27,0.21,0.14,33.93
ba88bf04,CM,0.17,0.16,0.32,0.2,0.14,33.47
ba88bf04,CP,0.15,0.15,0.26,0.29,0.15,35.76
cb039d67,CM,0.11,0.15,0.3,0.13,0.11,51.94
cb039d67,CP,0.15,0.12,0.24,0.27,0.14,36.34
dac593bd,CM,0.13,0.16,0.28,0.18,0.15,40.97
dac593bd,CP,0.12,0.12,0.23,0.26,0.16,43.14
dfab1ede,CM,0.12,0.15,0.27,0.15,0.13,36.1
dfab1ede,CP,0.13,0.13,0.26,0.2,0.16,38.48
f9ec2bc7,CM,0.14,0.14,0.3,0.17,0.18,40.91
f9ec2bc7,CP,0.16,0.11,0.27,0.19,0.13,35.18
