Participant,Type,Story_CodeFirst_Naive,Exec_CodeFirst_Naive,Story_CodeFirst_Dynamic,Story_CodeFirst_Dynamic_Reps,Exec_CodeFirst_Dynamic,Exec_CodeFirst_Dynamic_Reps,Story_CommentFirst_Naive,Exec_CommentFirst_Naive,Story_CommentFirst_Dynamic,Story_CommentFirst_Dynamic_Reps,Exec_CommentFirst_Dynamic,Exec_CommentFirst_Dynamic_Reps,Story_CodeOnly_Naive,Exec_CodeOnly_Naive,Story_CodeOnly_Dynamic,Story_CodeOnly_Dynamic_Reps,Exec_CodeOnly_Dynamic,Exec_CodeOnly_Dynamic_Reps,Story_Global_Naive,Exec_Global_Naive,Story_Global_Dynamic,Story_Global_Dynamic_Reps,Exec_Global_Dynamic,Exec_Global_Dynamic_Reps
1ce913d5,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-294.5,-207.83,-125.83,19.33,78.83,7.83,-294.5,-207.83,-125.83,19.33,78.83,7.83
1ce913d5,CP,-214.5,-171.67,-150.67,7.0,-92.5,4.5,-214.5,-173.33,-152.0,7.5,-97.5,4.5,-239.83,-173.17,-126.83,11.67,-27.5,7.0,-225.33,-148.17,-95.5,13.5,21.5,7.0
1d1071e4,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-315.5,-237.17,-79.17,20.83,51.0,11.5,-315.5,-237.17,-79.17,20.83,51.0,11.5
1d1071e4,CP,-347.83,-247.5,-206.5,9.83,-140.0,5.0,-349.5,-242.5,-214.83,9.67,-142.83,4.83,-371.5,-241.5,-177.33,16.17,-58.33,6.67,-352.5,-217.0,-121.33,18.83,25.0,7.83
1de0f518,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.5,-135.33,-55.5,16.5,-2.5,6.5,-209.5,-135.33,-55.5,16.5,-2.5,6.5
1de0f518,CP,-327.5,-269.67,-223.83,9.0,-171.67,4.33,-328.33,-266.33,-225.33,9.5,-168.0,4.33,-341.17,-261.17,-163.17,17.5,-80.83,6.83,-326.0,-240.5,-123.5,18.67,-37.0,7.33
45c939e2,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-93.67,-60.83,2.83,8.0,8.0,3.83,-93.67,-60.83,2.83,8.0,8.0,3.83
45c939e2,CP,-55.5,-36.83,-18.67,3.83,-22.5,1.67,-54.67,-37.67,-17.83,3.83,-21.67,1.67,-68.33,-47.5,-22.83,5.5,-14.17,3.0,-54.5,-25.33,2.0,6.17,16.5,3.0
4d750b0b,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.17,-119.83,-69.83,13.33,32.0,5.17,-195.17,-119.83,-69.83,13.33,32.0,5.17
4d750b0b,CP,-110.33,-87.5,-77.33,3.33,-56.67,2.83,-107.0,-85.83,-73.33,3.5,-53.5,2.67,-117.33,-86.5,-59.0,9.33,-26.83,4.67,-110.67,-71.5,-42.17,9.33,-2.5,4.83
5e4ae544,CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-110.33,-59.5,-31.67,8.67,13.33,4.67,-110.33,-59.5,-31.67,8.67,13.33,4.67
