Task,Story_CodeFirst_Naive,Exec_CodeFirst_Naive,Story_CodeFirst_Dynamic,Story_CodeFirst_Dynamic_Reps,Exec_CodeFirst_Dynamic,Exec_CodeFirst_Dynamic_Reps,Story_CommentFirst_Naive,Exec_CommentFirst_Naive,Story_CommentFirst_Dynamic,Story_CommentFirst_Dynamic_Reps,Exec_CommentFirst_Dynamic,Exec_CommentFirst_Dynamic_Reps,Story_CodeOnly_Naive,Exec_CodeOnly_Naive,Story_CodeOnly_Dynamic,Story_CodeOnly_Dynamic_Reps,Exec_CodeOnly_Dynamic,Exec_CodeOnly_Dynamic_Reps,Story_Global_Naive,Exec_Global_Naive,Story_Global_Dynamic,Story_Global_Dynamic_Reps,Exec_Global_Dynamic,Exec_Global_Dynamic_Reps
Task1CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171.4,-151.4,-48.4,10.4,1.0,8.6,-171.4,-151.4,-48.4,10.4,1.0,8.6
Task1CP,-230.6,-210.1,-141.4,8.4,-97.8,7.9,-230.6,-209.6,-138.9,8.9,-95.8,7.9,-244.1,-220.1,-100.1,13.4,-17.9,11.3,-230.9,-207.9,-65.4,14.9,11.4,11.2
Task2CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-174.1,-143.1,-21.0,11.9,-7.1,6.1,-174.1,-143.1,-21.0,11.9,-7.1,6.1
Task2CP,-256.8,-222.3,-157.9,9.9,-129.1,4.8,-256.3,-223.8,-157.0,10.3,-130.4,5.1,-272.8,-229.8,-110.3,13.5,-60.8,7.8,-261.3,-218.3,-82.4,14.1,-6.8,9.1
Task3CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159.6,-82.1,-34.0,11.4,45.5,5.1,-159.6,-82.1,-34.0,11.4,45.5,5.1
Task3CP,-258.2,-201.2,-145.6,7.9,-123.0,3.8,-259.2,-204.7,-156.9,7.7,-129.5,3.8,-288.7,-236.7,-153.2,11.5,-141.8,4.6,-264.4,-197.4,-72.1,16.6,-36.6,6.3
Task4CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.4,-65.9,-48.3,10.1,-4.6,3.3,-149.4,-65.9,-48.3,10.1,-4.6,3.3
Task4CP,-207.3,-117.8,-137.6,6.1,-77.3,2.0,-206.3,-117.3,-139.5,5.9,-80.3,2.0,-223.3,-120.8,-116.6,12.2,-48.9,3.4,-205.7,-96.2,-87.1,12.6,-9.8,3.9
Task5CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-278.5,-144.0,-79.8,15.9,60.5,4.5,-278.5,-144.0,-79.8,15.9,60.5,4.5
Task5CP,-285.2,-155.2,-173.3,7.6,-99.1,2.3,-284.7,-155.7,-173.7,8.0,-96.8,2.2,-308.2,-170.2,-154.5,13.9,-45.7,3.5,-283.4,-134.4,-97.1,16.6,38.3,4.1
