,CM,CP
Story_CodeFirst_Naive,0.0,-184.28
Exec_CodeFirst_Naive,0.0,-131.11
Story_CodeFirst_Dynamic,0.0,-110.97
Story_CodeFirst_Dynamic_Reps,0.0,6.36
Exec_CodeFirst_Dynamic,0.0,-82.29
Exec_CodeFirst_Dynamic_Reps,0.0,3.24
Story_CommentFirst_Naive,0.0,-184.02
Exec_CommentFirst_Naive,0.0,-131.69
Story_CommentFirst_Dynamic,0.0,-112.94
Story_CommentFirst_Dynamic_Reps,0.0,6.37
Exec_CommentFirst_Dynamic,0.0,-83.73
Exec_CommentFirst_Dynamic_Reps,0.0,3.25
Story_CodeOnly_Naive,-182.95,-201.15
Exec_CodeOnly_Naive,-107.99,-137.65
Story_CodeOnly_Dynamic,-49.25,-98.64
Story_CodeOnly_Dynamic_Reps,12.58,10.85
Exec_CodeOnly_Dynamic,18.27,-48.25
Exec_CodeOnly_Dynamic_Reps,5.48,4.98
Story_Global_Naive,-182.95,-184.67
Exec_Global_Naive,-107.99,-112.46
Story_Global_Dynamic,-49.25,-59.8
Story_Global_Dynamic_Reps,12.58,12.34
Exec_Global_Dynamic,18.27,4.46
Exec_Global_Dynamic_Reps,5.48,5.45
