Task,Story_CodeFirst_Naive,Exec_CodeFirst_Naive,Story_CodeFirst_Dynamic,Exec_CodeFirst_Dynamic,Story_CommentFirst_Naive,Exec_CommentFirst_Naive,Story_CommentFirst_Dynamic,Exec_CommentFirst_Dynamic,Story_CodeOnly_Naive,Exec_CodeOnly_Naive,Story_CodeOnly_Dynamic,Exec_CodeOnly_Dynamic,Story_Global_Naive,Exec_Global_Naive,Story_Global_Dynamic,Exec_Global_Dynamic
Task1CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-171.4,-151.4,-48.4,1.0,-171.4,-151.4,-48.4,1.0
Task1CP,-230.6,-210.1,-141.4,-97.8,-230.6,-209.6,-138.9,-95.8,-244.1,-220.1,-100.1,-17.9,-230.9,-207.9,-65.4,11.4
Task2CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-174.1,-143.1,-21.0,-7.1,-174.1,-143.1,-21.0,-7.1
Task2CP,-256.8,-222.3,-157.9,-129.1,-256.3,-223.8,-157.0,-130.4,-272.8,-229.8,-110.3,-60.8,-261.3,-218.3,-82.4,-6.8
Task3CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-159.6,-82.1,-34.0,45.5,-159.6,-82.1,-34.0,45.5
Task3CP,-258.2,-201.2,-145.6,-123.0,-259.2,-204.7,-156.9,-129.5,-288.7,-236.7,-153.2,-141.8,-264.4,-197.4,-72.1,-36.6
Task4CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.4,-65.9,-48.3,-4.6,-149.4,-65.9,-48.3,-4.6
Task4CP,-207.3,-117.8,-137.6,-77.3,-206.3,-117.3,-139.5,-80.3,-223.3,-120.8,-116.6,-48.9,-205.7,-96.2,-87.1,-9.8
Task5CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-278.5,-144.0,-79.8,60.5,-278.5,-144.0,-79.8,60.5
Task5CP,-285.2,-155.2,-173.3,-99.1,-284.7,-155.7,-173.7,-96.8,-308.2,-170.2,-154.5,-45.7,-283.4,-134.4,-97.1,38.3
Task6CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-195.9,-27.4,-70.0,7.6,-195.9,-27.4,-70.0,7.6
Task6CP,-202.7,-94.2,-148.9,-88.3,-203.7,-95.2,-153.5,-91.3,-223.2,-45.2,-130.9,-17.8,-208.7,-5.7,-96.8,40.6
Task7CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192.6,-144.1,-36.0,29.0,-192.6,-144.1,-36.0,29.0
Task7CP,-181.5,-137.0,-88.0,-64.0,-180.0,-134.5,-83.5,-62.5,-195.0,-157.0,-67.7,-9.3,-179.5,-135.0,-28.8,43.5
Task8CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187.0,-124.5,-67.0,33.6,-187.0,-124.5,-67.0,33.6
Task8CP,-142.3,-109.8,-86.5,-78.1,-140.8,-110.8,-85.2,-78.6,-154.8,-108.8,-74.8,-33.6,-140.7,-90.2,-43.7,10.6
Task9CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-283.7,-111.2,-64.5,48.4,-283.7,-111.2,-64.5,48.4
Task9CP,-129.2,-55.7,-64.7,-48.3,-129.2,-55.7,-69.2,-49.8,-145.2,-58.2,-64.2,-41.4,-130.5,-29.5,-32.8,2.1
Task10CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-142.4,-137.9,-38.0,-25.9,-142.4,-137.9,-38.0,-25.9
Task10CP,-87.2,-95.7,-56.2,-51.5,-89.2,-96.7,-60.2,-52.9,-98.7,-103.2,-49.5,-37.7,-91.5,-97.0,-34.6,-29.0
Task11CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.2,-129.2,-84.9,39.2,-230.2,-129.2,-84.9,39.2
Task11CP,-198.4,-134.4,-119.0,-109.7,-197.9,-138.4,-126.3,-116.2,-224.9,-159.4,-152.3,-104.1,-191.3,-102.8,-76.2,0.3
Task12CM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.6,-35.1,0.9,-7.9,-30.6,-35.1,0.9,-7.9
Task12CP,-31.9,-39.9,-12.5,-21.3,-30.4,-37.9,-11.4,-20.7,-34.9,-42.4,-9.6,-20.0,-28.1,-35.1,-0.6,-11.1
