Participant,Task,Type,AllFixations_Count,AllFixations_Duration,AoiFixations_Count,AoiFixations_Duration,AoiHits_CountRatio,AoiHits_DurationRatio,CodeFixations_Count,CodeFixations_Duration,CodeHits_CountRatio,CodeHits_DurationRatio,CommentFixations_Count,CommentFixations_Duration,CommentHits_CountRatio,CommentHits_DurationRatio
615db7bf,Task1CM,CM,730,115.54,515,78.22,0.71,0.68,515,78.22,1.0,1.0,0,0.0,0.0,0.0
f9ec2bc7,Task1CM,CM,454,89.9,298,68.33,0.66,0.76,298,68.33,1.0,1.0,0,0.0,0.0,0.0
dac593bd,Task1CM,CM,567,270.32,279,110.28,0.49,0.41,279,110.28,1.0,1.0,0,0.0,0.0,0.0
b1c5e27d,Task1CM,CM,384,100.73,255,61.64,0.66,0.61,255,61.64,1.0,1.0,0,0.0,0.0,0.0
967a04d0,Task1CM,CM,441,281.06,314,183.92,0.71,0.65,314,183.92,1.0,1.0,0,0.0,0.0,0.0
66b337a9,Task1CM,CM,622,125.81,438,95.17,0.7,0.76,438,95.17,1.0,1.0,0,0.0,0.0,0.0
45c939e2,Task1CM,CM,545,164.01,408,143.96,0.75,0.88,408,143.96,1.0,1.0,0,0.0,0.0,0.0
ba88bf04,Task1CM,CM,59,21.5,51,20.98,0.86,0.98,51,20.98,1.0,1.0,0,0.0,0.0,0.0
782b7c64,Task1CM,CM,422,169.12,315,133.88,0.75,0.79,315,133.88,1.0,1.0,0,0.0,0.0,0.0
4d750b0b,Task1CM,CM,474,155.63,274,83.05,0.58,0.53,274,83.05,1.0,1.0,0,0.0,0.0,0.0
1ce913d5,Task1CP,CP,829,112.4,602,68.01,0.73,0.61,515,55.57,0.86,0.82,87,12.44,0.14,0.18
9679a6e6,Task1CP,CP,754,221.95,463,149.95,0.61,0.68,415,140.48,0.9,0.94,48,9.47,0.1,0.06
625d844e,Task1CP,CP,950,231.37,567,120.58,0.6,0.52,436,102.45,0.77,0.85,131,18.12,0.23,0.15
1de0f518,Task1CP,CP,911,359.73,706,318.76,0.77,0.89,657,311.48,0.93,0.98,49,7.28,0.07,0.02
1d1071e4,Task1CP,CP,835,228.85,632,184.03,0.76,0.8,589,179.21,0.93,0.97,43,4.82,0.07,0.03
cb039d67,Task1CP,CP,297,85.16,185,60.96,0.62,0.72,144,51.88,0.78,0.85,41,9.09,0.22,0.15
5e4ae544,Task1CP,CP,431,176.87,286,106.04,0.66,0.6,236,90.55,0.83,0.85,50,15.49,0.17,0.15
dfab1ede,Task1CP,CP,499,180.95,292,100.01,0.59,0.55,242,90.68,0.83,0.91,50,9.32,0.17,0.09
9a43cae5,Task1CP,CP,684,259.57,389,122.73,0.57,0.47,357,116.77,0.92,0.95,32,5.96,0.08,0.05
66310afd,Task1CP,CP,425,199.47,355,157.4,0.84,0.79,305,143.89,0.86,0.91,50,13.5,0.14,0.09
615db7bf,Task2CM,CM,551,192.86,419,155.17,0.76,0.8,419,155.17,1.0,1.0,0,0.0,0.0,0.0
f9ec2bc7,Task2CM,CM,430,92.33,322,69.13,0.75,0.75,322,69.13,1.0,1.0,0,0.0,0.0,0.0
dac593bd,Task2CM,CM,890,282.94,468,151.06,0.53,0.53,468,151.06,1.0,1.0,0,0.0,0.0,0.0
b1c5e27d,Task2CM,CM,429,113.25,292,74.84,0.68,0.66,292,74.84,1.0,1.0,0,0.0,0.0,0.0
967a04d0,Task2CM,CM,469,239.56,286,144.17,0.61,0.6,286,144.17,1.0,1.0,0,0.0,0.0,0.0
66b337a9,Task2CM,CM,541,143.59,444,127.98,0.82,0.89,444,127.98,1.0,1.0,0,0.0,0.0,0.0
45c939e2,Task2CM,CM,167,40.72,126,36.16,0.75,0.89,126,36.16,1.0,1.0,0,0.0,0.0,0.0
ba88bf04,Task2CM,CM,211,93.8,158,72.77,0.75,0.78,158,72.77,1.0,1.0,0,0.0,0.0,0.0
782b7c64,Task2CM,CM,449,146.65,345,115.62,0.77,0.79,345,115.62,1.0,1.0,0,0.0,0.0,0.0
4d750b0b,Task2CM,CM,667,203.15,474,136.82,0.71,0.67,474,136.82,1.0,1.0,0,0.0,0.0,0.0
1ce913d5,Task2CP,CP,753,116.3,631,85.73,0.84,0.74,564,72.97,0.89,0.85,67,12.76,0.11,0.15
9679a6e6,Task2CP,CP,273,74.26,180,50.41,0.66,0.68,162,46.8,0.9,0.93,18,3.61,0.1,0.07
625d844e,Task2CP,CP,883,163.43,615,107.33,0.7,0.66,435,84.74,0.71,0.79,180,22.59,0.29,0.21
1de0f518,Task2CP,CP,808,271.02,634,228.11,0.78,0.84,608,223.1,0.96,0.98,26,5.01,0.04,0.02
1d1071e4,Task2CP,CP,754,139.48,543,108.88,0.72,0.78,490,102.59,0.9,0.94,53,6.28,0.1,0.06
cb039d67,Task2CP,CP,743,208.98,505,140.35,0.68,0.67,424,125.42,0.84,0.89,81,14.93,0.16,0.11
5e4ae544,Task2CP,CP,604,202.47,471,158.03,0.78,0.78,330,112.57,0.7,0.71,141,45.46,0.3,0.29
dfab1ede,Task2CP,CP,679,174.92,443,127.34,0.65,0.73,405,117.53,0.91,0.92,38,9.81,0.09,0.08
9a43cae5,Task2CP,CP,718,185.28,548,145.07,0.76,0.78,503,134.09,0.92,0.92,45,10.98,0.08,0.08
66310afd,Task2CP,CP,768,298.48,552,185.7,0.72,0.62,467,166.23,0.85,0.9,85,19.47,0.15,0.1
615db7bf,Task3CM,CM,472,229.68,260,95.77,0.55,0.42,260,95.77,1.0,1.0,0,0.0,0.0,0.0
f9ec2bc7,Task3CM,CM,464,107.49,301,84.42,0.65,0.79,301,84.42,1.0,1.0,0,0.0,0.0,0.0
dac593bd,Task3CM,CM,785,241.47,471,160.76,0.6,0.67,471,160.76,1.0,1.0,0,0.0,0.0,0.0
b1c5e27d,Task3CM,CM,520,119.15,278,55.86,0.53,0.47,278,55.86,1.0,1.0,0,0.0,0.0,0.0
967a04d0,Task3CM,CM,532,240.54,290,137.64,0.55,0.57,290,137.64,1.0,1.0,0,0.0,0.0,0.0
66b337a9,Task3CM,CM,687,198.53,427,121.54,0.62,0.61,427,121.54,1.0,1.0,0,0.0,0.0,0.0
45c939e2,Task3CM,CM,370,93.2,248,71.66,0.67,0.77,248,71.66,1.0,1.0,0,0.0,0.0,0.0
ba88bf04,Task3CM,CM,407,188.45,241,112.87,0.59,0.6,241,112.87,1.0,1.0,0,0.0,0.0,0.0
782b7c64,Task3CM,CM,599,194.72,328,96.98,0.55,0.5,328,96.98,1.0,1.0,0,0.0,0.0,0.0
4d750b0b,Task3CM,CM,736,157.11,404,89.16,0.55,0.57,404,89.16,1.0,1.0,0,0.0,0.0,0.0
1ce913d5,Task3CP,CP,452,73.0,299,37.25,0.66,0.51,190,19.56,0.64,0.53,109,17.69,0.36,0.47
9679a6e6,Task3CP,CP,747,192.72,465,125.42,0.62,0.65,276,71.14,0.59,0.57,189,54.28,0.41,0.43
625d844e,Task3CP,CP,1005,226.04,616,114.88,0.61,0.51,279,53.02,0.45,0.46,337,61.87,0.55,0.54
1de0f518,Task3CP,CP,1151,316.82,720,208.48,0.63,0.66,509,163.25,0.71,0.78,211,45.23,0.29,0.22
1d1071e4,Task3CP,CP,1290,214.37,912,159.11,0.71,0.74,606,115.77,0.66,0.73,306,43.34,0.34,0.27
cb039d67,Task3CP,CP,899,210.94,618,145.26,0.69,0.69,411,91.88,0.67,0.63,207,53.39,0.33,0.37
5e4ae544,Task3CP,CP,658,230.9,409,144.21,0.62,0.62,221,67.93,0.54,0.47,188,76.28,0.46,0.53
dfab1ede,Task3CP,CP,925,232.53,627,171.65,0.68,0.74,384,103.45,0.61,0.6,243,68.21,0.39,0.4
