Participant,Type,AllFixations_Count,AllFixations_Duration,AoiFixations_Count,AoiFixations_Duration,AoiHits_CountRatio,AoiHits_DurationRatio,CodeFixations_Count,CodeFixations_Duration,CodeHits_CountRatio,CodeHits_DurationRatio,CommentFixations_Count,CommentFixations_Duration,CommentHits_CountRatio,CommentHits_DurationRatio
1ce913d5,CM,565.5,120.24,502.67,107.29,0.88,0.9,502.67,107.29,1.0,1.0,0.0,0.0,0.0,0.0
1ce913d5,CP,609.67,91.53,445.67,58.84,0.72,0.63,338.83,40.17,0.73,0.65,106.83,18.66,0.27,0.35
1d1071e4,CM,758.17,157.94,576.5,124.35,0.75,0.78,576.5,124.35,1.0,1.0,0.0,0.0,0.0,0.0
1d1071e4,CP,986.67,218.32,711.33,168.33,0.72,0.77,567.5,146.93,0.81,0.88,143.83,21.4,0.19,0.12
1de0f518,CM,594.83,218.22,402.5,164.63,0.68,0.74,402.5,164.63,1.0,1.0,0.0,0.0,0.0,0.0
1de0f518,CP,894.5,309.7,647.0,248.22,0.72,0.8,570.17,233.47,0.89,0.94,76.83,14.74,0.11,0.06
45c939e2,CM,308.83,91.46,225.67,75.21,0.74,0.82,225.67,75.21,1.0,1.0,0.0,0.0,0.0,0.0
45c939e2,CP,237.0,56.53,157.67,43.68,0.65,0.77,109.5,35.51,0.74,0.85,48.17,8.17,0.26,0.15
4d750b0b,CM,562.33,148.46,370.0,97.28,0.65,0.65,370.0,97.28,1.0,1.0,0.0,0.0,0.0,0.0
4d750b0b,CP,324.33,79.16,219.67,58.03,0.66,0.69,186.83,52.53,0.82,0.85,32.83,5.51,0.18,0.15
5e4ae544,CM,344.5,149.89,236.5,108.64,0.68,0.72,236.5,108.64,1.0,1.0,0.0,0.0,0.0,0.0
5e4ae544,CP,546.17,201.07,367.83,131.86,0.67,0.65,257.67,94.38,0.71,0.73,110.17,37.49,0.29,0.27
615db7bf,CM,551.67,189.37,377.33,125.58,0.68,0.68,377.33,125.58,1.0,1.0,0.0,0.0,0.0,0.0
615db7bf,CP,564.83,168.04,419.67,126.52,0.74,0.73,305.33,95.33,0.74,0.77,114.33,31.19,0.26,0.23
625d844e,CM,644.5,193.49,403.83,124.73,0.63,0.62,403.83,124.73,1.0,1.0,0.0,0.0,0.0,0.0
625d844e,CP,918.67,189.1,555.33,107.22,0.61,0.57,379.33,79.66,0.69,0.74,176.0,27.56,0.31,0.26
66310afd,CM,432.67,278.5,315.33,219.13,0.72,0.76,315.33,219.13,1.0,1.0,0.0,0.0,0.0,0.0
66310afd,CP,768.5,338.87,562.17,254.48,0.74,0.74,456.0,224.3,0.81,0.88,106.17,30.18,0.19,0.12
66b337a9,CM,711.67,175.05,481.83,126.05,0.68,0.72,481.83,126.05,1.0,1.0,0.0,0.0,0.0,0.0
66b337a9,CP,441.67,124.71,321.17,92.79,0.68,0.67,243.0,73.1,0.8,0.85,78.17,19.7,0.2,0.15
782b7c64,CM,578.0,201.6,398.0,142.94,0.7,0.71,398.0,142.94,1.0,1.0,0.0,0.0,0.0,0.0
782b7c64,CP,447.67,135.73,304.17,98.3,0.64,0.63,211.83,79.0,0.71,0.81,92.33,19.31,0.29,0.19
9679a6e6,CM,320.83,118.54,203.17,78.82,0.63,0.66,203.17,78.82,1.0,1.0,0.0,0.0,0.0,0.0
9679a6e6,CP,596.5,185.34,374.33,127.9,0.63,0.69,295.5,104.66,0.81,0.83,78.83,23.24,0.19,0.17
967a04d0,CM,492.67,255.14,313.83,167.65,0.64,0.66,313.83,167.65,1.0,1.0,0.0,0.0,0.0,0.0
967a04d0,CP,392.83,192.63,285.17,145.47,0.72,0.76,226.5,126.46,0.81,0.88,58.67,19.01,0.19,0.12
9a43cae5,CM,488.0,192.39,353.33,146.2,0.71,0.73,353.33,146.2,1.0,1.0,0.0,0.0,0.0,0.0
9a43cae5,CP,696.33,224.49,461.0,143.61,0.66,0.64,391.33,125.19,0.85,0.86,69.67,18.42,0.15,0.14
b1c5e27d,CM,605.67,148.76,396.5,91.95,0.65,0.61,396.5,91.95,1.0,1.0,0.0,0.0,0.0,0.0
b1c5e27d,CP,509.0,116.84,381.83,88.27,0.72,0.73,295.0,74.17,0.82,0.88,86.83,14.1,0.18,0.12
ba88bf04,CM,236.83,110.54,161.17,76.29,0.72,0.75,161.17,76.29,1.0,1.0,0.0,0.0,0.0,0.0
ba88bf04,CP,173.67,64.7,107.33,44.04,0.59,0.66,78.17,36.84,0.75,0.85,29.17,7.2,0.25,0.15
cb039d67,CM,332.17,122.34,242.17,93.85,0.75,0.72,242.17,93.85,1.0,1.0,0.0,0.0,0.0,0.0
cb039d67,CP,651.83,166.45,452.33,116.06,0.69,0.7,325.5,88.54,0.73,0.77,126.83,27.52,0.27,0.23
dac593bd,CM,1033.83,394.39,580.67,213.47,0.56,0.57,580.67,213.47,1.0,1.0,0.0,0.0,0.0,0.0
dac593bd,CP,718.83,248.43,409.83,139.43,0.56,0.53,252.0,99.91,0.65,0.72,157.83,39.52,0.35,0.28
dfab1ede,CM,405.83,144.46,254.0,93.55,0.64,0.66,254.0,93.55,1.0,1.0,0.0,0.0,0.0,0.0
dfab1ede,CP,726.33,215.83,469.83,149.46,0.64,0.69,383.33,126.93,0.83,0.86,86.5,22.52,0.17,0.14
f9ec2bc7,CM,533.67,129.82,372.17,100.34,0.7,0.77,372.17,100.34,1.0,1.0,0.0,0.0,0.0,0.0
f9ec2bc7,CP,377.0,100.36,279.5,81.3,0.72,0.78,216.83,69.41,0.83,0.89,62.67,11.89,0.17,0.11
