Task,AllFixations_Count,AllFixations_Duration,AoiFixations_Count,AoiFixations_Duration,AoiHits_CountRatio,AoiHits_DurationRatio,CodeFixations_Count,CodeFixations_Duration,CodeHits_CountRatio,CodeHits_DurationRatio,CommentFixations_Count,CommentFixations_Duration,CommentHits_CountRatio,CommentHits_DurationRatio
Task1CM,469.8,149.36,314.7,97.94,0.69,0.7,314.7,97.94,1.0,1.0,0.0,0.0,0.0,0.0
Task1CP,661.5,205.63,447.7,138.85,0.68,0.66,389.6,128.3,0.86,0.9,58.1,10.55,0.14,0.1
Task2CM,480.4,154.88,333.4,108.37,0.71,0.74,333.4,108.37,1.0,1.0,0.0,0.0,0.0,0.0
Task2CP,698.3,183.46,512.2,133.7,0.73,0.73,438.8,118.6,0.86,0.88,73.4,15.09,0.14,0.12
Task3CM,557.2,177.03,324.8,102.67,0.59,0.6,324.8,102.67,1.0,1.0,0.0,0.0,0.0,0.0
Task3CP,843.1,221.29,553.2,145.75,0.65,0.64,345.2,93.17,0.62,0.62,208.0,52.58,0.38,0.38
Task4CM,497.0,160.65,321.8,104.51,0.66,0.67,321.8,104.51,1.0,1.0,0.0,0.0,0.0,0.0
Task4CP,736.1,191.45,449.6,123.39,0.61,0.63,381.4,109.9,0.84,0.86,68.2,13.49,0.16,0.14
Task5CM,722.6,219.54,534.2,174.79,0.74,0.79,534.2,174.79,1.0,1.0,0.0,0.0,0.0,0.0
Task5CP,787.4,256.12,609.8,210.26,0.77,0.79,471.2,179.22,0.76,0.81,138.6,31.04,0.24,0.19
Task6CM,642.1,245.29,377.4,141.78,0.65,0.67,377.4,141.78,1.0,1.0,0.0,0.0,0.0,0.0
Task6CP,710.7,226.47,455.6,151.65,0.66,0.69,352.9,129.35,0.77,0.81,102.7,22.29,0.23,0.19
Task7CM,456.3,183.15,334.2,145.47,0.73,0.82,334.2,145.47,1.0,1.0,0.0,0.0,0.0,0.0
Task7CP,482.0,182.42,342.4,138.44,0.71,0.77,265.9,118.24,0.78,0.86,76.5,20.2,0.22,0.14
Task8CM,441.4,163.04,339.0,133.45,0.75,0.8,339.0,133.45,1.0,1.0,0.0,0.0,0.0,0.0
Task8CP,411.2,123.28,297.2,93.34,0.72,0.75,220.8,78.98,0.77,0.87,76.4,14.36,0.23,0.13
Task9CM,833.4,269.01,564.7,191.89,0.68,0.72,564.7,191.89,1.0,1.0,0.0,0.0,0.0,0.0
Task9CP,482.2,143.53,314.5,99.36,0.66,0.7,238.6,82.21,0.75,0.82,75.9,17.15,0.25,0.18
Task10CM,418.4,138.57,298.5,100.86,0.71,0.72,298.5,100.86,1.0,1.0,0.0,0.0,0.0,0.0
Task10CP,382.6,113.28,225.8,69.41,0.61,0.63,192.6,63.43,0.84,0.91,33.2,5.99,0.16,0.09
Task11CM,610.0,214.4,445.5,156.37,0.73,0.73,445.5,156.37,1.0,1.0,0.0,0.0,0.0,0.0
Task11CP,554.0,155.09,434.7,121.54,0.78,0.81,255.7,76.32,0.58,0.64,179.0,45.22,0.42,0.36
Task12CM,172.7,49.44,112.1,28.67,0.64,0.58,112.1,28.67,1.0,1.0,0.0,0.0,0.0,0.0
Task12CP,200.1,54.67,117.0,28.61,0.54,0.51,101.4,26.17,0.88,0.92,15.6,2.44,0.12,0.08
