TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
0	WarmUp	0	WarmUpL00	Rectangle	4	P0:(916;305) P1:(1629;305) P2:(1629;345) P3:(916;345)
0	WarmUp	1	WarmUpL01	Rectangle	4	P0:(976;355) P1:(1389;355) P2:(1389;395) P3:(976;395)
0	WarmUp	2	WarmUpL02	Rectangle	4	P0:(976;405) P1:(1254;405) P2:(1254;445) P3:(976;445)
0	WarmUp	3	WarmUpL03	Rectangle	4	P0:(976;454) P1:(1644;454) P2:(1644;494) P3:(976;494)
0	WarmUp	4	WarmUpL04	Rectangle	4	P0:(1036;504) P1:(1494;504) P2:(1494;544) P3:(1036;544)
0	WarmUp	5	WarmUpL05	Rectangle	4	P0:(1096;553) P1:(1389;553) P2:(1389;593) P3:(1096;593)
0	WarmUp	6	WarmUpL06	Rectangle	4	P0:(1096;603) P1:(1194;603) P2:(1194;643) P3:(1096;643)
0	WarmUp	7	WarmUpL07	Rectangle	4	P0:(1036;653) P1:(1059;653) P2:(1059;692) P3:(1036;692)
0	WarmUp	8	WarmUpL08	Rectangle	4	P0:(976;702) P1:(999;702) P2:(999;741) P3:(976;741)
0	WarmUp	9	WarmUpL09	Rectangle	4	P0:(976;752) P1:(1254;752) P2:(1254;792) P3:(976;792)
0	WarmUp	10	WarmUpL10	Rectangle	4	P0:(916;801) P1:(939;801) P2:(939;840) P3:(916;840)
0	WarmUp	11	WarmUpL11	Rectangle	4	P0:(916;901) P1:(1524;901) P2:(1524;941) P3:(916;941)
0	WarmUp	12	WarmUpL12	Rectangle	4	P0:(976;950) P1:(1434;950) P2:(1434;990) P3:(976;990)
0	WarmUp	13	WarmUpL13	Rectangle	4	P0:(976;1000) P1:(1509;1000) P2:(1509;1040) P3:(976;1040)
0	WarmUp	14	WarmUpL14	Rectangle	4	P0:(976;1049) P1:(1389;1049) P2:(1389;1089) P3:(976;1089)
0	WarmUp	15	WarmUpL15	Rectangle	4	P0:(916;1099) P1:(939;1099) P2:(939;1138) P3:(916;1138)
1	Task5CM	0	Task5CML00	Rectangle	4	P0:(796;185) P1:(1659;185) P2:(1659;225) P3:(796;225)
1	Task5CM	1	Task5CML01	Rectangle	4	P0:(856;235) P1:(1224;235) P2:(1224;275) P3:(856;275)
1	Task5CM	2	Task5CML02	Rectangle	4	P0:(856;284) P1:(1224;284) P2:(1224;324) P3:(856;324)
1	Task5CM	3	Task5CML03	Rectangle	4	P0:(856;334) P1:(1389;334) P2:(1389;374) P3:(856;374)
1	Task5CM	4	Task5CML04	Rectangle	4	P0:(856;384) P1:(1314;384) P2:(1314;424) P3:(856;424)
1	Task5CM	5	Task5CML05	Rectangle	4	P0:(916;433) P1:(1374;433) P2:(1374;473) P3:(916;473)
1	Task5CM	6	Task5CML06	Rectangle	4	P0:(976;483) P1:(1749;483) P2:(1749;523) P3:(976;523)
1	Task5CM	7	Task5CML07	Rectangle	4	P0:(1036;533) P1:(1524;533) P2:(1524;573) P3:(1036;573)
1	Task5CM	8	Task5CML08	Rectangle	4	P0:(976;582) P1:(1104;582) P2:(1104;621) P3:(976;621)
1	Task5CM	9	Task5CML09	Rectangle	4	P0:(1036;632) P1:(1764;632) P2:(1764;672) P3:(1036;672)
1	Task5CM	10	Task5CML10	Rectangle	4	P0:(976;681) P1:(999;681) P2:(999;720) P3:(976;720)
1	Task5CM	11	Task5CML11	Rectangle	4	P0:(916;731) P1:(939;731) P2:(939;770) P3:(916;770)
1	Task5CM	12	Task5CML12	Rectangle	4	P0:(856;781) P1:(879;781) P2:(879;820) P3:(856;820)
1	Task5CM	13	Task5CML13	Rectangle	4	P0:(856;830) P1:(1104;830) P2:(1104;870) P3:(856;870)
1	Task5CM	14	Task5CML14	Rectangle	4	P0:(796;880) P1:(819;880) P2:(819;919) P3:(796;919)
1	Task5CM	15	Task5CML15	Rectangle	4	P0:(796;979) P1:(1404;979) P2:(1404;1019) P3:(796;1019)
1	Task5CM	16	Task5CML16	Rectangle	4	P0:(856;1029) P1:(1224;1029) P2:(1224;1069) P3:(856;1069)
1	Task5CM	17	Task5CML17	Rectangle	4	P0:(856;1078) P1:(1194;1078) P2:(1194;1118) P3:(856;1118)
1	Task5CM	18	Task5CML18	Rectangle	4	P0:(856;1128) P1:(1419;1128) P2:(1419;1168) P3:(856;1168)
1	Task5CM	19	Task5CML19	Rectangle	4	P0:(856;1177) P1:(1269;1177) P2:(1269;1217) P3:(856;1217)
1	Task5CM	20	Task5CML20	Rectangle	4	P0:(796;1227) P1:(819;1227) P2:(819;1266) P3:(796;1266)
2	Task7CP	0	Task7CPL00	Rectangle	4	P0:(563;281) P1:(1381;281) P2:(1381;321) P3:(563;321)
2	Task7CP	1	Task7CPL01	Rectangle	4	P0:(623;331) P1:(871;331) P2:(871;371) P3:(623;371)
2	Task7CP	1	Task7CPC02	Rectangle	4	P0:(1133;331) P1:(1576;331) P2:(1576;367) P3:(1133;367)
2	Task7CP	2	Task7CPL03	Rectangle	4	P0:(623;381) P1:(931;381) P2:(931;421) P3:(623;421)
2	Task7CP	2	Task7CPC04	Rectangle	4	P0:(1133;381) P1:(1516;381) P2:(1516;420) P3:(1133;420)
2	Task7CP	3	Task7CPL05	Rectangle	4	P0:(683;430) P1:(1021;430) P2:(1021;470) P3:(683;470)
2	Task7CP	3	Task7CPC06	Rectangle	4	P0:(1133;430) P1:(1801;430) P2:(1801;470) P3:(1133;470)
2	Task7CP	4	Task7CPL07	Rectangle	4	P0:(743;480) P1:(1006;480) P2:(1006;520) P3:(743;520)
2	Task7CP	4	Task7CPC08	Rectangle	4	P0:(1133;480) P1:(1621;480) P2:(1621;519) P3:(1133;519)
2	Task7CP	5	Task7CPL09	Rectangle	4	P0:(683;529) P1:(706;529) P2:(706;568) P3:(683;568)
2	Task7CP	6	Task7CPL10	Rectangle	4	P0:(683;579) P1:(946;579) P2:(946;619) P3:(683;619)
2	Task7CP	6	Task7CPC11	Rectangle	4	P0:(1133;579) P1:(1996;579) P2:(1996;618) P3:(1133;618)
2	Task7CP	7	Task7CPL12	Rectangle	4	P0:(683;629) P1:(871;629) P2:(871;669) P3:(683;669)
2	Task7CP	7	Task7CPC13	Rectangle	4	P0:(1133;629) P1:(1936;629) P2:(1936;668) P3:(1133;668)
