TrialId	SnippetName	ShapeName	ShapeType	ShapeNumPts	ShapePts
0	WarmUp	0	WarmUpL00	Rectangle	4	P0:(916;305) P1:(1629;305) P2:(1629;345) P3:(916;345)
0	WarmUp	1	WarmUpL01	Rectangle	4	P0:(976;355) P1:(1389;355) P2:(1389;395) P3:(976;395)
0	WarmUp	2	WarmUpL02	Rectangle	4	P0:(976;405) P1:(1254;405) P2:(1254;445) P3:(976;445)
0	WarmUp	3	WarmUpL03	Rectangle	4	P0:(976;454) P1:(1644;454) P2:(1644;494) P3:(976;494)
0	WarmUp	4	WarmUpL04	Rectangle	4	P0:(1036;504) P1:(1494;504) P2:(1494;544) P3:(1036;544)
0	WarmUp	5	WarmUpL05	Rectangle	4	P0:(1096;553) P1:(1389;553) P2:(1389;593) P3:(1096;593)
0	WarmUp	6	WarmUpL06	Rectangle	4	P0:(1096;603) P1:(1194;603) P2:(1194;643) P3:(1096;643)
0	WarmUp	7	WarmUpL07	Rectangle	4	P0:(1036;653) P1:(1059;653) P2:(1059;692) P3:(1036;692)
0	WarmUp	8	WarmUpL08	Rectangle	4	P0:(976;702) P1:(999;702) P2:(999;741) P3:(976;741)
0	WarmUp	9	WarmUpL09	Rectangle	4	P0:(976;752) P1:(1254;752) P2:(1254;792) P3:(976;792)
0	WarmUp	10	WarmUpL10	Rectangle	4	P0:(916;801) P1:(939;801) P2:(939;840) P3:(916;840)
0	WarmUp	11	WarmUpL11	Rectangle	4	P0:(916;901) P1:(1524;901) P2:(1524;941) P3:(916;941)
0	WarmUp	12	WarmUpL12	Rectangle	4	P0:(976;950) P1:(1434;950) P2:(1434;990) P3:(976;990)
0	WarmUp	13	WarmUpL13	Rectangle	4	P0:(976;1000) P1:(1509;1000) P2:(1509;1040) P3:(976;1040)
0	WarmUp	14	WarmUpL14	Rectangle	4	P0:(976;1049) P1:(1389;1049) P2:(1389;1089) P3:(976;1089)
0	WarmUp	15	WarmUpL15	Rectangle	4	P0:(916;1099) P1:(939;1099) P2:(939;1138) P3:(916;1138)
1	Task10CM	0	Task10CML00	Rectangle	4	P0:(856;185) P1:(1659;185) P2:(1659;225) P3:(856;225)
1	Task10CM	1	Task10CML01	Rectangle	4	P0:(916;235) P1:(1119;235) P2:(1119;275) P3:(916;275)
1	Task10CM	2	Task10CML02	Rectangle	4	P0:(916;284) P1:(1359;284) P2:(1359;324) P3:(916;324)
1	Task10CM	3	Task10CML03	Rectangle	4	P0:(916;334) P1:(1269;334) P2:(1269;374) P3:(916;374)
1	Task10CM	4	Task10CML04	Rectangle	4	P0:(976;384) P1:(1524;384) P2:(1524;424) P3:(976;424)
1	Task10CM	5	Task10CML05	Rectangle	4	P0:(976;433) P1:(1389;433) P2:(1389;473) P3:(976;473)
1	Task10CM	6	Task10CML06	Rectangle	4	P0:(1036;483) P1:(1209;483) P2:(1209;523) P3:(1036;523)
1	Task10CM	7	Task10CML07	Rectangle	4	P0:(976;533) P1:(1479;533) P2:(1479;573) P3:(976;573)
1	Task10CM	8	Task10CML08	Rectangle	4	P0:(1036;582) P1:(1269;582) P2:(1269;622) P3:(1036;622)
1	Task10CM	9	Task10CML09	Rectangle	4	P0:(976;632) P1:(1104;632) P2:(1104;671) P3:(976;671)
1	Task10CM	10	Task10CML10	Rectangle	4	P0:(1036;681) P1:(1284;681) P2:(1284;721) P3:(1036;721)
1	Task10CM	11	Task10CML11	Rectangle	4	P0:(976;731) P1:(999;731) P2:(999;770) P3:(976;770)
1	Task10CM	12	Task10CML12	Rectangle	4	P0:(916;781) P1:(939;781) P2:(939;820) P3:(916;820)
1	Task10CM	13	Task10CML13	Rectangle	4	P0:(916;830) P1:(1074;830) P2:(1074;870) P3:(916;870)
1	Task10CM	14	Task10CML14	Rectangle	4	P0:(856;880) P1:(879;880) P2:(879;919) P3:(856;919)
1	Task10CM	15	Task10CML15	Rectangle	4	P0:(856;979) P1:(1464;979) P2:(1464;1019) P3:(856;1019)
1	Task10CM	16	Task10CML16	Rectangle	4	P0:(916;1029) P1:(1704;1029) P2:(1704;1069) P3:(916;1069)
1	Task10CM	17	Task10CML17	Rectangle	4	P0:(916;1078) P1:(1164;1078) P2:(1164;1118) P3:(916;1118)
1	Task10CM	18	Task10CML18	Rectangle	4	P0:(916;1128) P1:(1479;1128) P2:(1479;1168) P3:(916;1168)
1	Task10CM	19	Task10CML19	Rectangle	4	P0:(916;1177) P1:(1329;1177) P2:(1329;1217) P3:(916;1217)
1	Task10CM	20	Task10CML20	Rectangle	4	P0:(856;1227) P1:(879;1227) P2:(879;1266) P3:(856;1266)
2	Task11CM	0	Task11CML00	Rectangle	4	P0:(668;233) P1:(1276;233) P2:(1276;273) P3:(668;273)
2	Task11CM	1	Task11CML01	Rectangle	4	P0:(728;283) P1:(946;283) P2:(946;323) P3:(728;323)
2	Task11CM	2	Task11CML02	Rectangle	4	P0:(728;333) P1:(1051;333) P2:(1051;373) P3:(728;373)
2	Task11CM	3	Task11CML03	Rectangle	4	P0:(728;382) P1:(1516;382) P2:(1516;422) P3:(728;422)
2	Task11CM	4	Task11CML04	Rectangle	4	P0:(788;432) P1:(1126;432) P2:(1126;472) P3:(788;472)
2	Task11CM	5	Task11CML05	Rectangle	4	P0:(788;481) P1:(1246;481) P2:(1246;521) P3:(788;521)
2	Task11CM	6	Task11CML06	Rectangle	4	P0:(788;531) P1:(1891;531) P2:(1891;571) P3:(788;571)
2	Task11CM	7	Task11CML07	Rectangle	4	P0:(848;581) P1:(976;581) P2:(976;621) P3:(848;621)
2	Task11CM	8	Task11CML08	Rectangle	4	P0:(848;630) P1:(961;630) P2:(961;670) P3:(848;670)
2	Task11CM	9	Task11CML09	Rectangle	4	P0:(848;680) P1:(976;680) P2:(976;720) P3:(848;720)
2	Task11CM	10	Task11CML10	Rectangle	4	P0:(788;729) P1:(811;729) P2:(811;768) P3:(788;768)
2	Task11CM	11	Task11CML11	Rectangle	4	P0:(728;779) P1:(751;779) P2:(751;818) P3:(728;818)
2	Task11CM	12	Task11CML12	Rectangle	4	P0:(728;829) P1:(931;829) P2:(931;869) P3:(728;869)
2	Task11CM	13	Task11CML13	Rectangle	4	P0:(668;878) P1:(691;878) P2:(691;917) P3:(668;917)
2	Task11CM	14	Task11CML14	Rectangle	4	P0:(668;977) P1:(1276;977) P2:(1276;1017) P3:(668;1017)
