SubjectName,TrialID,level_0,index,Time,GazePosX,GazePosY,TrialImage,TrialSequence,ExperimentTime,GazePosXSmooth,GazePosYSmooth,Velocity,VelocitySmooth,Gaze_Event,Gaze_EventSmooth
Pba88bf04,17,0,287,1871796,1242.1,806.4,WarmUp.png,136,0,1242.277142857143,806.6228571428574,0.0,0.0,Fixation,Fixation
Pba88bf04,17,1,288,1871825,1245.2,810.9,WarmUp.png,136,29,1244.4914285714287,810.008571428571,18.84286357560613,13.950022246486782,Fixation,Fixation
Pba88bf04,17,2,289,1871843,1244.8,808.3,WarmUp.png,136,47,1245.8628571428571,809.6371428571429,14.61438493107343,7.893534450256477,Fixation,Fixation
Pba88bf04,17,3,290,1871859,1246.1,813.5,WarmUp.png,136,63,1244.7285714285715,814.9057142857143,33.5002332081437,33.68306381945262,Fixation,Fixation
Pba88bf04,17,4,291,1871874,1241.9,825.8,WarmUp.png,136,78,1242.8428571428572,823.8542857142857,86.64871608973719,60.96733149977946,Fixation,Fixation
Pba88bf04,17,5,292,1871889,1241.0,828.1,WarmUp.png,136,93,1240.9228571428573,828.2028571428572,16.465452046971933,31.690498729912324,Fixation,Fixation
Pba88bf04,17,6,293,1871904,1241.2,826.0,WarmUp.png,136,108,1240.6685714285713,827.1400000000001,14.063348739819503,7.285683162087195,Fixation,Fixation
Pba88bf04,17,7,294,1871920,1241.2,823.9,WarmUp.png,136,124,1242.4085714285716,821.037142857143,13.125000000000142,39.66286898372888,Fixation,Fixation
Pba88bf04,17,8,295,1871936,1245.9,812.9,WarmUp.png,136,140,1244.6914285714288,816.8171428571429,74.76264525148918,29.986870000868727,Fixation,Fixation
Pba88bf04,17,9,296,1871952,1246.1,817.5,WarmUp.png,136,156,1246.5885714285716,815.4257142857143,28.777161083053436,14.70441112838784,Fixation,Fixation
Pba88bf04,17,10,297,1871975,1246.7,816.5,WarmUp.png,136,179,1246.5714285714284,815.9085714285716,5.070392952039697,2.1007015569487293,Fixation,Fixation
Pba88bf04,17,11,298,1871999,1246.9,812.9,WarmUp.png,136,203,1246.96,814.4428571428572,15.023130314433391,6.318109612083565,Fixation,Fixation
Pba88bf04,17,12,299,1872015,1247.4,816.6,WarmUp.png,136,219,1247.5114285714287,815.657142857143,23.335193378243368,8.335174116419617,Fixation,Fixation
Pba88bf04,17,13,300,1872030,1248.2,819.5,WarmUp.png,136,234,1248.1399999999999,820.5714285714286,20.055478608654873,33.02881309297988,Fixation,Fixation
Pba88bf04,17,14,301,1872046,1248.0,824.5,WarmUp.png,136,250,1247.94,823.0514285714286,31.27499000799202,15.550321540084008,Fixation,Fixation
Pba88bf04,17,15,302,1872061,1246.2,822.0,WarmUp.png,136,265,1245.8142857142857,822.2314285714286,20.537229067665642,15.189267006658259,Fixation,Fixation
Pba88bf04,17,16,303,1872077,1242.9,819.3,WarmUp.png,136,281,1244.6314285714286,820.4142857142857,26.648757006659764,13.551347926027443,Fixation,Fixation
Pba88bf04,17,17,304,1872093,1242.7,821.0,WarmUp.png,136,297,1247.3200000000002,819.1142857142858,10.698276730390122,18.66482353935131,Fixation,Fixation
Pba88bf04,17,18,305,1872108,1230.0,818.7,WarmUp.png,136,312,1209.7542857142857,821.1085714285715,86.04391643547844,250.790755217362,Fixation,Saccade
