SubjectName,TrialID,level_0,index,Time,GazePosX,GazePosY,TrialImage,TrialSequence,ExperimentTime,GazePosXSmooth,GazePosYSmooth,Velocity,VelocitySmooth,Gaze_Event,Gaze_EventSmooth
Pcb039d67,12,0,261,9127475,1222.7,675.4,WarmUp.png,96,0,1222.3242857142861,675.6071428571432,0.0,0.0,Fixation,Fixation
Pcb039d67,12,1,262,9127491,1221.5,671.6,WarmUp.png,96,16,1223.0028571428563,670.7714285714286,24.90607355646391,30.519327787854593,Fixation,Fixation
Pcb039d67,12,2,263,9127506,1224.0,668.5,WarmUp.png,96,31,1221.7457142857143,669.7428571428571,26.54974366898662,10.828701259845172,Fixation,Fixation
Pcb039d67,12,3,264,9127521,1226.6,668.4,WarmUp.png,96,46,1232.3342857142857,665.1342857142856,17.34614910834298,76.98680276809482,Fixation,Fixation
Pcb039d67,12,4,265,9127537,1252.0,659.1,WarmUp.png,96,62,1246.5057142857142,663.2057142857143,169.0564347340856,89.38784337574847,Saccade,Fixation
Pcb039d67,12,5,266,9127558,1256.0,666.5,WarmUp.png,96,83,1257.6285714285714,663.7828571428572,40.05664922821531,53.03724034958168,Fixation,Fixation
Pcb039d67,12,6,267,9127584,1258.5,668.6,WarmUp.png,96,109,1257.4885714285715,669.0114285714286,12.557559782549676,20.11709772954969,Fixation,Fixation
Pcb039d67,12,7,268,9127600,1260.4,675.1,WarmUp.png,96,125,1263.5628571428572,677.1914285714286,42.325007383342694,63.67929502433165,Fixation,Fixation
Pcb039d67,12,8,269,9127616,1274.4,690.9,WarmUp.png,96,141,1271.597142857143,688.3885714285714,131.9386694642626,86.13347089647222,Fixation,Fixation
Pcb039d67,12,9,270,9127632,1276.3,696.5,WarmUp.png,96,157,1276.8400000000001,697.52,36.959648604931154,65.80942501586259,Fixation,Fixation
Pcb039d67,12,10,271,9127647,1274.6,701.7,WarmUp.png,96,172,1274.7542857142857,701.46,36.47221164424019,29.720029969802127,Fixation,Fixation
Pcb039d67,12,11,272,9127663,1271.5,704.4,WarmUp.png,96,188,1270.5914285714287,705.1628571428571,25.693505988867372,34.82126831464895,Fixation,Fixation
Pcb039d67,12,12,273,9127679,1267.4,705.3,WarmUp.png,96,204,1269.7657142857142,702.8057142857142,26.235114827268607,15.60990086778436,Fixation,Fixation
Pcb039d67,12,13,274,9127709,1273.3,696.2,WarmUp.png,96,234,1270.7028571428573,698.3771428571429,36.15091823023106,15.088804397320018,Fixation,Fixation
Pcb039d67,12,14,275,9127726,1272.6,698.0,WarmUp.png,96,251,1274.8114285714287,698.7028571428572,11.360710538722179,24.243894090634633,Fixation,Fixation
Pcb039d67,12,15,276,9127741,1279.0,706.2,WarmUp.png,96,266,1277.5428571428572,703.56,69.34615266104511,37.1498699118459,Fixation,Fixation
Pcb039d67,12,16,277,9127757,1280.4,708.1,WarmUp.png,96,282,1281.2142857142858,711.4857142857143,14.750529651507657,54.5923582013052,Fixation,Fixation
Pcb039d67,12,17,278,9127773,1281.7,721.8,WarmUp.png,96,298,1280.722857142857,718.8942857142857,86.0096288214286,46.40532728588637,Fixation,Fixation
Pcb039d67,12,18,279,9127788,1278.3,725.9,WarmUp.png,96,313,1278.8142857142857,728.1885714285713,35.508997294895906,63.25482566983667,Fixation,Fixation
Pcb039d67,12,19,280,9127804,1277.0,732.9,WarmUp.png,96,329,1280.462857142857,731.5371428571428,44.49806877831885,23.327423480198238,Fixation,Fixation
Pcb039d67,12,20,281,9127819,1278.6,728.6,WarmUp.png,96,344,1273.7057142857143,728.5742857142857,30.58685265854474,49.18784946658407,Fixation,Fixation
Pcb039d67,12,21,282,9127835,1243.5,714.7,WarmUp.png,96,360,1239.6857142857143,712.9342857142858,235.95053771924262,234.01806153585625,Saccade,Saccade
Pcb039d67,12,22,283,9127859,1189.2,693.2,WarmUp.png,96,384,1201.3885714285714,698.1285714285715,243.3397544814883,171.08113767722722,Saccade,Saccade
Pcb039d67,12,23,284,9127881,1177.7,686.7,WarmUp.png,96,406,1163.497142857143,679.8771428571429,60.044749152831386,191.17270782348194,Fixation,Saccade
Pcb039d67,12,24,285,9127896,1128.8,660.3,WarmUp.png,96,421,1139.942857142857,666.0514285714286,370.47537030145554,182.08114809006554,Saccade,Saccade
Pcb039d67,12,25,286,9127911,1128.0,658.7,WarmUp.png,96,436,1125.1028571428571,657.62,11.925695879998202,113.78626899295783,Fixation,Fixation
Pcb039d67,12,26,287,9127926,1130.8,659.5,WarmUp.png,96,451,1129.0857142857144,657.5285714285715,19.41362637141434,26.559376000101715,Fixation,Fixation
Pcb039d67,12,27,288,9127942,1126.5,652.9,WarmUp.png,96,467,1127.1171428571429,654.2628571428571,49.23238898326991,23.832228757526057,Fixation,Fixation
Pcb039d67,12,28,289,9127957,1124.4,652.1,WarmUp.png,96,482,1125.0685714285714,652.3485714285714,14.981470036162147,18.691810082823405,Fixation,Fixation
Pcb039d67,12,29,290,9127972,1126.6,654.4,WarmUp.png,96,497,1126.24,654.0228571428572,21.21844061711834,13.622656864406709,Fixation,Fixation
Pcb039d67,12,30,291,9127987,1127.4,654.2,WarmUp.png,96,512,1126.86,653.4285714285713,5.49747416749128,5.725481096541254,Fixation,Fixation
Pcb039d67,12,31,292,9128008,1125.3,650.3,WarmUp.png,96,533,1125.7714285714287,651.1657142857143,21.09260437176269,11.957511898195015,Fixation,Fixation
Pcb039d67,12,32,293,9128033,1125.1,650.5,WarmUp.png,96,558,1126.4371428571428,665.2257142857143,1.1313708498987334,56.30300532088174,Fixation,Fixation
Pcb039d67,12,33,294,9128049,1126.1,652.5,WarmUp.png,96,574,1123.3657142857141,621.6942857142858,13.975424859373685,272.74780496787804,Fixation,Saccade
Pcb039d67,12,34,295,9128064,1112.0,482.2,WarmUp.png,96,589,1112.3771428571429,488.19142857142856,1139.2180554124736,893.0288428176939,Saccade,Saccade
Pcb039d67,12,35,296,9128079,1098.4,324.9,WarmUp.png,96,604,1100.2428571428572,344.1857142857143,1052.5788437082622,963.4402855677538,Saccade,Saccade
Pcb039d67,12,36,297,9128095,1096.5,296.0,WarmUp.png,96,620,1095.7457142857143,288.08,181.01493377619417,351.78537209918125,Saccade,Saccade
