AOIName,FixationDuration,Stimulus,Participant
1,125,Task5CP,1ce913d5
0,461,Task5CP,1ce913d5
4,210,Task5CP,1ce913d5
2,714,Task5CP,1ce913d5
4,0,Task5CP,1ce913d5
2,557,Task5CP,1ce913d5
1,479,Task5CP,1ce913d5
2,505,Task5CP,1ce913d5
4,0,Task5CP,1ce913d5
1,137,Task5CP,1ce913d5
5,0,Task5CP,1ce913d5
3,51,Task5CP,1ce913d5
1,170,Task5CP,1ce913d5
3,55,Task5CP,1ce913d5
1,0,Task5CP,1ce913d5
3,73,Task5CP,1ce913d5
1,16,Task5CP,1ce913d5
3,93,Task5CP,1ce913d5
2,340,Task5CP,1ce913d5
0,207,Task5CP,1ce913d5
2,195,Task5CP,1ce913d5
4,620,Task5CP,1ce913d5
6,171,Task5CP,1ce913d5
8,146,Task5CP,1ce913d5
6,203,Task5CP,1ce913d5
8,58,Task5CP,1ce913d5
6,1073,Task5CP,1ce913d5
5,186,Task5CP,1ce913d5
7,0,Task5CP,1ce913d5
5,313,Task5CP,1ce913d5
3,15,Task5CP,1ce913d5
7,0,Task5CP,1ce913d5
3,31,Task5CP,1ce913d5
4,661,Task5CP,1ce913d5
3,419,Task5CP,1ce913d5
5,15,Task5CP,1ce913d5
3,225,Task5CP,1ce913d5
6,697,Task5CP,1ce913d5
8,2029,Task5CP,1ce913d5
6,169,Task5CP,1ce913d5
8,77,Task5CP,1ce913d5
11,0,Task5CP,1ce913d5
8,153,Task5CP,1ce913d5
10,121,Task5CP,1ce913d5
8,307,Task5CP,1ce913d5
6,337,Task5CP,1ce913d5
8,402,Task5CP,1ce913d5
10,124,Task5CP,1ce913d5
8,88,Task5CP,1ce913d5
5,99,Task5CP,1ce913d5
3,40,Task5CP,1ce913d5
1,0,Task5CP,1ce913d5
5,0,Task5CP,1ce913d5
9,16,Task5CP,1ce913d5
7,110,Task5CP,1ce913d5
8,150,Task5CP,1ce913d5
12,185,Task5CP,1ce913d5
10,289,Task5CP,1ce913d5
11,154,Task5CP,1ce913d5
9,121,Task5CP,1ce913d5
13,124,Task5CP,1ce913d5
11,0,Task5CP,1ce913d5
12,116,Task5CP,1ce913d5
14,150,Task5CP,1ce913d5
12,186,Task5CP,1ce913d5
14,711,Task5CP,1ce913d5
11,427,Task5CP,1ce913d5
13,312,Task5CP,1ce913d5
17,147,Task5CP,1ce913d5
16,155,Task5CP,1ce913d5
17,109,Task5CP,1ce913d5
19,316,Task5CP,1ce913d5
17,299,Task5CP,1ce913d5
19,170,Task5CP,1ce913d5
16,275,Task5CP,1ce913d5
15,15,Task5CP,1ce913d5
11,495,Task5CP,1ce913d5
7,213,Task5CP,1ce913d5
11,156,Task5CP,1ce913d5
10,188,Task5CP,1ce913d5
12,483,Task5CP,1ce913d5
11,323,Task5CP,1ce913d5
16,23,Task5CP,1ce913d5
14,202,Task5CP,1ce913d5
17,432,Task5CP,1ce913d5
16,200,Task5CP,1ce913d5
17,248,Task5CP,1ce913d5
16,231,Task5CP,1ce913d5
13,22,Task5CP,1ce913d5
16,31,Task5CP,1ce913d5
18,16,Task5CP,1ce913d5
15,0,Task5CP,1ce913d5
16,154,Task5CP,1ce913d5
13,307,Task5CP,1ce913d5
5,138,Task5CP,1ce913d5
3,362,Task5CP,1ce913d5
5,129,Task5CP,1ce913d5
4,140,Task5CP,1ce913d5
6,77,Task5CP,1ce913d5
8,123,Task5CP,1ce913d5
6,124,Task5CP,1ce913d5
19,0,Task5CP,1ce913d5
17,584,Task5CP,1ce913d5
16,134,Task5CP,1ce913d5
19,154,Task5CP,1ce913d5
17,70,Task5CP,1ce913d5
16,280,Task5CP,1ce913d5
17,989,Task5CP,1ce913d5
19,683,Task5CP,1ce913d5
17,1106,Task5CP,1ce913d5
19,21,Task5CP,1ce913d5
17,516,Task5CP,1ce913d5
13,348,Task5CP,1ce913d5
16,532,Task5CP,1ce913d5
17,469,Task5CP,1ce913d5
16,16,Task5CP,1ce913d5
13,430,Task5CP,1ce913d5
16,247,Task5CP,1ce913d5
13,92,Task5CP,1ce913d5
16,110,Task5CP,1ce913d5
13,211,Task5CP,1ce913d5
7,169,Task5CP,1ce913d5
9,89,Task5CP,1ce913d5
0,404,Task5CP,1ce913d5
7,184,Task5CP,1ce913d5
5,175,Task5CP,1ce913d5
7,16,Task5CP,1ce913d5
5,56,Task5CP,1ce913d5
3,252,Task5CP,1ce913d5
5,0,Task5CP,1ce913d5
6,1033,Task5CP,1ce913d5
8,448,Task5CP,1ce913d5
12,91,Task5CP,1ce913d5
19,434,Task5CP,1ce913d5
17,172,Task5CP,1ce913d5
16,370,Task5CP,1ce913d5
18,264,Task5CP,1ce913d5
20,16,Task5CP,1ce913d5
22,0,Task5CP,1ce913d5
20,631,Task5CP,1ce913d5
22,0,Task5CP,1ce913d5
20,133,Task5CP,1ce913d5
23,122,Task5CP,1ce913d5
20,0,Task5CP,1ce913d5
18,21,Task5CP,1ce913d5
13,309,Task5CP,1ce913d5
11,309,Task5CP,1ce913d5
16,31,Task5CP,1ce913d5
21,47,Task5CP,1ce913d5
20,384,Task5CP,1ce913d5
5,1075,Task5CP,1ce913d5
7,53,Task5CP,1ce913d5
3,409,Task5CP,1ce913d5
6,342,Task5CP,1ce913d5
11,168,Task5CP,1ce913d5
22,175,Task5CP,1ce913d5
25,108,Task5CP,1ce913d5
26,78,Task5CP,1ce913d5
25,0,Task5CP,1ce913d5
18,110,Task5CP,1ce913d5
20,0,Task5CP,1ce913d5
14,192,Task5CP,1ce913d5
12,218,Task5CP,1ce913d5
26,60,Task5CP,1ce913d5
25,403,Task5CP,1ce913d5
26,0,Task5CP,1ce913d5
25,108,Task5CP,1ce913d5
9,293,Task5CP,1ce913d5
11,337,Task5CP,1ce913d5
