AOIName,FixationDuration,Stimulus,Participant
2,125,Task7CM,1ce913d5
0,1063,Task7CM,1ce913d5
2,185,Task7CM,1ce913d5
0,526,Task7CM,1ce913d5
3,0,Task7CM,1ce913d5
2,602,Task7CM,1ce913d5
3,102,Task7CM,1ce913d5
1,462,Task7CM,1ce913d5
0,356,Task7CM,1ce913d5
1,342,Task7CM,1ce913d5
0,1986,Task7CM,1ce913d5
2,680,Task7CM,1ce913d5
3,401,Task7CM,1ce913d5
2,589,Task7CM,1ce913d5
3,1193,Task7CM,1ce913d5
4,93,Task7CM,1ce913d5
3,818,Task7CM,1ce913d5
4,620,Task7CM,1ce913d5
2,401,Task7CM,1ce913d5
1,468,Task7CM,1ce913d5
3,467,Task7CM,1ce913d5
2,54,Task7CM,1ce913d5
3,249,Task7CM,1ce913d5
1,216,Task7CM,1ce913d5
0,474,Task7CM,1ce913d5
2,604,Task7CM,1ce913d5
4,93,Task7CM,1ce913d5
3,1026,Task7CM,1ce913d5
2,265,Task7CM,1ce913d5
1,373,Task7CM,1ce913d5
2,1382,Task7CM,1ce913d5
0,539,Task7CM,1ce913d5
4,248,Task7CM,1ce913d5
3,4072,Task7CM,1ce913d5
4,246,Task7CM,1ce913d5
7,187,Task7CM,1ce913d5
6,172,Task7CM,1ce913d5
4,0,Task7CM,1ce913d5
3,1226,Task7CM,1ce913d5
4,675,Task7CM,1ce913d5
3,174,Task7CM,1ce913d5
4,62,Task7CM,1ce913d5
3,750,Task7CM,1ce913d5
2,45,Task7CM,1ce913d5
0,433,Task7CM,1ce913d5
1,0,Task7CM,1ce913d5
2,63,Task7CM,1ce913d5
3,102,Task7CM,1ce913d5
6,139,Task7CM,1ce913d5
5,77,Task7CM,1ce913d5
6,47,Task7CM,1ce913d5
5,189,Task7CM,1ce913d5
6,31,Task7CM,1ce913d5
5,552,Task7CM,1ce913d5
3,574,Task7CM,1ce913d5
4,15,Task7CM,1ce913d5
6,0,Task7CM,1ce913d5
3,324,Task7CM,1ce913d5
5,974,Task7CM,1ce913d5
6,61,Task7CM,1ce913d5
5,241,Task7CM,1ce913d5
6,1054,Task7CM,1ce913d5
7,0,Task7CM,1ce913d5
6,510,Task7CM,1ce913d5
7,63,Task7CM,1ce913d5
6,300,Task7CM,1ce913d5
7,47,Task7CM,1ce913d5
6,933,Task7CM,1ce913d5
7,178,Task7CM,1ce913d5
8,0,Task7CM,1ce913d5
6,77,Task7CM,1ce913d5
7,55,Task7CM,1ce913d5
6,666,Task7CM,1ce913d5
10,0,Task7CM,1ce913d5
11,544,Task7CM,1ce913d5
0,546,Task7CM,1ce913d5
1,263,Task7CM,1ce913d5
3,786,Task7CM,1ce913d5
