AOIName,FixationDuration,Stimulus,Participant
8,155,Task12CM,1d1071e4
0,749,Task12CM,1d1071e4
1,325,Task12CM,1d1071e4
0,390,Task12CM,1d1071e4
1,16,Task12CM,1d1071e4
0,746,Task12CM,1d1071e4
1,248,Task12CM,1d1071e4
0,1627,Task12CM,1d1071e4
1,268,Task12CM,1d1071e4
2,216,Task12CM,1d1071e4
3,108,Task12CM,1d1071e4
2,325,Task12CM,1d1071e4
4,95,Task12CM,1d1071e4
2,1224,Task12CM,1d1071e4
4,934,Task12CM,1d1071e4
7,0,Task12CM,1d1071e4
5,562,Task12CM,1d1071e4
4,654,Task12CM,1d1071e4
5,354,Task12CM,1d1071e4
4,142,Task12CM,1d1071e4
5,264,Task12CM,1d1071e4
7,47,Task12CM,1d1071e4
6,168,Task12CM,1d1071e4
5,92,Task12CM,1d1071e4
6,105,Task12CM,1d1071e4
7,688,Task12CM,1d1071e4
6,186,Task12CM,1d1071e4
7,0,Task12CM,1d1071e4
6,521,Task12CM,1d1071e4
7,309,Task12CM,1d1071e4
10,52,Task12CM,1d1071e4
9,139,Task12CM,1d1071e4
10,1228,Task12CM,1d1071e4
11,195,Task12CM,1d1071e4
10,67,Task12CM,1d1071e4
11,200,Task12CM,1d1071e4
12,772,Task12CM,1d1071e4
11,594,Task12CM,1d1071e4
12,342,Task12CM,1d1071e4
13,48,Task12CM,1d1071e4
12,65,Task12CM,1d1071e4
13,387,Task12CM,1d1071e4
7,139,Task12CM,1d1071e4
8,0,Task12CM,1d1071e4
11,418,Task12CM,1d1071e4
6,0,Task12CM,1d1071e4
11,47,Task12CM,1d1071e4
10,5070,Task12CM,1d1071e4
8,123,Task12CM,1d1071e4
2,170,Task12CM,1d1071e4
0,623,Task12CM,1d1071e4
10,355,Task12CM,1d1071e4
1,138,Task12CM,1d1071e4
0,246,Task12CM,1d1071e4
1,511,Task12CM,1d1071e4
0,419,Task12CM,1d1071e4
10,994,Task12CM,1d1071e4
11,76,Task12CM,1d1071e4
12,899,Task12CM,1d1071e4
11,202,Task12CM,1d1071e4
13,0,Task12CM,1d1071e4
11,15,Task12CM,1d1071e4
12,750,Task12CM,1d1071e4
11,432,Task12CM,1d1071e4
12,261,Task12CM,1d1071e4
11,83,Task12CM,1d1071e4
13,217,Task12CM,1d1071e4
10,402,Task12CM,1d1071e4
0,1387,Task12CM,1d1071e4
1,31,Task12CM,1d1071e4
0,0,Task12CM,1d1071e4
1,156,Task12CM,1d1071e4
0,177,Task12CM,1d1071e4
1,682,Task12CM,1d1071e4
4,1376,Task12CM,1d1071e4
5,0,Task12CM,1d1071e4
4,624,Task12CM,1d1071e4
5,231,Task12CM,1d1071e4
4,202,Task12CM,1d1071e4
6,15,Task12CM,1d1071e4
5,517,Task12CM,1d1071e4
6,76,Task12CM,1d1071e4
7,46,Task12CM,1d1071e4
6,154,Task12CM,1d1071e4
7,616,Task12CM,1d1071e4
6,170,Task12CM,1d1071e4
7,234,Task12CM,1d1071e4
6,402,Task12CM,1d1071e4
8,405,Task12CM,1d1071e4
9,94,Task12CM,1d1071e4
10,107,Task12CM,1d1071e4
12,358,Task12CM,1d1071e4
11,0,Task12CM,1d1071e4
12,94,Task12CM,1d1071e4
7,1258,Task12CM,1d1071e4
12,0,Task12CM,1d1071e4
7,182,Task12CM,1d1071e4
11,0,Task12CM,1d1071e4
13,140,Task12CM,1d1071e4
12,229,Task12CM,1d1071e4
11,16,Task12CM,1d1071e4
10,815,Task12CM,1d1071e4
12,79,Task12CM,1d1071e4
5,515,Task12CM,1d1071e4
6,16,Task12CM,1d1071e4
8,17,Task12CM,1d1071e4
10,1161,Task12CM,1d1071e4
11,0,Task12CM,1d1071e4
10,1379,Task12CM,1d1071e4
11,451,Task12CM,1d1071e4
12,168,Task12CM,1d1071e4
14,0,Task12CM,1d1071e4
12,512,Task12CM,1d1071e4
13,402,Task12CM,1d1071e4
5,15,Task12CM,1d1071e4
6,192,Task12CM,1d1071e4
5,354,Task12CM,1d1071e4
6,155,Task12CM,1d1071e4
4,219,Task12CM,1d1071e4
5,16,Task12CM,1d1071e4
4,282,Task12CM,1d1071e4
5,136,Task12CM,1d1071e4
6,931,Task12CM,1d1071e4
8,15,Task12CM,1d1071e4
7,385,Task12CM,1d1071e4
6,38,Task12CM,1d1071e4
7,48,Task12CM,1d1071e4
8,81,Task12CM,1d1071e4
6,54,Task12CM,1d1071e4
7,108,Task12CM,1d1071e4
8,62,Task12CM,1d1071e4
12,135,Task12CM,1d1071e4
11,370,Task12CM,1d1071e4
13,1512,Task12CM,1d1071e4
12,186,Task12CM,1d1071e4
13,123,Task12CM,1d1071e4
12,958,Task12CM,1d1071e4
13,372,Task12CM,1d1071e4
11,332,Task12CM,1d1071e4
4,204,Task12CM,1d1071e4
