AOIName,FixationDuration,Stimulus,Participant
18,16,Task1CP,1d1071e4
14,0,Task1CP,1d1071e4
11,49,Task1CP,1d1071e4
0,1204,Task1CP,1d1071e4
4,0,Task1CP,1d1071e4
20,670,Task1CP,1d1071e4
21,0,Task1CP,1d1071e4
20,154,Task1CP,1d1071e4
21,278,Task1CP,1d1071e4
20,489,Task1CP,1d1071e4
21,1199,Task1CP,1d1071e4
20,3183,Task1CP,1d1071e4
21,69,Task1CP,1d1071e4
20,109,Task1CP,1d1071e4
22,108,Task1CP,1d1071e4
21,84,Task1CP,1d1071e4
3,61,Task1CP,1d1071e4
0,230,Task1CP,1d1071e4
1,1698,Task1CP,1d1071e4
0,278,Task1CP,1d1071e4
1,142,Task1CP,1d1071e4
0,973,Task1CP,1d1071e4
3,361,Task1CP,1d1071e4
1,1073,Task1CP,1d1071e4
2,1130,Task1CP,1d1071e4
0,109,Task1CP,1d1071e4
1,261,Task1CP,1d1071e4
3,1725,Task1CP,1d1071e4
5,293,Task1CP,1d1071e4
3,601,Task1CP,1d1071e4
5,318,Task1CP,1d1071e4
3,805,Task1CP,1d1071e4
5,1749,Task1CP,1d1071e4
4,397,Task1CP,1d1071e4
3,271,Task1CP,1d1071e4
1,155,Task1CP,1d1071e4
2,97,Task1CP,1d1071e4
1,2150,Task1CP,1d1071e4
0,976,Task1CP,1d1071e4
1,1331,Task1CP,1d1071e4
3,921,Task1CP,1d1071e4
5,2770,Task1CP,1d1071e4
0,235,Task1CP,1d1071e4
3,832,Task1CP,1d1071e4
1,351,Task1CP,1d1071e4
3,72,Task1CP,1d1071e4
5,332,Task1CP,1d1071e4
3,601,Task1CP,1d1071e4
1,1587,Task1CP,1d1071e4
0,473,Task1CP,1d1071e4
20,1611,Task1CP,1d1071e4
21,16,Task1CP,1d1071e4
20,741,Task1CP,1d1071e4
5,169,Task1CP,1d1071e4
3,16,Task1CP,1d1071e4
20,456,Task1CP,1d1071e4
3,141,Task1CP,1d1071e4
2,0,Task1CP,1d1071e4
20,233,Task1CP,1d1071e4
3,215,Task1CP,1d1071e4
0,96,Task1CP,1d1071e4
1,568,Task1CP,1d1071e4
21,170,Task1CP,1d1071e4
20,4040,Task1CP,1d1071e4
3,186,Task1CP,1d1071e4
1,931,Task1CP,1d1071e4
3,539,Task1CP,1d1071e4
6,0,Task1CP,1d1071e4
5,16,Task1CP,1d1071e4
3,389,Task1CP,1d1071e4
1,1440,Task1CP,1d1071e4
5,875,Task1CP,1d1071e4
12,0,Task1CP,1d1071e4
5,573,Task1CP,1d1071e4
3,140,Task1CP,1d1071e4
0,202,Task1CP,1d1071e4
1,0,Task1CP,1d1071e4
5,1012,Task1CP,1d1071e4
3,327,Task1CP,1d1071e4
5,307,Task1CP,1d1071e4
3,1052,Task1CP,1d1071e4
6,147,Task1CP,1d1071e4
5,0,Task1CP,1d1071e4
6,560,Task1CP,1d1071e4
5,173,Task1CP,1d1071e4
6,1476,Task1CP,1d1071e4
8,176,Task1CP,1d1071e4
6,969,Task1CP,1d1071e4
5,62,Task1CP,1d1071e4
6,454,Task1CP,1d1071e4
8,0,Task1CP,1d1071e4
6,1317,Task1CP,1d1071e4
0,187,Task1CP,1d1071e4
6,2828,Task1CP,1d1071e4
20,1030,Task1CP,1d1071e4
22,47,Task1CP,1d1071e4
20,123,Task1CP,1d1071e4
21,31,Task1CP,1d1071e4
20,417,Task1CP,1d1071e4
10,0,Task1CP,1d1071e4
5,248,Task1CP,1d1071e4
6,327,Task1CP,1d1071e4
10,0,Task1CP,1d1071e4
5,18,Task1CP,1d1071e4
6,1039,Task1CP,1d1071e4
5,124,Task1CP,1d1071e4
6,347,Task1CP,1d1071e4
21,309,Task1CP,1d1071e4
20,961,Task1CP,1d1071e4
5,866,Task1CP,1d1071e4
20,363,Task1CP,1d1071e4
6,513,Task1CP,1d1071e4
8,1106,Task1CP,1d1071e4
6,263,Task1CP,1d1071e4
8,973,Task1CP,1d1071e4
6,316,Task1CP,1d1071e4
8,728,Task1CP,1d1071e4
6,910,Task1CP,1d1071e4
8,683,Task1CP,1d1071e4
5,92,Task1CP,1d1071e4
6,1239,Task1CP,1d1071e4
5,338,Task1CP,1d1071e4
3,140,Task1CP,1d1071e4
5,57,Task1CP,1d1071e4
6,144,Task1CP,1d1071e4
4,248,Task1CP,1d1071e4
2,0,Task1CP,1d1071e4
4,883,Task1CP,1d1071e4
3,501,Task1CP,1d1071e4
5,66,Task1CP,1d1071e4
4,57,Task1CP,1d1071e4
6,93,Task1CP,1d1071e4
5,388,Task1CP,1d1071e4
6,1177,Task1CP,1d1071e4
5,1180,Task1CP,1d1071e4
6,4256,Task1CP,1d1071e4
23,0,Task1CP,1d1071e4
6,1319,Task1CP,1d1071e4
5,710,Task1CP,1d1071e4
6,882,Task1CP,1d1071e4
5,404,Task1CP,1d1071e4
3,185,Task1CP,1d1071e4
5,715,Task1CP,1d1071e4
6,27,Task1CP,1d1071e4
5,1116,Task1CP,1d1071e4
6,764,Task1CP,1d1071e4
5,2439,Task1CP,1d1071e4
1,175,Task1CP,1d1071e4
18,0,Task1CP,1d1071e4
20,1470,Task1CP,1d1071e4
5,15,Task1CP,1d1071e4
6,263,Task1CP,1d1071e4
5,35,Task1CP,1d1071e4
6,774,Task1CP,1d1071e4
5,0,Task1CP,1d1071e4
6,172,Task1CP,1d1071e4
20,1329,Task1CP,1d1071e4
6,431,Task1CP,1d1071e4
20,889,Task1CP,1d1071e4
8,725,Task1CP,1d1071e4
10,0,Task1CP,1d1071e4
8,264,Task1CP,1d1071e4
6,1247,Task1CP,1d1071e4
8,1874,Task1CP,1d1071e4
6,185,Task1CP,1d1071e4
10,466,Task1CP,1d1071e4
12,96,Task1CP,1d1071e4
10,188,Task1CP,1d1071e4
8,0,Task1CP,1d1071e4
6,447,Task1CP,1d1071e4
8,402,Task1CP,1d1071e4
3,387,Task1CP,1d1071e4
1,1395,Task1CP,1d1071e4
3,24,Task1CP,1d1071e4
0,620,Task1CP,1d1071e4
8,1200,Task1CP,1d1071e4
5,125,Task1CP,1d1071e4
0,324,Task1CP,1d1071e4
1,286,Task1CP,1d1071e4
3,1475,Task1CP,1d1071e4
1,929,Task1CP,1d1071e4
3,125,Task1CP,1d1071e4
1,645,Task1CP,1d1071e4
6,402,Task1CP,1d1071e4
3,512,Task1CP,1d1071e4
5,2963,Task1CP,1d1071e4
3,44,Task1CP,1d1071e4
1,310,Task1CP,1d1071e4
3,2378,Task1CP,1d1071e4
5,16,Task1CP,1d1071e4
3,603,Task1CP,1d1071e4
0,279,Task1CP,1d1071e4
3,15,Task1CP,1d1071e4
5,454,Task1CP,1d1071e4
1,326,Task1CP,1d1071e4
3,31,Task1CP,1d1071e4
5,583,Task1CP,1d1071e4
3,15,Task1CP,1d1071e4
4,526,Task1CP,1d1071e4
3,231,Task1CP,1d1071e4
5,1554,Task1CP,1d1071e4
6,697,Task1CP,1d1071e4
5,480,Task1CP,1d1071e4
20,2466,Task1CP,1d1071e4
5,1547,Task1CP,1d1071e4
20,323,Task1CP,1d1071e4
6,217,Task1CP,1d1071e4
21,14,Task1CP,1d1071e4
20,266,Task1CP,1d1071e4
5,481,Task1CP,1d1071e4
20,542,Task1CP,1d1071e4
21,15,Task1CP,1d1071e4
20,1547,Task1CP,1d1071e4
6,528,Task1CP,1d1071e4
10,1373,Task1CP,1d1071e4
12,683,Task1CP,1d1071e4
13,32,Task1CP,1d1071e4
12,321,Task1CP,1d1071e4
21,0,Task1CP,1d1071e4
20,79,Task1CP,1d1071e4
10,449,Task1CP,1d1071e4
3,0,Task1CP,1d1071e4
1,464,Task1CP,1d1071e4
12,351,Task1CP,1d1071e4
10,139,Task1CP,1d1071e4
12,0,Task1CP,1d1071e4
5,886,Task1CP,1d1071e4
8,63,Task1CP,1d1071e4
6,77,Task1CP,1d1071e4
5,1619,Task1CP,1d1071e4
3,16,Task1CP,1d1071e4
5,574,Task1CP,1d1071e4
3,32,Task1CP,1d1071e4
5,560,Task1CP,1d1071e4
12,585,Task1CP,1d1071e4
1,331,Task1CP,1d1071e4
0,1161,Task1CP,1d1071e4
3,297,Task1CP,1d1071e4
1,197,Task1CP,1d1071e4
3,247,Task1CP,1d1071e4
5,62,Task1CP,1d1071e4
3,927,Task1CP,1d1071e4
5,1531,Task1CP,1d1071e4
3,417,Task1CP,1d1071e4
5,728,Task1CP,1d1071e4
1,0,Task1CP,1d1071e4
3,280,Task1CP,1d1071e4
6,16,Task1CP,1d1071e4
3,755,Task1CP,1d1071e4
0,172,Task1CP,1d1071e4
6,603,Task1CP,1d1071e4
8,0,Task1CP,1d1071e4
5,0,Task1CP,1d1071e4
3,16,Task1CP,1d1071e4
5,0,Task1CP,1d1071e4
3,487,Task1CP,1d1071e4
4,660,Task1CP,1d1071e4
6,263,Task1CP,1d1071e4
5,94,Task1CP,1d1071e4
3,341,Task1CP,1d1071e4
1,156,Task1CP,1d1071e4
3,230,Task1CP,1d1071e4
1,775,Task1CP,1d1071e4
0,314,Task1CP,1d1071e4
1,654,Task1CP,1d1071e4
13,16,Task1CP,1d1071e4
12,311,Task1CP,1d1071e4
3,741,Task1CP,1d1071e4
6,0,Task1CP,1d1071e4
5,155,Task1CP,1d1071e4
3,1316,Task1CP,1d1071e4
5,630,Task1CP,1d1071e4
8,0,Task1CP,1d1071e4
5,1692,Task1CP,1d1071e4
6,0,Task1CP,1d1071e4
3,542,Task1CP,1d1071e4
5,448,Task1CP,1d1071e4
3,78,Task1CP,1d1071e4
5,1195,Task1CP,1d1071e4
6,63,Task1CP,1d1071e4
5,123,Task1CP,1d1071e4
3,294,Task1CP,1d1071e4
4,313,Task1CP,1d1071e4
3,247,Task1CP,1d1071e4
5,617,Task1CP,1d1071e4
3,143,Task1CP,1d1071e4
5,309,Task1CP,1d1071e4
14,227,Task1CP,1d1071e4
8,310,Task1CP,1d1071e4
12,142,Task1CP,1d1071e4
5,672,Task1CP,1d1071e4
20,0,Task1CP,1d1071e4
5,806,Task1CP,1d1071e4
3,2005,Task1CP,1d1071e4
4,15,Task1CP,1d1071e4
3,47,Task1CP,1d1071e4
5,547,Task1CP,1d1071e4
6,150,Task1CP,1d1071e4
8,31,Task1CP,1d1071e4
5,1018,Task1CP,1d1071e4
8,84,Task1CP,1d1071e4
5,495,Task1CP,1d1071e4
3,164,Task1CP,1d1071e4
5,122,Task1CP,1d1071e4
6,0,Task1CP,1d1071e4
5,1267,Task1CP,1d1071e4
6,527,Task1CP,1d1071e4
18,93,Task1CP,1d1071e4
20,1358,Task1CP,1d1071e4
5,155,Task1CP,1d1071e4
6,387,Task1CP,1d1071e4
8,31,Task1CP,1d1071e4
6,93,Task1CP,1d1071e4
20,202,Task1CP,1d1071e4
21,87,Task1CP,1d1071e4
20,248,Task1CP,1d1071e4
8,372,Task1CP,1d1071e4
6,139,Task1CP,1d1071e4
20,140,Task1CP,1d1071e4
21,0,Task1CP,1d1071e4
5,418,Task1CP,1d1071e4
6,21,Task1CP,1d1071e4
8,1087,Task1CP,1d1071e4
12,562,Task1CP,1d1071e4
8,605,Task1CP,1d1071e4
12,15,Task1CP,1d1071e4
8,1472,Task1CP,1d1071e4
20,1595,Task1CP,1d1071e4
13,0,Task1CP,1d1071e4
6,485,Task1CP,1d1071e4
10,282,Task1CP,1d1071e4
12,524,Task1CP,1d1071e4
10,62,Task1CP,1d1071e4
12,153,Task1CP,1d1071e4
10,154,Task1CP,1d1071e4
6,265,Task1CP,1d1071e4
20,432,Task1CP,1d1071e4
8,0,Task1CP,1d1071e4
6,230,Task1CP,1d1071e4
3,259,Task1CP,1d1071e4
5,132,Task1CP,1d1071e4
12,281,Task1CP,1d1071e4
15,515,Task1CP,1d1071e4
0,325,Task1CP,1d1071e4
1,976,Task1CP,1d1071e4
20,16,Task1CP,1d1071e4
6,217,Task1CP,1d1071e4
0,558,Task1CP,1d1071e4
20,2806,Task1CP,1d1071e4
23,0,Task1CP,1d1071e4
18,110,Task1CP,1d1071e4
