AOIName,FixationDuration,Stimulus,Participant
10,156,Task10CM,1de0f518
2,108,Task10CM,1de0f518
1,34,Task10CM,1de0f518
13,0,Task10CM,1de0f518
15,401,Task10CM,1de0f518
16,579,Task10CM,1de0f518
15,132,Task10CM,1de0f518
18,61,Task10CM,1de0f518
17,246,Task10CM,1de0f518
2,122,Task10CM,1de0f518
0,430,Task10CM,1de0f518
15,46,Task10CM,1de0f518
16,78,Task10CM,1de0f518
0,1494,Task10CM,1de0f518
1,1561,Task10CM,1de0f518
0,155,Task10CM,1de0f518
1,280,Task10CM,1de0f518
0,138,Task10CM,1de0f518
7,112,Task10CM,1de0f518
18,78,Task10CM,1de0f518
15,695,Task10CM,1de0f518
0,941,Task10CM,1de0f518
1,4448,Task10CM,1de0f518
6,0,Task10CM,1de0f518
3,153,Task10CM,1de0f518
2,1328,Task10CM,1de0f518
1,1410,Task10CM,1de0f518
2,1626,Task10CM,1de0f518
0,510,Task10CM,1de0f518
2,762,Task10CM,1de0f518
0,632,Task10CM,1de0f518
2,1548,Task10CM,1de0f518
1,0,Task10CM,1de0f518
0,180,Task10CM,1de0f518
2,561,Task10CM,1de0f518
0,461,Task10CM,1de0f518
2,2582,Task10CM,1de0f518
1,494,Task10CM,1de0f518
2,215,Task10CM,1de0f518
4,0,Task10CM,1de0f518
2,1286,Task10CM,1de0f518
3,93,Task10CM,1de0f518
2,534,Task10CM,1de0f518
1,1744,Task10CM,1de0f518
2,2011,Task10CM,1de0f518
0,635,Task10CM,1de0f518
2,651,Task10CM,1de0f518
1,553,Task10CM,1de0f518
0,2128,Task10CM,1de0f518
2,1062,Task10CM,1de0f518
1,352,Task10CM,1de0f518
0,2041,Task10CM,1de0f518
1,420,Task10CM,1de0f518
0,309,Task10CM,1de0f518
2,323,Task10CM,1de0f518
1,492,Task10CM,1de0f518
2,0,Task10CM,1de0f518
1,0,Task10CM,1de0f518
2,384,Task10CM,1de0f518
1,4039,Task10CM,1de0f518
0,199,Task10CM,1de0f518
7,15,Task10CM,1de0f518
9,155,Task10CM,1de0f518
15,125,Task10CM,1de0f518
2,0,Task10CM,1de0f518
4,194,Task10CM,1de0f518
3,16,Task10CM,1de0f518
2,4781,Task10CM,1de0f518
3,2885,Task10CM,1de0f518
2,449,Task10CM,1de0f518
3,1308,Task10CM,1de0f518
2,2190,Task10CM,1de0f518
3,2209,Task10CM,1de0f518
2,261,Task10CM,1de0f518
4,433,Task10CM,1de0f518
3,464,Task10CM,1de0f518
15,0,Task10CM,1de0f518
3,576,Task10CM,1de0f518
16,0,Task10CM,1de0f518
15,465,Task10CM,1de0f518
9,0,Task10CM,1de0f518
3,1096,Task10CM,1de0f518
2,125,Task10CM,1de0f518
3,1310,Task10CM,1de0f518
5,0,Task10CM,1de0f518
3,216,Task10CM,1de0f518
4,16,Task10CM,1de0f518
3,299,Task10CM,1de0f518
1,1001,Task10CM,1de0f518
2,1175,Task10CM,1de0f518
3,539,Task10CM,1de0f518
15,0,Task10CM,1de0f518
16,108,Task10CM,1de0f518
15,231,Task10CM,1de0f518
3,462,Task10CM,1de0f518
4,230,Task10CM,1de0f518
5,1268,Task10CM,1de0f518
3,0,Task10CM,1de0f518
5,527,Task10CM,1de0f518
6,802,Task10CM,1de0f518
0,309,Task10CM,1de0f518
3,0,Task10CM,1de0f518
6,942,Task10CM,1de0f518
0,370,Task10CM,1de0f518
3,2086,Task10CM,1de0f518
6,3677,Task10CM,1de0f518
11,280,Task10CM,1de0f518
6,655,Task10CM,1de0f518
1,1260,Task10CM,1de0f518
5,1079,Task10CM,1de0f518
4,217,Task10CM,1de0f518
6,1037,Task10CM,1de0f518
5,167,Task10CM,1de0f518
1,1121,Task10CM,1de0f518
6,1510,Task10CM,1de0f518
8,0,Task10CM,1de0f518
6,1401,Task10CM,1de0f518
0,300,Task10CM,1de0f518
6,247,Task10CM,1de0f518
1,155,Task10CM,1de0f518
0,865,Task10CM,1de0f518
6,231,Task10CM,1de0f518
5,0,Task10CM,1de0f518
0,336,Task10CM,1de0f518
1,109,Task10CM,1de0f518
0,1282,Task10CM,1de0f518
1,1262,Task10CM,1de0f518
2,2156,Task10CM,1de0f518
1,1095,Task10CM,1de0f518
2,2336,Task10CM,1de0f518
5,0,Task10CM,1de0f518
2,2816,Task10CM,1de0f518
3,744,Task10CM,1de0f518
7,0,Task10CM,1de0f518
9,28,Task10CM,1de0f518
15,123,Task10CM,1de0f518
3,945,Task10CM,1de0f518
4,139,Task10CM,1de0f518
3,2452,Task10CM,1de0f518
2,308,Task10CM,1de0f518
3,1300,Task10CM,1de0f518
4,465,Task10CM,1de0f518
5,400,Task10CM,1de0f518
4,559,Task10CM,1de0f518
5,573,Task10CM,1de0f518
6,2783,Task10CM,1de0f518
5,0,Task10CM,1de0f518
4,214,Task10CM,1de0f518
7,153,Task10CM,1de0f518
8,506,Task10CM,1de0f518
6,323,Task10CM,1de0f518
5,90,Task10CM,1de0f518
7,18,Task10CM,1de0f518
8,123,Task10CM,1de0f518
10,404,Task10CM,1de0f518
7,67,Task10CM,1de0f518
1,2405,Task10CM,1de0f518
2,30,Task10CM,1de0f518
1,544,Task10CM,1de0f518
0,945,Task10CM,1de0f518
2,5312,Task10CM,1de0f518
1,236,Task10CM,1de0f518
2,448,Task10CM,1de0f518
1,1671,Task10CM,1de0f518
2,750,Task10CM,1de0f518
1,354,Task10CM,1de0f518
2,170,Task10CM,1de0f518
4,47,Task10CM,1de0f518
2,1191,Task10CM,1de0f518
3,362,Task10CM,1de0f518
2,140,Task10CM,1de0f518
3,2778,Task10CM,1de0f518
15,0,Task10CM,1de0f518
7,0,Task10CM,1de0f518
4,16,Task10CM,1de0f518
3,1495,Task10CM,1de0f518
4,900,Task10CM,1de0f518
5,925,Task10CM,1de0f518
4,185,Task10CM,1de0f518
6,1828,Task10CM,1de0f518
2,681,Task10CM,1de0f518
4,263,Task10CM,1de0f518
6,526,Task10CM,1de0f518
5,15,Task10CM,1de0f518
6,853,Task10CM,1de0f518
2,2168,Task10CM,1de0f518
6,451,Task10CM,1de0f518
1,78,Task10CM,1de0f518
0,1903,Task10CM,1de0f518
8,253,Task10CM,1de0f518
11,263,Task10CM,1de0f518
5,84,Task10CM,1de0f518
6,1485,Task10CM,1de0f518
8,322,Task10CM,1de0f518
9,15,Task10CM,1de0f518
7,587,Task10CM,1de0f518
5,107,Task10CM,1de0f518
4,311,Task10CM,1de0f518
5,229,Task10CM,1de0f518
4,16,Task10CM,1de0f518
3,493,Task10CM,1de0f518
4,404,Task10CM,1de0f518
6,170,Task10CM,1de0f518
7,21,Task10CM,1de0f518
8,124,Task10CM,1de0f518
10,978,Task10CM,1de0f518
5,1081,Task10CM,1de0f518
3,265,Task10CM,1de0f518
7,0,Task10CM,1de0f518
6,131,Task10CM,1de0f518
5,788,Task10CM,1de0f518
6,450,Task10CM,1de0f518
4,16,Task10CM,1de0f518
6,574,Task10CM,1de0f518
2,278,Task10CM,1de0f518
1,108,Task10CM,1de0f518
6,406,Task10CM,1de0f518
4,0,Task10CM,1de0f518
5,170,Task10CM,1de0f518
7,571,Task10CM,1de0f518
6,124,Task10CM,1de0f518
1,244,Task10CM,1de0f518
2,759,Task10CM,1de0f518
4,0,Task10CM,1de0f518
7,1238,Task10CM,1de0f518
8,0,Task10CM,1de0f518
7,756,Task10CM,1de0f518
5,187,Task10CM,1de0f518
7,795,Task10CM,1de0f518
4,531,Task10CM,1de0f518
5,179,Task10CM,1de0f518
4,15,Task10CM,1de0f518
2,1377,Task10CM,1de0f518
0,914,Task10CM,1de0f518
7,653,Task10CM,1de0f518
8,417,Task10CM,1de0f518
0,421,Task10CM,1de0f518
8,557,Task10CM,1de0f518
11,100,Task10CM,1de0f518
8,385,Task10CM,1de0f518
11,136,Task10CM,1de0f518
4,15,Task10CM,1de0f518
1,1770,Task10CM,1de0f518
4,233,Task10CM,1de0f518
2,0,Task10CM,1de0f518
1,47,Task10CM,1de0f518
4,0,Task10CM,1de0f518
7,587,Task10CM,1de0f518
4,0,Task10CM,1de0f518
1,76,Task10CM,1de0f518
0,0,Task10CM,1de0f518
1,1334,Task10CM,1de0f518
9,141,Task10CM,1de0f518
10,34,Task10CM,1de0f518
11,280,Task10CM,1de0f518
10,232,Task10CM,1de0f518
17,633,Task10CM,1de0f518
15,40,Task10CM,1de0f518
9,0,Task10CM,1de0f518
8,321,Task10CM,1de0f518
11,400,Task10CM,1de0f518
2,47,Task10CM,1de0f518
0,432,Task10CM,1de0f518
13,0,Task10CM,1de0f518
16,985,Task10CM,1de0f518
18,0,Task10CM,1de0f518
17,156,Task10CM,1de0f518
16,662,Task10CM,1de0f518
15,562,Task10CM,1de0f518
8,1218,Task10CM,1de0f518
10,304,Task10CM,1de0f518
1,1280,Task10CM,1de0f518
4,138,Task10CM,1de0f518
5,15,Task10CM,1de0f518
7,325,Task10CM,1de0f518
5,16,Task10CM,1de0f518
2,2827,Task10CM,1de0f518
1,154,Task10CM,1de0f518
9,171,Task10CM,1de0f518
2,972,Task10CM,1de0f518
1,1824,Task10CM,1de0f518
8,263,Task10CM,1de0f518
10,93,Task10CM,1de0f518
11,216,Task10CM,1de0f518
10,107,Task10CM,1de0f518
4,177,Task10CM,1de0f518
8,108,Task10CM,1de0f518
15,276,Task10CM,1de0f518
17,441,Task10CM,1de0f518
16,139,Task10CM,1de0f518
