AOIName,FixationDuration,Stimulus,Participant
0,47,Task2CP,1de0f518
15,0,Task2CP,1de0f518
22,31,Task2CP,1de0f518
20,240,Task2CP,1de0f518
21,976,Task2CP,1de0f518
22,3040,Task2CP,1de0f518
21,0,Task2CP,1de0f518
22,4019,Task2CP,1de0f518
24,0,Task2CP,1de0f518
21,0,Task2CP,1de0f518
22,1183,Task2CP,1de0f518
23,277,Task2CP,1de0f518
0,237,Task2CP,1de0f518
12,78,Task2CP,1de0f518
16,203,Task2CP,1de0f518
22,302,Task2CP,1de0f518
21,2484,Task2CP,1de0f518
22,170,Task2CP,1de0f518
21,251,Task2CP,1de0f518
22,340,Task2CP,1de0f518
23,234,Task2CP,1de0f518
22,1354,Task2CP,1de0f518
11,78,Task2CP,1de0f518
0,981,Task2CP,1de0f518
23,457,Task2CP,1de0f518
16,291,Task2CP,1de0f518
1,92,Task2CP,1de0f518
12,0,Task2CP,1de0f518
16,332,Task2CP,1de0f518
15,353,Task2CP,1de0f518
16,859,Task2CP,1de0f518
10,46,Task2CP,1de0f518
12,107,Task2CP,1de0f518
1,107,Task2CP,1de0f518
0,0,Task2CP,1de0f518
22,139,Task2CP,1de0f518
21,186,Task2CP,1de0f518
3,93,Task2CP,1de0f518
1,244,Task2CP,1de0f518
0,2733,Task2CP,1de0f518
1,326,Task2CP,1de0f518
0,3704,Task2CP,1de0f518
12,79,Task2CP,1de0f518
0,112,Task2CP,1de0f518
1,3043,Task2CP,1de0f518
0,3944,Task2CP,1de0f518
1,201,Task2CP,1de0f518
0,13309,Task2CP,1de0f518
1,1206,Task2CP,1de0f518
0,1133,Task2CP,1de0f518
2,94,Task2CP,1de0f518
0,373,Task2CP,1de0f518
2,233,Task2CP,1de0f518
1,1986,Task2CP,1de0f518
3,247,Task2CP,1de0f518
1,3208,Task2CP,1de0f518
0,3851,Task2CP,1de0f518
1,9911,Task2CP,1de0f518
3,319,Task2CP,1de0f518
7,22,Task2CP,1de0f518
3,5934,Task2CP,1de0f518
0,263,Task2CP,1de0f518
3,42,Task2CP,1de0f518
