AOIName,FixationDuration,Stimulus,Participant
4,1423,Task6CM,45c939e2
0,29491,Task6CM,45c939e2
9,156,Task6CM,45c939e2
12,0,Task6CM,45c939e2
15,414,Task6CM,45c939e2
12,2978,Task6CM,45c939e2
7,0,Task6CM,45c939e2
1,904,Task6CM,45c939e2
6,154,Task6CM,45c939e2
8,21,Task6CM,45c939e2
7,1218,Task6CM,45c939e2
6,3300,Task6CM,45c939e2
7,3857,Task6CM,45c939e2
6,851,Task6CM,45c939e2
2,449,Task6CM,45c939e2
3,140,Task6CM,45c939e2
13,302,Task6CM,45c939e2
12,323,Task6CM,45c939e2
13,0,Task6CM,45c939e2
14,164,Task6CM,45c939e2
17,1330,Task6CM,45c939e2
3,171,Task6CM,45c939e2
6,665,Task6CM,45c939e2
3,450,Task6CM,45c939e2
17,294,Task6CM,45c939e2
5,697,Task6CM,45c939e2
3,408,Task6CM,45c939e2
5,991,Task6CM,45c939e2
6,323,Task6CM,45c939e2
12,63,Task6CM,45c939e2
17,170,Task6CM,45c939e2
6,565,Task6CM,45c939e2
5,418,Task6CM,45c939e2
6,804,Task6CM,45c939e2
7,338,Task6CM,45c939e2
17,1582,Task6CM,45c939e2
5,985,Task6CM,45c939e2
8,0,Task6CM,45c939e2
6,365,Task6CM,45c939e2
7,722,Task6CM,45c939e2
6,15,Task6CM,45c939e2
4,799,Task6CM,45c939e2
6,140,Task6CM,45c939e2
17,867,Task6CM,45c939e2
18,57,Task6CM,45c939e2
17,70,Task6CM,45c939e2
18,0,Task6CM,45c939e2
17,9008,Task6CM,45c939e2
6,1347,Task6CM,45c939e2
7,219,Task6CM,45c939e2
13,123,Task6CM,45c939e2
12,154,Task6CM,45c939e2
6,124,Task6CM,45c939e2
7,432,Task6CM,45c939e2
17,3227,Task6CM,45c939e2
18,0,Task6CM,45c939e2
17,3413,Task6CM,45c939e2
18,1183,Task6CM,45c939e2
17,0,Task6CM,45c939e2
18,756,Task6CM,45c939e2
17,148,Task6CM,45c939e2
19,626,Task6CM,45c939e2
20,35,Task6CM,45c939e2
17,2122,Task6CM,45c939e2
