AOIName,FixationDuration,Stimulus,Participant
4,78,Task9CP,45c939e2
1,68,Task9CP,45c939e2
0,78,Task9CP,45c939e2
3,0,Task9CP,45c939e2
2,324,Task9CP,45c939e2
6,418,Task9CP,45c939e2
16,447,Task9CP,45c939e2
12,78,Task9CP,45c939e2
1,296,Task9CP,45c939e2
0,187,Task9CP,45c939e2
2,16,Task9CP,45c939e2
0,535,Task9CP,45c939e2
2,507,Task9CP,45c939e2
4,215,Task9CP,45c939e2
2,296,Task9CP,45c939e2
0,445,Task9CP,45c939e2
19,327,Task9CP,45c939e2
20,292,Task9CP,45c939e2
19,1025,Task9CP,45c939e2
20,785,Task9CP,45c939e2
21,570,Task9CP,45c939e2
0,477,Task9CP,45c939e2
1,1021,Task9CP,45c939e2
3,138,Task9CP,45c939e2
1,385,Task9CP,45c939e2
2,231,Task9CP,45c939e2
1,153,Task9CP,45c939e2
2,293,Task9CP,45c939e2
1,374,Task9CP,45c939e2
0,140,Task9CP,45c939e2
1,230,Task9CP,45c939e2
3,1410,Task9CP,45c939e2
1,149,Task9CP,45c939e2
5,340,Task9CP,45c939e2
3,585,Task9CP,45c939e2
5,384,Task9CP,45c939e2
4,68,Task9CP,45c939e2
5,122,Task9CP,45c939e2
6,661,Task9CP,45c939e2
7,587,Task9CP,45c939e2
0,284,Task9CP,45c939e2
2,246,Task9CP,45c939e2
0,1368,Task9CP,45c939e2
1,280,Task9CP,45c939e2
0,573,Task9CP,45c939e2
6,262,Task9CP,45c939e2
5,848,Task9CP,45c939e2
0,521,Task9CP,45c939e2
3,648,Task9CP,45c939e2
5,1021,Task9CP,45c939e2
6,998,Task9CP,45c939e2
0,323,Task9CP,45c939e2
6,1544,Task9CP,45c939e2
3,139,Task9CP,45c939e2
6,538,Task9CP,45c939e2
3,292,Task9CP,45c939e2
1,278,Task9CP,45c939e2
3,124,Task9CP,45c939e2
2,544,Task9CP,45c939e2
3,91,Task9CP,45c939e2
7,246,Task9CP,45c939e2
8,1375,Task9CP,45c939e2
10,381,Task9CP,45c939e2
8,1197,Task9CP,45c939e2
9,1256,Task9CP,45c939e2
8,107,Task9CP,45c939e2
9,308,Task9CP,45c939e2
8,374,Task9CP,45c939e2
9,1067,Task9CP,45c939e2
7,442,Task9CP,45c939e2
10,355,Task9CP,45c939e2
9,431,Task9CP,45c939e2
10,421,Task9CP,45c939e2
11,641,Task9CP,45c939e2
19,93,Task9CP,45c939e2
20,402,Task9CP,45c939e2
19,0,Task9CP,45c939e2
20,31,Task9CP,45c939e2
19,116,Task9CP,45c939e2
8,47,Task9CP,45c939e2
5,100,Task9CP,45c939e2
19,208,Task9CP,45c939e2
11,0,Task9CP,45c939e2
19,695,Task9CP,45c939e2
6,203,Task9CP,45c939e2
10,0,Task9CP,45c939e2
