AOIName,FixationDuration,Stimulus,Participant
16,0,Task11CP,4d750b0b
18,168,Task11CP,4d750b0b
16,0,Task11CP,4d750b0b
2,691,Task11CP,4d750b0b
0,30,Task11CP,4d750b0b
26,0,Task11CP,4d750b0b
25,0,Task11CP,4d750b0b
2,555,Task11CP,4d750b0b
8,646,Task11CP,4d750b0b
5,450,Task11CP,4d750b0b
9,401,Task11CP,4d750b0b
10,279,Task11CP,4d750b0b
11,504,Task11CP,4d750b0b
8,342,Task11CP,4d750b0b
5,0,Task11CP,4d750b0b
4,399,Task11CP,4d750b0b
6,139,Task11CP,4d750b0b
10,31,Task11CP,4d750b0b
4,192,Task11CP,4d750b0b
3,446,Task11CP,4d750b0b
11,0,Task11CP,4d750b0b
4,359,Task11CP,4d750b0b
2,323,Task11CP,4d750b0b
0,694,Task11CP,4d750b0b
2,113,Task11CP,4d750b0b
0,101,Task11CP,4d750b0b
15,138,Task11CP,4d750b0b
16,124,Task11CP,4d750b0b
18,232,Task11CP,4d750b0b
19,325,Task11CP,4d750b0b
18,325,Task11CP,4d750b0b
5,388,Task11CP,4d750b0b
11,0,Task11CP,4d750b0b
5,323,Task11CP,4d750b0b
3,400,Task11CP,4d750b0b
7,79,Task11CP,4d750b0b
5,131,Task11CP,4d750b0b
9,482,Task11CP,4d750b0b
21,32,Task11CP,4d750b0b
8,211,Task11CP,4d750b0b
6,86,Task11CP,4d750b0b
8,62,Task11CP,4d750b0b
6,0,Task11CP,4d750b0b
8,625,Task11CP,4d750b0b
11,0,Task11CP,4d750b0b
5,944,Task11CP,4d750b0b
6,154,Task11CP,4d750b0b
5,587,Task11CP,4d750b0b
6,174,Task11CP,4d750b0b
4,0,Task11CP,4d750b0b
6,30,Task11CP,4d750b0b
10,401,Task11CP,4d750b0b
8,321,Task11CP,4d750b0b
10,918,Task11CP,4d750b0b
12,451,Task11CP,4d750b0b
10,187,Task11CP,4d750b0b
8,496,Task11CP,4d750b0b
7,0,Task11CP,4d750b0b
9,1158,Task11CP,4d750b0b
11,2646,Task11CP,4d750b0b
1,444,Task11CP,4d750b0b
3,452,Task11CP,4d750b0b
5,932,Task11CP,4d750b0b
3,1248,Task11CP,4d750b0b
11,430,Task11CP,4d750b0b
9,322,Task11CP,4d750b0b
14,186,Task11CP,4d750b0b
17,32,Task11CP,4d750b0b
22,47,Task11CP,4d750b0b
21,84,Task11CP,4d750b0b
9,216,Task11CP,4d750b0b
7,0,Task11CP,4d750b0b
5,943,Task11CP,4d750b0b
2,170,Task11CP,4d750b0b
