AOIName,FixationDuration,Stimulus,Participant
9,0,Task5CM,4d750b0b
4,39,Task5CM,4d750b0b
0,2665,Task5CM,4d750b0b
2,2127,Task5CM,4d750b0b
1,353,Task5CM,4d750b0b
5,31,Task5CM,4d750b0b
2,2534,Task5CM,4d750b0b
1,277,Task5CM,4d750b0b
3,322,Task5CM,4d750b0b
2,169,Task5CM,4d750b0b
4,31,Task5CM,4d750b0b
2,634,Task5CM,4d750b0b
3,263,Task5CM,4d750b0b
0,361,Task5CM,4d750b0b
2,1352,Task5CM,4d750b0b
1,571,Task5CM,4d750b0b
2,0,Task5CM,4d750b0b
0,649,Task5CM,4d750b0b
1,0,Task5CM,4d750b0b
2,0,Task5CM,4d750b0b
3,45,Task5CM,4d750b0b
2,277,Task5CM,4d750b0b
4,0,Task5CM,4d750b0b
1,184,Task5CM,4d750b0b
2,2263,Task5CM,4d750b0b
3,246,Task5CM,4d750b0b
2,1345,Task5CM,4d750b0b
3,48,Task5CM,4d750b0b
4,1578,Task5CM,4d750b0b
5,62,Task5CM,4d750b0b
4,1209,Task5CM,4d750b0b
5,1626,Task5CM,4d750b0b
4,1663,Task5CM,4d750b0b
5,1900,Task5CM,4d750b0b
4,1029,Task5CM,4d750b0b
3,140,Task5CM,4d750b0b
4,896,Task5CM,4d750b0b
3,155,Task5CM,4d750b0b
1,572,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
4,40,Task5CM,4d750b0b
2,339,Task5CM,4d750b0b
1,492,Task5CM,4d750b0b
4,705,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
4,815,Task5CM,4d750b0b
0,675,Task5CM,4d750b0b
3,0,Task5CM,4d750b0b
4,0,Task5CM,4d750b0b
5,357,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
4,1588,Task5CM,4d750b0b
3,352,Task5CM,4d750b0b
5,184,Task5CM,4d750b0b
4,231,Task5CM,4d750b0b
6,16,Task5CM,4d750b0b
4,334,Task5CM,4d750b0b
3,551,Task5CM,4d750b0b
4,16,Task5CM,4d750b0b
6,25,Task5CM,4d750b0b
5,2851,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
5,983,Task5CM,4d750b0b
4,295,Task5CM,4d750b0b
5,404,Task5CM,4d750b0b
2,521,Task5CM,4d750b0b
3,357,Task5CM,4d750b0b
7,15,Task5CM,4d750b0b
4,619,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
5,1535,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
5,2286,Task5CM,4d750b0b
3,476,Task5CM,4d750b0b
2,140,Task5CM,4d750b0b
3,539,Task5CM,4d750b0b
4,176,Task5CM,4d750b0b
2,1084,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
6,294,Task5CM,4d750b0b
7,184,Task5CM,4d750b0b
6,200,Task5CM,4d750b0b
5,92,Task5CM,4d750b0b
7,763,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
7,1184,Task5CM,4d750b0b
6,431,Task5CM,4d750b0b
5,312,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
4,1113,Task5CM,4d750b0b
5,677,Task5CM,4d750b0b
4,230,Task5CM,4d750b0b
5,355,Task5CM,4d750b0b
4,310,Task5CM,4d750b0b
5,68,Task5CM,4d750b0b
18,0,Task5CM,4d750b0b
5,430,Task5CM,4d750b0b
6,247,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
3,934,Task5CM,4d750b0b
6,35,Task5CM,4d750b0b
5,762,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
5,354,Task5CM,4d750b0b
4,403,Task5CM,4d750b0b
3,631,Task5CM,4d750b0b
4,40,Task5CM,4d750b0b
3,644,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
4,306,Task5CM,4d750b0b
5,29,Task5CM,4d750b0b
3,399,Task5CM,4d750b0b
5,40,Task5CM,4d750b0b
3,895,Task5CM,4d750b0b
4,382,Task5CM,4d750b0b
5,31,Task5CM,4d750b0b
4,510,Task5CM,4d750b0b
2,402,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
3,1424,Task5CM,4d750b0b
2,355,Task5CM,4d750b0b
3,308,Task5CM,4d750b0b
4,46,Task5CM,4d750b0b
2,957,Task5CM,4d750b0b
4,31,Task5CM,4d750b0b
2,979,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
4,0,Task5CM,4d750b0b
2,230,Task5CM,4d750b0b
4,31,Task5CM,4d750b0b
3,183,Task5CM,4d750b0b
4,46,Task5CM,4d750b0b
3,666,Task5CM,4d750b0b
2,1089,Task5CM,4d750b0b
3,460,Task5CM,4d750b0b
4,0,Task5CM,4d750b0b
3,719,Task5CM,4d750b0b
2,861,Task5CM,4d750b0b
4,139,Task5CM,4d750b0b
5,339,Task5CM,4d750b0b
4,1995,Task5CM,4d750b0b
5,589,Task5CM,4d750b0b
6,16,Task5CM,4d750b0b
2,242,Task5CM,4d750b0b
5,31,Task5CM,4d750b0b
4,674,Task5CM,4d750b0b
5,55,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
6,2796,Task5CM,4d750b0b
7,1954,Task5CM,4d750b0b
6,673,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
7,123,Task5CM,4d750b0b
5,47,Task5CM,4d750b0b
4,34,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
3,0,Task5CM,4d750b0b
6,1493,Task5CM,4d750b0b
7,231,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
7,1834,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,1683,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,1249,Task5CM,4d750b0b
6,1512,Task5CM,4d750b0b
5,94,Task5CM,4d750b0b
4,437,Task5CM,4d750b0b
5,184,Task5CM,4d750b0b
6,47,Task5CM,4d750b0b
5,786,Task5CM,4d750b0b
6,277,Task5CM,4d750b0b
4,309,Task5CM,4d750b0b
5,167,Task5CM,4d750b0b
6,789,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
10,341,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
6,367,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
4,2735,Task5CM,4d750b0b
6,757,Task5CM,4d750b0b
5,275,Task5CM,4d750b0b
6,1217,Task5CM,4d750b0b
7,263,Task5CM,4d750b0b
4,614,Task5CM,4d750b0b
5,270,Task5CM,4d750b0b
18,0,Task5CM,4d750b0b
5,61,Task5CM,4d750b0b
6,37,Task5CM,4d750b0b
5,739,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
5,186,Task5CM,4d750b0b
4,184,Task5CM,4d750b0b
5,262,Task5CM,4d750b0b
3,445,Task5CM,4d750b0b
4,48,Task5CM,4d750b0b
9,30,Task5CM,4d750b0b
6,39,Task5CM,4d750b0b
5,92,Task5CM,4d750b0b
4,600,Task5CM,4d750b0b
5,16,Task5CM,4d750b0b
4,739,Task5CM,4d750b0b
7,31,Task5CM,4d750b0b
5,234,Task5CM,4d750b0b
4,741,Task5CM,4d750b0b
7,16,Task5CM,4d750b0b
3,91,Task5CM,4d750b0b
7,28,Task5CM,4d750b0b
5,108,Task5CM,4d750b0b
6,490,Task5CM,4d750b0b
5,354,Task5CM,4d750b0b
6,216,Task5CM,4d750b0b
5,232,Task5CM,4d750b0b
4,587,Task5CM,4d750b0b
19,0,Task5CM,4d750b0b
5,539,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
19,0,Task5CM,4d750b0b
18,45,Task5CM,4d750b0b
16,1054,Task5CM,4d750b0b
17,848,Task5CM,4d750b0b
13,492,Task5CM,4d750b0b
4,264,Task5CM,4d750b0b
6,138,Task5CM,4d750b0b
2,533,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
10,588,Task5CM,4d750b0b
8,18,Task5CM,4d750b0b
7,138,Task5CM,4d750b0b
5,186,Task5CM,4d750b0b
6,324,Task5CM,4d750b0b
5,46,Task5CM,4d750b0b
2,1435,Task5CM,4d750b0b
15,46,Task5CM,4d750b0b
13,0,Task5CM,4d750b0b
10,565,Task5CM,4d750b0b
8,0,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
2,355,Task5CM,4d750b0b
3,0,Task5CM,4d750b0b
6,216,Task5CM,4d750b0b
8,77,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
8,123,Task5CM,4d750b0b
2,695,Task5CM,4d750b0b
4,0,Task5CM,4d750b0b
6,306,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
10,370,Task5CM,4d750b0b
1,586,Task5CM,4d750b0b
10,61,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
10,327,Task5CM,4d750b0b
6,574,Task5CM,4d750b0b
5,1008,Task5CM,4d750b0b
4,0,Task5CM,4d750b0b
7,17,Task5CM,4d750b0b
5,614,Task5CM,4d750b0b
4,1034,Task5CM,4d750b0b
3,62,Task5CM,4d750b0b
5,0,Task5CM,4d750b0b
7,140,Task5CM,4d750b0b
5,677,Task5CM,4d750b0b
6,47,Task5CM,4d750b0b
5,1263,Task5CM,4d750b0b
6,201,Task5CM,4d750b0b
7,94,Task5CM,4d750b0b
5,16,Task5CM,4d750b0b
6,583,Task5CM,4d750b0b
7,462,Task5CM,4d750b0b
6,172,Task5CM,4d750b0b
7,450,Task5CM,4d750b0b
6,353,Task5CM,4d750b0b
7,434,Task5CM,4d750b0b
5,46,Task5CM,4d750b0b
3,123,Task5CM,4d750b0b
4,35,Task5CM,4d750b0b
5,138,Task5CM,4d750b0b
6,242,Task5CM,4d750b0b
7,595,Task5CM,4d750b0b
6,38,Task5CM,4d750b0b
7,231,Task5CM,4d750b0b
6,481,Task5CM,4d750b0b
7,496,Task5CM,4d750b0b
6,289,Task5CM,4d750b0b
7,2414,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,447,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,200,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,322,Task5CM,4d750b0b
6,140,Task5CM,4d750b0b
7,318,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,631,Task5CM,4d750b0b
9,356,Task5CM,4d750b0b
7,370,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
7,1540,Task5CM,4d750b0b
9,0,Task5CM,4d750b0b
7,2798,Task5CM,4d750b0b
6,103,Task5CM,4d750b0b
7,354,Task5CM,4d750b0b
6,358,Task5CM,4d750b0b
7,47,Task5CM,4d750b0b
6,277,Task5CM,4d750b0b
7,1114,Task5CM,4d750b0b
6,99,Task5CM,4d750b0b
7,226,Task5CM,4d750b0b
9,32,Task5CM,4d750b0b
7,3047,Task5CM,4d750b0b
9,322,Task5CM,4d750b0b
7,94,Task5CM,4d750b0b
9,33,Task5CM,4d750b0b
7,275,Task5CM,4d750b0b
9,225,Task5CM,4d750b0b
7,2289,Task5CM,4d750b0b
9,30,Task5CM,4d750b0b
6,124,Task5CM,4d750b0b
7,1075,Task5CM,4d750b0b
15,768,Task5CM,4d750b0b
16,896,Task5CM,4d750b0b
7,282,Task5CM,4d750b0b
5,139,Task5CM,4d750b0b
3,290,Task5CM,4d750b0b
5,138,Task5CM,4d750b0b
6,109,Task5CM,4d750b0b
7,138,Task5CM,4d750b0b
6,448,Task5CM,4d750b0b
7,1017,Task5CM,4d750b0b
6,400,Task5CM,4d750b0b
5,1635,Task5CM,4d750b0b
6,0,Task5CM,4d750b0b
5,734,Task5CM,4d750b0b
6,506,Task5CM,4d750b0b
7,0,Task5CM,4d750b0b
6,113,Task5CM,4d750b0b
9,46,Task5CM,4d750b0b
7,199,Task5CM,4d750b0b
6,1086,Task5CM,4d750b0b
5,587,Task5CM,4d750b0b
6,371,Task5CM,4d750b0b
7,1432,Task5CM,4d750b0b
