AOIName,FixationDuration,Stimulus,Participant
1,109,Task4CP,5e4ae544
0,108,Task4CP,5e4ae544
2,16,Task4CP,5e4ae544
4,130,Task4CP,5e4ae544
1,2713,Task4CP,5e4ae544
3,587,Task4CP,5e4ae544
1,3768,Task4CP,5e4ae544
0,524,Task4CP,5e4ae544
1,476,Task4CP,5e4ae544
5,27,Task4CP,5e4ae544
0,341,Task4CP,5e4ae544
4,465,Task4CP,5e4ae544
1,402,Task4CP,5e4ae544
2,835,Task4CP,5e4ae544
7,0,Task4CP,5e4ae544
3,200,Task4CP,5e4ae544
7,112,Task4CP,5e4ae544
4,182,Task4CP,5e4ae544
7,139,Task4CP,5e4ae544
5,1928,Task4CP,5e4ae544
1,0,Task4CP,5e4ae544
5,816,Task4CP,5e4ae544
1,55,Task4CP,5e4ae544
0,310,Task4CP,5e4ae544
3,0,Task4CP,5e4ae544
5,62,Task4CP,5e4ae544
1,77,Task4CP,5e4ae544
30,354,Task4CP,5e4ae544
31,17,Task4CP,5e4ae544
30,120,Task4CP,5e4ae544
9,0,Task4CP,5e4ae544
5,1931,Task4CP,5e4ae544
9,557,Task4CP,5e4ae544
6,1502,Task4CP,5e4ae544
9,0,Task4CP,5e4ae544
10,0,Task4CP,5e4ae544
5,605,Task4CP,5e4ae544
6,93,Task4CP,5e4ae544
5,320,Task4CP,5e4ae544
6,84,Task4CP,5e4ae544
5,78,Task4CP,5e4ae544
0,538,Task4CP,5e4ae544
5,247,Task4CP,5e4ae544
6,0,Task4CP,5e4ae544
5,0,Task4CP,5e4ae544
1,122,Task4CP,5e4ae544
0,1642,Task4CP,5e4ae544
1,175,Task4CP,5e4ae544
0,245,Task4CP,5e4ae544
9,665,Task4CP,5e4ae544
10,0,Task4CP,5e4ae544
6,76,Task4CP,5e4ae544
9,105,Task4CP,5e4ae544
11,87,Task4CP,5e4ae544
9,4917,Task4CP,5e4ae544
11,365,Task4CP,5e4ae544
9,6140,Task4CP,5e4ae544
10,2618,Task4CP,5e4ae544
12,461,Task4CP,5e4ae544
10,446,Task4CP,5e4ae544
12,941,Task4CP,5e4ae544
14,599,Task4CP,5e4ae544
16,63,Task4CP,5e4ae544
12,1233,Task4CP,5e4ae544
3,2095,Task4CP,5e4ae544
6,1157,Task4CP,5e4ae544
5,416,Task4CP,5e4ae544
12,0,Task4CP,5e4ae544
11,31,Task4CP,5e4ae544
13,30,Task4CP,5e4ae544
17,54,Task4CP,5e4ae544
13,0,Task4CP,5e4ae544
11,276,Task4CP,5e4ae544
10,485,Task4CP,5e4ae544
11,130,Task4CP,5e4ae544
15,46,Task4CP,5e4ae544
11,1616,Task4CP,5e4ae544
13,0,Task4CP,5e4ae544
21,354,Task4CP,5e4ae544
22,0,Task4CP,5e4ae544
17,263,Task4CP,5e4ae544
13,620,Task4CP,5e4ae544
15,461,Task4CP,5e4ae544
17,0,Task4CP,5e4ae544
15,260,Task4CP,5e4ae544
16,203,Task4CP,5e4ae544
14,277,Task4CP,5e4ae544
13,446,Task4CP,5e4ae544
16,151,Task4CP,5e4ae544
1,217,Task4CP,5e4ae544
3,354,Task4CP,5e4ae544
28,299,Task4CP,5e4ae544
14,246,Task4CP,5e4ae544
31,0,Task4CP,5e4ae544
28,0,Task4CP,5e4ae544
16,169,Task4CP,5e4ae544
10,76,Task4CP,5e4ae544
21,175,Task4CP,5e4ae544
5,182,Task4CP,5e4ae544
10,137,Task4CP,5e4ae544
11,358,Task4CP,5e4ae544
12,364,Task4CP,5e4ae544
11,292,Task4CP,5e4ae544
14,277,Task4CP,5e4ae544
16,711,Task4CP,5e4ae544
20,278,Task4CP,5e4ae544
14,1097,Task4CP,5e4ae544
16,44,Task4CP,5e4ae544
14,911,Task4CP,5e4ae544
12,397,Task4CP,5e4ae544
14,555,Task4CP,5e4ae544
12,436,Task4CP,5e4ae544
15,1651,Task4CP,5e4ae544
7,108,Task4CP,5e4ae544
11,0,Task4CP,5e4ae544
2,495,Task4CP,5e4ae544
13,0,Task4CP,5e4ae544
12,154,Task4CP,5e4ae544
6,0,Task4CP,5e4ae544
3,545,Task4CP,5e4ae544
6,190,Task4CP,5e4ae544
9,2459,Task4CP,5e4ae544
1,600,Task4CP,5e4ae544
5,214,Task4CP,5e4ae544
9,414,Task4CP,5e4ae544
12,0,Task4CP,5e4ae544
9,1020,Task4CP,5e4ae544
6,311,Task4CP,5e4ae544
9,245,Task4CP,5e4ae544
28,0,Task4CP,5e4ae544
29,22,Task4CP,5e4ae544
28,0,Task4CP,5e4ae544
10,726,Task4CP,5e4ae544
29,17,Task4CP,5e4ae544
28,153,Task4CP,5e4ae544
21,368,Task4CP,5e4ae544
22,492,Task4CP,5e4ae544
21,78,Task4CP,5e4ae544
23,252,Task4CP,5e4ae544
19,371,Task4CP,5e4ae544
28,507,Task4CP,5e4ae544
10,108,Task4CP,5e4ae544
6,368,Task4CP,5e4ae544
3,92,Task4CP,5e4ae544
0,47,Task4CP,5e4ae544
22,185,Task4CP,5e4ae544
21,0,Task4CP,5e4ae544
22,325,Task4CP,5e4ae544
21,122,Task4CP,5e4ae544
13,727,Task4CP,5e4ae544
15,123,Task4CP,5e4ae544
13,1021,Task4CP,5e4ae544
15,418,Task4CP,5e4ae544
13,0,Task4CP,5e4ae544
11,92,Task4CP,5e4ae544
15,1269,Task4CP,5e4ae544
17,86,Task4CP,5e4ae544
7,0,Task4CP,5e4ae544
