AOIName,FixationDuration,Stimulus,Participant
0,373,Task9CM,5e4ae544
1,16,Task9CM,5e4ae544
0,1267,Task9CM,5e4ae544
1,447,Task9CM,5e4ae544
0,1769,Task9CM,5e4ae544
1,186,Task9CM,5e4ae544
0,5644,Task9CM,5e4ae544
1,1606,Task9CM,5e4ae544
3,0,Task9CM,5e4ae544
1,1186,Task9CM,5e4ae544
2,16,Task9CM,5e4ae544
1,6075,Task9CM,5e4ae544
2,339,Task9CM,5e4ae544
1,980,Task9CM,5e4ae544
2,892,Task9CM,5e4ae544
1,1026,Task9CM,5e4ae544
0,2426,Task9CM,5e4ae544
2,21,Task9CM,5e4ae544
0,3820,Task9CM,5e4ae544
1,2978,Task9CM,5e4ae544
0,802,Task9CM,5e4ae544
1,2158,Task9CM,5e4ae544
0,201,Task9CM,5e4ae544
1,138,Task9CM,5e4ae544
2,862,Task9CM,5e4ae544
5,0,Task9CM,5e4ae544
2,8164,Task9CM,5e4ae544
3,2142,Task9CM,5e4ae544
1,45,Task9CM,5e4ae544
0,247,Task9CM,5e4ae544
1,705,Task9CM,5e4ae544
0,980,Task9CM,5e4ae544
3,2505,Task9CM,5e4ae544
2,701,Task9CM,5e4ae544
1,351,Task9CM,5e4ae544
2,631,Task9CM,5e4ae544
3,2695,Task9CM,5e4ae544
6,0,Task9CM,5e4ae544
4,20,Task9CM,5e4ae544
3,760,Task9CM,5e4ae544
5,784,Task9CM,5e4ae544
4,215,Task9CM,5e4ae544
5,339,Task9CM,5e4ae544
6,1013,Task9CM,5e4ae544
7,109,Task9CM,5e4ae544
9,519,Task9CM,5e4ae544
13,1350,Task9CM,5e4ae544
14,1327,Task9CM,5e4ae544
13,3804,Task9CM,5e4ae544
3,168,Task9CM,5e4ae544
0,1920,Task9CM,5e4ae544
1,3434,Task9CM,5e4ae544
2,1183,Task9CM,5e4ae544
1,201,Task9CM,5e4ae544
4,24,Task9CM,5e4ae544
2,2202,Task9CM,5e4ae544
3,16,Task9CM,5e4ae544
2,8687,Task9CM,5e4ae544
4,23,Task9CM,5e4ae544
2,2122,Task9CM,5e4ae544
1,662,Task9CM,5e4ae544
0,1003,Task9CM,5e4ae544
2,31,Task9CM,5e4ae544
0,0,Task9CM,5e4ae544
3,20,Task9CM,5e4ae544
0,1582,Task9CM,5e4ae544
1,15,Task9CM,5e4ae544
3,0,Task9CM,5e4ae544
0,2287,Task9CM,5e4ae544
1,2509,Task9CM,5e4ae544
2,2282,Task9CM,5e4ae544
0,2294,Task9CM,5e4ae544
3,5797,Task9CM,5e4ae544
4,45,Task9CM,5e4ae544
3,3422,Task9CM,5e4ae544
4,1422,Task9CM,5e4ae544
2,1862,Task9CM,5e4ae544
3,825,Task9CM,5e4ae544
5,0,Task9CM,5e4ae544
4,1791,Task9CM,5e4ae544
1,414,Task9CM,5e4ae544
4,1834,Task9CM,5e4ae544
3,4025,Task9CM,5e4ae544
4,5965,Task9CM,5e4ae544
3,62,Task9CM,5e4ae544
2,229,Task9CM,5e4ae544
4,678,Task9CM,5e4ae544
5,1092,Task9CM,5e4ae544
4,891,Task9CM,5e4ae544
6,0,Task9CM,5e4ae544
3,110,Task9CM,5e4ae544
4,1561,Task9CM,5e4ae544
7,154,Task9CM,5e4ae544
