AOIName,FixationDuration,Stimulus,Participant
18,279,Task11CP,615db7bf
5,31,Task11CP,615db7bf
0,630,Task11CP,615db7bf
21,524,Task11CP,615db7bf
24,646,Task11CP,615db7bf
0,601,Task11CP,615db7bf
2,491,Task11CP,615db7bf
0,382,Task11CP,615db7bf
2,137,Task11CP,615db7bf
0,387,Task11CP,615db7bf
2,1246,Task11CP,615db7bf
1,215,Task11CP,615db7bf
2,606,Task11CP,615db7bf
4,171,Task11CP,615db7bf
2,246,Task11CP,615db7bf
1,14,Task11CP,615db7bf
3,1008,Task11CP,615db7bf
5,261,Task11CP,615db7bf
7,277,Task11CP,615db7bf
3,186,Task11CP,615db7bf
5,184,Task11CP,615db7bf
3,75,Task11CP,615db7bf
2,0,Task11CP,615db7bf
4,76,Task11CP,615db7bf
2,76,Task11CP,615db7bf
0,74,Task11CP,615db7bf
2,308,Task11CP,615db7bf
4,537,Task11CP,615db7bf
5,1446,Task11CP,615db7bf
3,1081,Task11CP,615db7bf
5,16,Task11CP,615db7bf
6,170,Task11CP,615db7bf
4,108,Task11CP,615db7bf
6,1881,Task11CP,615db7bf
5,386,Task11CP,615db7bf
3,122,Task11CP,615db7bf
5,1692,Task11CP,615db7bf
4,505,Task11CP,615db7bf
6,2230,Task11CP,615db7bf
8,169,Task11CP,615db7bf
5,354,Task11CP,615db7bf
8,0,Task11CP,615db7bf
5,49,Task11CP,615db7bf
11,38,Task11CP,615db7bf
8,91,Task11CP,615db7bf
14,44,Task11CP,615db7bf
8,95,Task11CP,615db7bf
5,332,Task11CP,615db7bf
4,510,Task11CP,615db7bf
6,123,Task11CP,615db7bf
5,1230,Task11CP,615db7bf
6,697,Task11CP,615db7bf
8,245,Task11CP,615db7bf
6,992,Task11CP,615db7bf
3,369,Task11CP,615db7bf
5,421,Task11CP,615db7bf
9,110,Task11CP,615db7bf
5,122,Task11CP,615db7bf
7,16,Task11CP,615db7bf
5,3934,Task11CP,615db7bf
6,1000,Task11CP,615db7bf
7,538,Task11CP,615db7bf
5,0,Task11CP,615db7bf
3,92,Task11CP,615db7bf
1,93,Task11CP,615db7bf
3,111,Task11CP,615db7bf
7,294,Task11CP,615db7bf
3,277,Task11CP,615db7bf
7,476,Task11CP,615db7bf
8,138,Task11CP,615db7bf
6,0,Task11CP,615db7bf
0,16,Task11CP,615db7bf
1,92,Task11CP,615db7bf
3,388,Task11CP,615db7bf
5,93,Task11CP,615db7bf
3,31,Task11CP,615db7bf
5,374,Task11CP,615db7bf
3,185,Task11CP,615db7bf
5,1955,Task11CP,615db7bf
7,78,Task11CP,615db7bf
4,3771,Task11CP,615db7bf
1,0,Task11CP,615db7bf
3,45,Task11CP,615db7bf
1,30,Task11CP,615db7bf
3,863,Task11CP,615db7bf
7,588,Task11CP,615db7bf
9,0,Task11CP,615db7bf
7,285,Task11CP,615db7bf
9,32,Task11CP,615db7bf
3,1780,Task11CP,615db7bf
5,2108,Task11CP,615db7bf
4,3391,Task11CP,615db7bf
1,123,Task11CP,615db7bf
5,198,Task11CP,615db7bf
7,306,Task11CP,615db7bf
3,937,Task11CP,615db7bf
11,671,Task11CP,615db7bf
9,675,Task11CP,615db7bf
0,321,Task11CP,615db7bf
3,616,Task11CP,615db7bf
5,668,Task11CP,615db7bf
7,0,Task11CP,615db7bf
3,557,Task11CP,615db7bf
2,238,Task11CP,615db7bf
0,108,Task11CP,615db7bf
2,0,Task11CP,615db7bf
5,308,Task11CP,615db7bf
9,538,Task11CP,615db7bf
7,678,Task11CP,615db7bf
4,292,Task11CP,615db7bf
2,894,Task11CP,615db7bf
0,122,Task11CP,615db7bf
5,1231,Task11CP,615db7bf
11,16,Task11CP,615db7bf
5,385,Task11CP,615db7bf
3,414,Task11CP,615db7bf
5,1785,Task11CP,615db7bf
3,552,Task11CP,615db7bf
5,277,Task11CP,615db7bf
3,692,Task11CP,615db7bf
5,108,Task11CP,615db7bf
4,3619,Task11CP,615db7bf
5,2050,Task11CP,615db7bf
7,15,Task11CP,615db7bf
5,17,Task11CP,615db7bf
7,942,Task11CP,615db7bf
5,46,Task11CP,615db7bf
7,477,Task11CP,615db7bf
5,737,Task11CP,615db7bf
1,189,Task11CP,615db7bf
3,291,Task11CP,615db7bf
5,1344,Task11CP,615db7bf
6,677,Task11CP,615db7bf
9,0,Task11CP,615db7bf
5,402,Task11CP,615db7bf
3,77,Task11CP,615db7bf
5,262,Task11CP,615db7bf
3,171,Task11CP,615db7bf
5,355,Task11CP,615db7bf
7,1511,Task11CP,615db7bf
8,2499,Task11CP,615db7bf
6,92,Task11CP,615db7bf
8,1211,Task11CP,615db7bf
12,230,Task11CP,615db7bf
11,33,Task11CP,615db7bf
7,453,Task11CP,615db7bf
5,597,Task11CP,615db7bf
7,283,Task11CP,615db7bf
14,0,Task11CP,615db7bf
9,0,Task11CP,615db7bf
5,893,Task11CP,615db7bf
3,246,Task11CP,615db7bf
5,236,Task11CP,615db7bf
7,170,Task11CP,615db7bf
9,218,Task11CP,615db7bf
11,139,Task11CP,615db7bf
9,196,Task11CP,615db7bf
11,77,Task11CP,615db7bf
10,0,Task11CP,615db7bf
11,139,Task11CP,615db7bf
10,1660,Task11CP,615db7bf
12,147,Task11CP,615db7bf
11,124,Task11CP,615db7bf
7,203,Task11CP,615db7bf
9,988,Task11CP,615db7bf
7,0,Task11CP,615db7bf
9,261,Task11CP,615db7bf
11,985,Task11CP,615db7bf
10,2250,Task11CP,615db7bf
11,444,Task11CP,615db7bf
14,153,Task11CP,615db7bf
11,4621,Task11CP,615db7bf
14,2307,Task11CP,615db7bf
15,0,Task11CP,615db7bf
24,14,Task11CP,615db7bf
25,326,Task11CP,615db7bf
24,131,Task11CP,615db7bf
