AOIName,FixationDuration,Stimulus,Participant
11,278,Task4CM,615db7bf
2,0,Task4CM,615db7bf
0,185,Task4CM,615db7bf
1,92,Task4CM,615db7bf
0,294,Task4CM,615db7bf
1,0,Task4CM,615db7bf
0,2421,Task4CM,615db7bf
1,192,Task4CM,615db7bf
16,77,Task4CM,615db7bf
18,154,Task4CM,615db7bf
17,295,Task4CM,615db7bf
19,0,Task4CM,615db7bf
2,108,Task4CM,615db7bf
1,496,Task4CM,615db7bf
2,479,Task4CM,615db7bf
0,1664,Task4CM,615db7bf
1,1374,Task4CM,615db7bf
0,694,Task4CM,615db7bf
1,153,Task4CM,615db7bf
2,0,Task4CM,615db7bf
3,45,Task4CM,615db7bf
1,0,Task4CM,615db7bf
0,93,Task4CM,615db7bf
1,716,Task4CM,615db7bf
0,402,Task4CM,615db7bf
1,722,Task4CM,615db7bf
0,46,Task4CM,615db7bf
1,1339,Task4CM,615db7bf
2,61,Task4CM,615db7bf
0,107,Task4CM,615db7bf
2,642,Task4CM,615db7bf
9,0,Task4CM,615db7bf
2,849,Task4CM,615db7bf
1,140,Task4CM,615db7bf
0,0,Task4CM,615db7bf
1,15,Task4CM,615db7bf
2,2292,Task4CM,615db7bf
1,1400,Task4CM,615db7bf
3,31,Task4CM,615db7bf
11,16,Task4CM,615db7bf
14,107,Task4CM,615db7bf
12,0,Task4CM,615db7bf
8,16,Task4CM,615db7bf
10,261,Task4CM,615db7bf
11,0,Task4CM,615db7bf
9,16,Task4CM,615db7bf
7,0,Task4CM,615db7bf
5,493,Task4CM,615db7bf
6,2761,Task4CM,615db7bf
11,402,Task4CM,615db7bf
14,215,Task4CM,615db7bf
12,208,Task4CM,615db7bf
10,124,Task4CM,615db7bf
5,737,Task4CM,615db7bf
10,402,Task4CM,615db7bf
11,0,Task4CM,615db7bf
7,199,Task4CM,615db7bf
0,46,Task4CM,615db7bf
1,678,Task4CM,615db7bf
2,356,Task4CM,615db7bf
1,325,Task4CM,615db7bf
2,712,Task4CM,615db7bf
1,175,Task4CM,615db7bf
2,1810,Task4CM,615db7bf
3,1473,Task4CM,615db7bf
14,0,Task4CM,615db7bf
15,301,Task4CM,615db7bf
17,0,Task4CM,615db7bf
11,0,Task4CM,615db7bf
3,354,Task4CM,615db7bf
2,788,Task4CM,615db7bf
1,138,Task4CM,615db7bf
17,124,Task4CM,615db7bf
11,0,Task4CM,615db7bf
10,232,Task4CM,615db7bf
11,0,Task4CM,615db7bf
12,183,Task4CM,615db7bf
10,20,Task4CM,615db7bf
19,18,Task4CM,615db7bf
20,0,Task4CM,615db7bf
4,45,Task4CM,615db7bf
6,2226,Task4CM,615db7bf
4,137,Task4CM,615db7bf
14,92,Task4CM,615db7bf
7,137,Task4CM,615db7bf
6,862,Task4CM,615db7bf
7,47,Task4CM,615db7bf
6,2141,Task4CM,615db7bf
11,0,Task4CM,615db7bf
7,2263,Task4CM,615db7bf
6,502,Task4CM,615db7bf
7,2221,Task4CM,615db7bf
8,671,Task4CM,615db7bf
9,92,Task4CM,615db7bf
8,787,Task4CM,615db7bf
9,138,Task4CM,615db7bf
8,1583,Task4CM,615db7bf
9,1800,Task4CM,615db7bf
10,795,Task4CM,615db7bf
12,1631,Task4CM,615db7bf
11,0,Task4CM,615db7bf
7,0,Task4CM,615db7bf
6,1494,Task4CM,615db7bf
8,293,Task4CM,615db7bf
5,2479,Task4CM,615db7bf
6,2490,Task4CM,615db7bf
4,367,Task4CM,615db7bf
6,1136,Task4CM,615db7bf
7,170,Task4CM,615db7bf
6,709,Task4CM,615db7bf
1,322,Task4CM,615db7bf
2,0,Task4CM,615db7bf
3,0,Task4CM,615db7bf
1,355,Task4CM,615db7bf
4,0,Task4CM,615db7bf
6,263,Task4CM,615db7bf
7,0,Task4CM,615db7bf
6,1138,Task4CM,615db7bf
8,255,Task4CM,615db7bf
10,0,Task4CM,615db7bf
7,1584,Task4CM,615db7bf
6,292,Task4CM,615db7bf
7,603,Task4CM,615db7bf
9,0,Task4CM,615db7bf
8,401,Task4CM,615db7bf
7,1305,Task4CM,615db7bf
8,1450,Task4CM,615db7bf
6,792,Task4CM,615db7bf
8,92,Task4CM,615db7bf
9,450,Task4CM,615db7bf
8,546,Task4CM,615db7bf
9,881,Task4CM,615db7bf
10,108,Task4CM,615db7bf
12,248,Task4CM,615db7bf
8,415,Task4CM,615db7bf
12,215,Task4CM,615db7bf
8,541,Task4CM,615db7bf
14,0,Task4CM,615db7bf
8,93,Task4CM,615db7bf
6,6867,Task4CM,615db7bf
5,678,Task4CM,615db7bf
6,0,Task4CM,615db7bf
5,1481,Task4CM,615db7bf
11,0,Task4CM,615db7bf
9,26,Task4CM,615db7bf
7,169,Task4CM,615db7bf
9,353,Task4CM,615db7bf
11,222,Task4CM,615db7bf
12,1192,Task4CM,615db7bf
10,0,Task4CM,615db7bf
14,0,Task4CM,615db7bf
12,1257,Task4CM,615db7bf
3,0,Task4CM,615db7bf
2,117,Task4CM,615db7bf
1,368,Task4CM,615db7bf
2,0,Task4CM,615db7bf
8,211,Task4CM,615db7bf
7,448,Task4CM,615db7bf
8,277,Task4CM,615db7bf
14,0,Task4CM,615db7bf
10,260,Task4CM,615db7bf
14,0,Task4CM,615db7bf
7,185,Task4CM,615db7bf
6,54,Task4CM,615db7bf
19,0,Task4CM,615db7bf
6,154,Task4CM,615db7bf
5,309,Task4CM,615db7bf
6,552,Task4CM,615db7bf
12,399,Task4CM,615db7bf
14,675,Task4CM,615db7bf
10,249,Task4CM,615db7bf
8,1725,Task4CM,615db7bf
6,986,Task4CM,615db7bf
8,487,Task4CM,615db7bf
7,203,Task4CM,615db7bf
8,25,Task4CM,615db7bf
9,171,Task4CM,615db7bf
8,716,Task4CM,615db7bf
6,1740,Task4CM,615db7bf
8,168,Task4CM,615db7bf
6,139,Task4CM,615db7bf
8,123,Task4CM,615db7bf
6,3050,Task4CM,615db7bf
7,1088,Task4CM,615db7bf
8,276,Task4CM,615db7bf
10,47,Task4CM,615db7bf
11,309,Task4CM,615db7bf
9,16,Task4CM,615db7bf
8,168,Task4CM,615db7bf
9,0,Task4CM,615db7bf
11,310,Task4CM,615db7bf
12,123,Task4CM,615db7bf
7,107,Task4CM,615db7bf
6,152,Task4CM,615db7bf
7,1265,Task4CM,615db7bf
6,553,Task4CM,615db7bf
7,627,Task4CM,615db7bf
17,0,Task4CM,615db7bf
7,3954,Task4CM,615db7bf
9,109,Task4CM,615db7bf
7,200,Task4CM,615db7bf
10,30,Task4CM,615db7bf
12,277,Task4CM,615db7bf
8,221,Task4CM,615db7bf
11,400,Task4CM,615db7bf
7,372,Task4CM,615db7bf
12,153,Task4CM,615db7bf
10,175,Task4CM,615db7bf
8,124,Task4CM,615db7bf
6,416,Task4CM,615db7bf
8,772,Task4CM,615db7bf
11,322,Task4CM,615db7bf
9,0,Task4CM,615db7bf
14,46,Task4CM,615db7bf
12,1726,Task4CM,615db7bf
19,46,Task4CM,615db7bf
12,566,Task4CM,615db7bf
11,150,Task4CM,615db7bf
12,0,Task4CM,615db7bf
11,769,Task4CM,615db7bf
17,102,Task4CM,615db7bf
19,139,Task4CM,615db7bf
7,291,Task4CM,615db7bf
6,217,Task4CM,615db7bf
2,130,Task4CM,615db7bf
6,260,Task4CM,615db7bf
7,491,Task4CM,615db7bf
6,805,Task4CM,615db7bf
7,2884,Task4CM,615db7bf
6,1563,Task4CM,615db7bf
7,8330,Task4CM,615db7bf
6,1295,Task4CM,615db7bf
7,2335,Task4CM,615db7bf
6,753,Task4CM,615db7bf
7,0,Task4CM,615db7bf
6,2035,Task4CM,615db7bf
7,247,Task4CM,615db7bf
4,77,Task4CM,615db7bf
6,448,Task4CM,615db7bf
7,6692,Task4CM,615db7bf
9,15,Task4CM,615db7bf
8,93,Task4CM,615db7bf
7,2427,Task4CM,615db7bf
9,27,Task4CM,615db7bf
8,0,Task4CM,615db7bf
7,367,Task4CM,615db7bf
8,31,Task4CM,615db7bf
19,0,Task4CM,615db7bf
7,46,Task4CM,615db7bf
9,2382,Task4CM,615db7bf
8,46,Task4CM,615db7bf
7,676,Task4CM,615db7bf
8,1324,Task4CM,615db7bf
10,661,Task4CM,615db7bf
7,585,Task4CM,615db7bf
8,231,Task4CM,615db7bf
11,384,Task4CM,615db7bf
9,0,Task4CM,615db7bf
8,2913,Task4CM,615db7bf
9,533,Task4CM,615db7bf
10,0,Task4CM,615db7bf
11,1263,Task4CM,615db7bf
12,138,Task4CM,615db7bf
11,505,Task4CM,615db7bf
