AOIName,FixationDuration,Stimulus,Participant
11,124,Task3CP,625d844e
0,300,Task3CP,625d844e
1,321,Task3CP,625d844e
0,138,Task3CP,625d844e
2,688,Task3CP,625d844e
5,217,Task3CP,625d844e
18,300,Task3CP,625d844e
22,0,Task3CP,625d844e
24,665,Task3CP,625d844e
17,92,Task3CP,625d844e
16,93,Task3CP,625d844e
17,208,Task3CP,625d844e
9,137,Task3CP,625d844e
5,0,Task3CP,625d844e
3,495,Task3CP,625d844e
7,34,Task3CP,625d844e
5,293,Task3CP,625d844e
4,31,Task3CP,625d844e
2,62,Task3CP,625d844e
4,570,Task3CP,625d844e
3,177,Task3CP,625d844e
5,264,Task3CP,625d844e
3,156,Task3CP,625d844e
5,409,Task3CP,625d844e
1,1026,Task3CP,625d844e
0,124,Task3CP,625d844e
5,15,Task3CP,625d844e
1,1599,Task3CP,625d844e
3,185,Task3CP,625d844e
4,249,Task3CP,625d844e
2,848,Task3CP,625d844e
0,231,Task3CP,625d844e
4,0,Task3CP,625d844e
5,170,Task3CP,625d844e
3,125,Task3CP,625d844e
10,31,Task3CP,625d844e
14,38,Task3CP,625d844e
10,156,Task3CP,625d844e
4,54,Task3CP,625d844e
0,635,Task3CP,625d844e
4,221,Task3CP,625d844e
2,122,Task3CP,625d844e
5,0,Task3CP,625d844e
2,280,Task3CP,625d844e
4,468,Task3CP,625d844e
2,714,Task3CP,625d844e
4,926,Task3CP,625d844e
6,404,Task3CP,625d844e
7,220,Task3CP,625d844e
4,47,Task3CP,625d844e
2,217,Task3CP,625d844e
0,61,Task3CP,625d844e
8,15,Task3CP,625d844e
3,217,Task3CP,625d844e
1,232,Task3CP,625d844e
4,61,Task3CP,625d844e
6,184,Task3CP,625d844e
4,311,Task3CP,625d844e
5,49,Task3CP,625d844e
3,45,Task3CP,625d844e
4,59,Task3CP,625d844e
6,0,Task3CP,625d844e
5,98,Task3CP,625d844e
6,267,Task3CP,625d844e
7,388,Task3CP,625d844e
5,124,Task3CP,625d844e
8,0,Task3CP,625d844e
5,139,Task3CP,625d844e
8,171,Task3CP,625d844e
5,173,Task3CP,625d844e
6,230,Task3CP,625d844e
5,139,Task3CP,625d844e
8,1925,Task3CP,625d844e
10,154,Task3CP,625d844e
8,16,Task3CP,625d844e
10,216,Task3CP,625d844e
8,109,Task3CP,625d844e
10,748,Task3CP,625d844e
8,0,Task3CP,625d844e
11,32,Task3CP,625d844e
10,1434,Task3CP,625d844e
8,1100,Task3CP,625d844e
10,56,Task3CP,625d844e
7,93,Task3CP,625d844e
3,585,Task3CP,625d844e
5,332,Task3CP,625d844e
6,233,Task3CP,625d844e
12,166,Task3CP,625d844e
11,231,Task3CP,625d844e
10,45,Task3CP,625d844e
5,529,Task3CP,625d844e
6,200,Task3CP,625d844e
5,173,Task3CP,625d844e
4,92,Task3CP,625d844e
5,123,Task3CP,625d844e
7,355,Task3CP,625d844e
5,186,Task3CP,625d844e
8,39,Task3CP,625d844e
7,185,Task3CP,625d844e
9,0,Task3CP,625d844e
3,361,Task3CP,625d844e
5,703,Task3CP,625d844e
3,355,Task3CP,625d844e
7,181,Task3CP,625d844e
10,266,Task3CP,625d844e
9,900,Task3CP,625d844e
11,651,Task3CP,625d844e
10,539,Task3CP,625d844e
13,169,Task3CP,625d844e
12,619,Task3CP,625d844e
10,544,Task3CP,625d844e
11,863,Task3CP,625d844e
5,93,Task3CP,625d844e
8,109,Task3CP,625d844e
10,398,Task3CP,625d844e
6,46,Task3CP,625d844e
2,643,Task3CP,625d844e
4,0,Task3CP,625d844e
13,0,Task3CP,625d844e
11,495,Task3CP,625d844e
10,125,Task3CP,625d844e
8,200,Task3CP,625d844e
10,355,Task3CP,625d844e
11,309,Task3CP,625d844e
13,0,Task3CP,625d844e
11,356,Task3CP,625d844e
10,103,Task3CP,625d844e
2,47,Task3CP,625d844e
1,402,Task3CP,625d844e
4,179,Task3CP,625d844e
1,323,Task3CP,625d844e
5,323,Task3CP,625d844e
11,215,Task3CP,625d844e
10,0,Task3CP,625d844e
6,217,Task3CP,625d844e
10,1034,Task3CP,625d844e
8,219,Task3CP,625d844e
10,1269,Task3CP,625d844e
11,495,Task3CP,625d844e
10,0,Task3CP,625d844e
11,803,Task3CP,625d844e
13,422,Task3CP,625d844e
11,1491,Task3CP,625d844e
9,275,Task3CP,625d844e
11,448,Task3CP,625d844e
9,45,Task3CP,625d844e
13,182,Task3CP,625d844e
11,2512,Task3CP,625d844e
13,92,Task3CP,625d844e
7,0,Task3CP,625d844e
10,31,Task3CP,625d844e
11,1762,Task3CP,625d844e
13,929,Task3CP,625d844e
11,294,Task3CP,625d844e
9,141,Task3CP,625d844e
5,393,Task3CP,625d844e
7,124,Task3CP,625d844e
13,172,Task3CP,625d844e
10,92,Task3CP,625d844e
11,291,Task3CP,625d844e
8,269,Task3CP,625d844e
11,525,Task3CP,625d844e
10,492,Task3CP,625d844e
11,61,Task3CP,625d844e
7,410,Task3CP,625d844e
10,263,Task3CP,625d844e
4,356,Task3CP,625d844e
11,390,Task3CP,625d844e
13,175,Task3CP,625d844e
11,0,Task3CP,625d844e
14,1991,Task3CP,625d844e
15,555,Task3CP,625d844e
14,125,Task3CP,625d844e
12,0,Task3CP,625d844e
14,169,Task3CP,625d844e
12,184,Task3CP,625d844e
9,0,Task3CP,625d844e
12,168,Task3CP,625d844e
11,430,Task3CP,625d844e
14,228,Task3CP,625d844e
11,91,Task3CP,625d844e
13,134,Task3CP,625d844e
14,218,Task3CP,625d844e
15,199,Task3CP,625d844e
14,450,Task3CP,625d844e
16,0,Task3CP,625d844e
14,462,Task3CP,625d844e
17,0,Task3CP,625d844e
19,170,Task3CP,625d844e
24,330,Task3CP,625d844e
5,264,Task3CP,625d844e
1,412,Task3CP,625d844e
7,253,Task3CP,625d844e
9,173,Task3CP,625d844e
7,468,Task3CP,625d844e
1,0,Task3CP,625d844e
0,80,Task3CP,625d844e
1,46,Task3CP,625d844e
5,139,Task3CP,625d844e
24,0,Task3CP,625d844e
3,222,Task3CP,625d844e
7,1254,Task3CP,625d844e
8,403,Task3CP,625d844e
9,193,Task3CP,625d844e
5,447,Task3CP,625d844e
9,990,Task3CP,625d844e
7,878,Task3CP,625d844e
5,0,Task3CP,625d844e
7,93,Task3CP,625d844e
9,0,Task3CP,625d844e
7,627,Task3CP,625d844e
5,480,Task3CP,625d844e
7,154,Task3CP,625d844e
12,813,Task3CP,625d844e
14,788,Task3CP,625d844e
9,43,Task3CP,625d844e
14,0,Task3CP,625d844e
25,124,Task3CP,625d844e
7,510,Task3CP,625d844e
9,233,Task3CP,625d844e
7,277,Task3CP,625d844e
9,0,Task3CP,625d844e
7,0,Task3CP,625d844e
16,0,Task3CP,625d844e
9,155,Task3CP,625d844e
7,459,Task3CP,625d844e
24,92,Task3CP,625d844e
21,0,Task3CP,625d844e
9,216,Task3CP,625d844e
5,170,Task3CP,625d844e
9,497,Task3CP,625d844e
5,78,Task3CP,625d844e
7,265,Task3CP,625d844e
14,124,Task3CP,625d844e
12,15,Task3CP,625d844e
14,0,Task3CP,625d844e
12,140,Task3CP,625d844e
0,46,Task3CP,625d844e
1,524,Task3CP,625d844e
12,462,Task3CP,625d844e
7,352,Task3CP,625d844e
9,16,Task3CP,625d844e
14,557,Task3CP,625d844e
12,0,Task3CP,625d844e
16,170,Task3CP,625d844e
14,231,Task3CP,625d844e
13,276,Task3CP,625d844e
11,634,Task3CP,625d844e
