AOIName,FixationDuration,Stimulus,Participant
9,354,Task7CM,625d844e
11,323,Task7CM,625d844e
0,119,Task7CM,625d844e
6,247,Task7CM,625d844e
11,614,Task7CM,625d844e
8,0,Task7CM,625d844e
11,774,Task7CM,625d844e
13,0,Task7CM,625d844e
12,0,Task7CM,625d844e
11,63,Task7CM,625d844e
12,0,Task7CM,625d844e
11,276,Task7CM,625d844e
12,0,Task7CM,625d844e
11,922,Task7CM,625d844e
12,358,Task7CM,625d844e
11,339,Task7CM,625d844e
10,186,Task7CM,625d844e
11,58,Task7CM,625d844e
12,502,Task7CM,625d844e
13,77,Task7CM,625d844e
3,47,Task7CM,625d844e
0,410,Task7CM,625d844e
1,184,Task7CM,625d844e
0,1469,Task7CM,625d844e
1,2206,Task7CM,625d844e
2,2970,Task7CM,625d844e
5,0,Task7CM,625d844e
3,2304,Task7CM,625d844e
4,309,Task7CM,625d844e
3,277,Task7CM,625d844e
2,399,Task7CM,625d844e
3,681,Task7CM,625d844e
4,2729,Task7CM,625d844e
1,311,Task7CM,625d844e
0,38,Task7CM,625d844e
5,46,Task7CM,625d844e
7,262,Task7CM,625d844e
12,246,Task7CM,625d844e
11,401,Task7CM,625d844e
2,139,Task7CM,625d844e
0,1778,Task7CM,625d844e
1,557,Task7CM,625d844e
0,3040,Task7CM,625d844e
1,1189,Task7CM,625d844e
0,199,Task7CM,625d844e
1,788,Task7CM,625d844e
0,0,Task7CM,625d844e
1,55,Task7CM,625d844e
3,0,Task7CM,625d844e
4,44,Task7CM,625d844e
2,1455,Task7CM,625d844e
0,968,Task7CM,625d844e
1,943,Task7CM,625d844e
11,76,Task7CM,625d844e
1,448,Task7CM,625d844e
2,1883,Task7CM,625d844e
11,0,Task7CM,625d844e
2,337,Task7CM,625d844e
3,766,Task7CM,625d844e
1,942,Task7CM,625d844e
7,15,Task7CM,625d844e
0,171,Task7CM,625d844e
2,83,Task7CM,625d844e
3,123,Task7CM,625d844e
2,1157,Task7CM,625d844e
3,416,Task7CM,625d844e
1,1051,Task7CM,625d844e
5,1584,Task7CM,625d844e
11,181,Task7CM,625d844e
9,34,Task7CM,625d844e
5,310,Task7CM,625d844e
4,40,Task7CM,625d844e
6,982,Task7CM,625d844e
4,137,Task7CM,625d844e
5,78,Task7CM,625d844e
6,860,Task7CM,625d844e
11,971,Task7CM,625d844e
6,571,Task7CM,625d844e
5,280,Task7CM,625d844e
4,0,Task7CM,625d844e
12,15,Task7CM,625d844e
9,17,Task7CM,625d844e
6,911,Task7CM,625d844e
4,0,Task7CM,625d844e
2,0,Task7CM,625d844e
1,496,Task7CM,625d844e
2,1259,Task7CM,625d844e
3,1713,Task7CM,625d844e
5,247,Task7CM,625d844e
3,0,Task7CM,625d844e
1,717,Task7CM,625d844e
3,90,Task7CM,625d844e
5,355,Task7CM,625d844e
4,0,Task7CM,625d844e
3,907,Task7CM,625d844e
2,0,Task7CM,625d844e
0,357,Task7CM,625d844e
2,356,Task7CM,625d844e
11,102,Task7CM,625d844e
2,1187,Task7CM,625d844e
1,636,Task7CM,625d844e
3,0,Task7CM,625d844e
5,126,Task7CM,625d844e
4,47,Task7CM,625d844e
9,194,Task7CM,625d844e
6,309,Task7CM,625d844e
4,416,Task7CM,625d844e
5,727,Task7CM,625d844e
4,2118,Task7CM,625d844e
5,5259,Task7CM,625d844e
4,0,Task7CM,625d844e
5,3552,Task7CM,625d844e
4,263,Task7CM,625d844e
5,227,Task7CM,625d844e
4,278,Task7CM,625d844e
6,2445,Task7CM,625d844e
13,0,Task7CM,625d844e
14,0,Task7CM,625d844e
12,0,Task7CM,625d844e
11,0,Task7CM,625d844e
4,753,Task7CM,625d844e
2,368,Task7CM,625d844e
3,542,Task7CM,625d844e
2,940,Task7CM,625d844e
4,139,Task7CM,625d844e
3,0,Task7CM,625d844e
1,493,Task7CM,625d844e
2,1206,Task7CM,625d844e
4,602,Task7CM,625d844e
5,125,Task7CM,625d844e
6,62,Task7CM,625d844e
0,445,Task7CM,625d844e
1,943,Task7CM,625d844e
2,526,Task7CM,625d844e
1,1929,Task7CM,625d844e
2,2070,Task7CM,625d844e
8,218,Task7CM,625d844e
9,0,Task7CM,625d844e
3,218,Task7CM,625d844e
1,391,Task7CM,625d844e
6,0,Task7CM,625d844e
5,1635,Task7CM,625d844e
4,216,Task7CM,625d844e
2,186,Task7CM,625d844e
7,0,Task7CM,625d844e
9,405,Task7CM,625d844e
3,262,Task7CM,625d844e
5,0,Task7CM,625d844e
11,601,Task7CM,625d844e
4,46,Task7CM,625d844e
2,369,Task7CM,625d844e
3,31,Task7CM,625d844e
7,27,Task7CM,625d844e
3,324,Task7CM,625d844e
2,1092,Task7CM,625d844e
0,322,Task7CM,625d844e
3,279,Task7CM,625d844e
1,216,Task7CM,625d844e
2,633,Task7CM,625d844e
3,324,Task7CM,625d844e
2,772,Task7CM,625d844e
3,139,Task7CM,625d844e
5,1040,Task7CM,625d844e
4,37,Task7CM,625d844e
3,0,Task7CM,625d844e
1,401,Task7CM,625d844e
0,323,Task7CM,625d844e
4,0,Task7CM,625d844e
1,263,Task7CM,625d844e
2,632,Task7CM,625d844e
4,278,Task7CM,625d844e
2,985,Task7CM,625d844e
3,358,Task7CM,625d844e
2,776,Task7CM,625d844e
3,0,Task7CM,625d844e
4,47,Task7CM,625d844e
2,266,Task7CM,625d844e
6,0,Task7CM,625d844e
2,1035,Task7CM,625d844e
0,529,Task7CM,625d844e
5,401,Task7CM,625d844e
0,31,Task7CM,625d844e
3,201,Task7CM,625d844e
4,660,Task7CM,625d844e
5,431,Task7CM,625d844e
6,46,Task7CM,625d844e
4,363,Task7CM,625d844e
3,816,Task7CM,625d844e
4,123,Task7CM,625d844e
3,191,Task7CM,625d844e
4,402,Task7CM,625d844e
3,185,Task7CM,625d844e
5,280,Task7CM,625d844e
4,16,Task7CM,625d844e
2,1195,Task7CM,625d844e
4,1310,Task7CM,625d844e
5,311,Task7CM,625d844e
4,37,Task7CM,625d844e
2,310,Task7CM,625d844e
3,193,Task7CM,625d844e
0,862,Task7CM,625d844e
3,125,Task7CM,625d844e
5,590,Task7CM,625d844e
3,3692,Task7CM,625d844e
2,171,Task7CM,625d844e
7,0,Task7CM,625d844e
2,322,Task7CM,625d844e
4,30,Task7CM,625d844e
1,1294,Task7CM,625d844e
3,47,Task7CM,625d844e
1,0,Task7CM,625d844e
4,260,Task7CM,625d844e
3,99,Task7CM,625d844e
2,1836,Task7CM,625d844e
3,619,Task7CM,625d844e
1,0,Task7CM,625d844e
2,0,Task7CM,625d844e
3,1254,Task7CM,625d844e
5,0,Task7CM,625d844e
3,0,Task7CM,625d844e
2,138,Task7CM,625d844e
0,355,Task7CM,625d844e
3,310,Task7CM,625d844e
13,92,Task7CM,625d844e
12,992,Task7CM,625d844e
6,358,Task7CM,625d844e
0,93,Task7CM,625d844e
14,0,Task7CM,625d844e
11,0,Task7CM,625d844e
7,327,Task7CM,625d844e
4,0,Task7CM,625d844e
6,310,Task7CM,625d844e
0,1684,Task7CM,625d844e
2,369,Task7CM,625d844e
9,367,Task7CM,625d844e
6,0,Task7CM,625d844e
3,0,Task7CM,625d844e
1,769,Task7CM,625d844e
3,231,Task7CM,625d844e
6,0,Task7CM,625d844e
9,476,Task7CM,625d844e
11,170,Task7CM,625d844e
3,0,Task7CM,625d844e
11,0,Task7CM,625d844e
7,540,Task7CM,625d844e
6,43,Task7CM,625d844e
7,93,Task7CM,625d844e
2,449,Task7CM,625d844e
13,41,Task7CM,625d844e
15,0,Task7CM,625d844e
14,153,Task7CM,625d844e
7,92,Task7CM,625d844e
3,0,Task7CM,625d844e
4,759,Task7CM,625d844e
0,92,Task7CM,625d844e
3,0,Task7CM,625d844e
6,110,Task7CM,625d844e
1,1360,Task7CM,625d844e
0,882,Task7CM,625d844e
2,1316,Task7CM,625d844e
1,496,Task7CM,625d844e
2,586,Task7CM,625d844e
0,1219,Task7CM,625d844e
4,0,Task7CM,625d844e
1,357,Task7CM,625d844e
3,0,Task7CM,625d844e
6,308,Task7CM,625d844e
5,278,Task7CM,625d844e
6,0,Task7CM,625d844e
4,94,Task7CM,625d844e
6,416,Task7CM,625d844e
2,0,Task7CM,625d844e
4,414,Task7CM,625d844e
0,46,Task7CM,625d844e
6,558,Task7CM,625d844e
