AOIName,FixationDuration,Stimulus,Participant
0,155,Task4CP,66310afd
1,105,Task4CP,66310afd
10,0,Task4CP,66310afd
6,0,Task4CP,66310afd
0,991,Task4CP,66310afd
1,310,Task4CP,66310afd
6,92,Task4CP,66310afd
1,356,Task4CP,66310afd
2,458,Task4CP,66310afd
4,216,Task4CP,66310afd
7,176,Task4CP,66310afd
2,497,Task4CP,66310afd
0,0,Task4CP,66310afd
1,4686,Task4CP,66310afd
0,403,Task4CP,66310afd
1,369,Task4CP,66310afd
0,213,Task4CP,66310afd
1,882,Task4CP,66310afd
5,308,Task4CP,66310afd
1,575,Task4CP,66310afd
5,185,Task4CP,66310afd
1,0,Task4CP,66310afd
4,16,Task4CP,66310afd
3,722,Task4CP,66310afd
6,296,Task4CP,66310afd
3,48,Task4CP,66310afd
5,883,Task4CP,66310afd
1,187,Task4CP,66310afd
0,261,Task4CP,66310afd
5,1457,Task4CP,66310afd
3,219,Task4CP,66310afd
5,1691,Task4CP,66310afd
6,494,Task4CP,66310afd
1,248,Task4CP,66310afd
0,483,Task4CP,66310afd
5,4363,Task4CP,66310afd
6,1305,Task4CP,66310afd
3,263,Task4CP,66310afd
1,263,Task4CP,66310afd
0,94,Task4CP,66310afd
6,324,Task4CP,66310afd
1,480,Task4CP,66310afd
5,47,Task4CP,66310afd
6,1257,Task4CP,66310afd
5,179,Task4CP,66310afd
0,93,Task4CP,66310afd
8,496,Task4CP,66310afd
9,370,Task4CP,66310afd
6,541,Task4CP,66310afd
5,231,Task4CP,66310afd
1,265,Task4CP,66310afd
3,0,Task4CP,66310afd
5,1078,Task4CP,66310afd
3,0,Task4CP,66310afd
5,92,Task4CP,66310afd
1,95,Task4CP,66310afd
3,0,Task4CP,66310afd
1,207,Task4CP,66310afd
5,680,Task4CP,66310afd
1,218,Task4CP,66310afd
0,360,Task4CP,66310afd
4,324,Task4CP,66310afd
2,355,Task4CP,66310afd
4,248,Task4CP,66310afd
11,542,Task4CP,66310afd
4,197,Task4CP,66310afd
3,218,Task4CP,66310afd
1,357,Task4CP,66310afd
8,209,Task4CP,66310afd
10,0,Task4CP,66310afd
9,4676,Task4CP,66310afd
10,403,Task4CP,66310afd
9,0,Task4CP,66310afd
10,2653,Task4CP,66310afd
9,666,Task4CP,66310afd
5,452,Task4CP,66310afd
1,186,Task4CP,66310afd
0,574,Task4CP,66310afd
12,373,Task4CP,66310afd
9,1551,Task4CP,66310afd
10,1300,Task4CP,66310afd
1,38,Task4CP,66310afd
5,0,Task4CP,66310afd
6,0,Task4CP,66310afd
9,699,Task4CP,66310afd
6,418,Task4CP,66310afd
8,370,Task4CP,66310afd
14,0,Task4CP,66310afd
10,324,Task4CP,66310afd
9,621,Task4CP,66310afd
0,586,Task4CP,66310afd
3,232,Task4CP,66310afd
5,78,Task4CP,66310afd
9,139,Task4CP,66310afd
6,464,Task4CP,66310afd
3,0,Task4CP,66310afd
12,109,Task4CP,66310afd
9,245,Task4CP,66310afd
10,0,Task4CP,66310afd
11,517,Task4CP,66310afd
17,248,Task4CP,66310afd
10,0,Task4CP,66310afd
9,1218,Task4CP,66310afd
10,140,Task4CP,66310afd
9,404,Task4CP,66310afd
10,15,Task4CP,66310afd
9,758,Task4CP,66310afd
12,0,Task4CP,66310afd
