AOIName,FixationDuration,Stimulus,Participant
7,0,Task9CM,66310afd
4,0,Task9CM,66310afd
0,0,Task9CM,66310afd
1,40,Task9CM,66310afd
2,31,Task9CM,66310afd
1,680,Task9CM,66310afd
7,263,Task9CM,66310afd
13,113,Task9CM,66310afd
1,84,Task9CM,66310afd
0,524,Task9CM,66310afd
1,1923,Task9CM,66310afd
0,596,Task9CM,66310afd
1,1348,Task9CM,66310afd
0,4009,Task9CM,66310afd
1,277,Task9CM,66310afd
0,546,Task9CM,66310afd
1,60,Task9CM,66310afd
2,0,Task9CM,66310afd
1,139,Task9CM,66310afd
2,1545,Task9CM,66310afd
1,526,Task9CM,66310afd
2,725,Task9CM,66310afd
4,774,Task9CM,66310afd
3,0,Task9CM,66310afd
2,1163,Task9CM,66310afd
1,2221,Task9CM,66310afd
0,2288,Task9CM,66310afd
1,2713,Task9CM,66310afd
2,975,Task9CM,66310afd
1,1451,Task9CM,66310afd
2,842,Task9CM,66310afd
1,2212,Task9CM,66310afd
2,217,Task9CM,66310afd
1,1362,Task9CM,66310afd
2,6375,Task9CM,66310afd
3,1084,Task9CM,66310afd
2,1886,Task9CM,66310afd
0,31,Task9CM,66310afd
2,5450,Task9CM,66310afd
1,234,Task9CM,66310afd
11,77,Task9CM,66310afd
13,30,Task9CM,66310afd
14,42,Task9CM,66310afd
13,4422,Task9CM,66310afd
2,46,Task9CM,66310afd
0,354,Task9CM,66310afd
1,771,Task9CM,66310afd
0,2029,Task9CM,66310afd
1,981,Task9CM,66310afd
2,48,Task9CM,66310afd
15,413,Task9CM,66310afd
14,1037,Task9CM,66310afd
13,94,Task9CM,66310afd
2,139,Task9CM,66310afd
1,2965,Task9CM,66310afd
2,231,Task9CM,66310afd
1,494,Task9CM,66310afd
2,495,Task9CM,66310afd
1,2379,Task9CM,66310afd
0,945,Task9CM,66310afd
1,1263,Task9CM,66310afd
2,6958,Task9CM,66310afd
4,0,Task9CM,66310afd
2,1190,Task9CM,66310afd
1,34,Task9CM,66310afd
0,531,Task9CM,66310afd
2,851,Task9CM,66310afd
5,0,Task9CM,66310afd
2,5859,Task9CM,66310afd
3,7753,Task9CM,66310afd
2,797,Task9CM,66310afd
3,16,Task9CM,66310afd
2,2234,Task9CM,66310afd
7,0,Task9CM,66310afd
2,1795,Task9CM,66310afd
3,2681,Task9CM,66310afd
4,230,Task9CM,66310afd
2,0,Task9CM,66310afd
1,32,Task9CM,66310afd
0,0,Task9CM,66310afd
3,911,Task9CM,66310afd
1,1177,Task9CM,66310afd
0,749,Task9CM,66310afd
3,1126,Task9CM,66310afd
0,246,Task9CM,66310afd
1,2720,Task9CM,66310afd
0,316,Task9CM,66310afd
1,2109,Task9CM,66310afd
3,4469,Task9CM,66310afd
1,341,Task9CM,66310afd
3,342,Task9CM,66310afd
4,6573,Task9CM,66310afd
