AOIName,FixationDuration,Stimulus,Participant
14,294,Task11CP,66b337a9
4,62,Task11CP,66b337a9
1,758,Task11CP,66b337a9
0,1449,Task11CP,66b337a9
1,342,Task11CP,66b337a9
5,109,Task11CP,66b337a9
17,0,Task11CP,66b337a9
23,201,Task11CP,66b337a9
24,815,Task11CP,66b337a9
21,0,Task11CP,66b337a9
24,3638,Task11CP,66b337a9
3,647,Task11CP,66b337a9
1,123,Task11CP,66b337a9
0,154,Task11CP,66b337a9
1,108,Task11CP,66b337a9
25,261,Task11CP,66b337a9
24,0,Task11CP,66b337a9
1,678,Task11CP,66b337a9
0,137,Task11CP,66b337a9
2,45,Task11CP,66b337a9
0,585,Task11CP,66b337a9
1,170,Task11CP,66b337a9
3,523,Task11CP,66b337a9
1,185,Task11CP,66b337a9
3,2069,Task11CP,66b337a9
1,15,Task11CP,66b337a9
3,1243,Task11CP,66b337a9
2,993,Task11CP,66b337a9
3,801,Task11CP,66b337a9
7,60,Task11CP,66b337a9
5,0,Task11CP,66b337a9
3,1351,Task11CP,66b337a9
4,706,Task11CP,66b337a9
3,0,Task11CP,66b337a9
2,46,Task11CP,66b337a9
4,2221,Task11CP,66b337a9
8,15,Task11CP,66b337a9
4,1332,Task11CP,66b337a9
2,195,Task11CP,66b337a9
3,676,Task11CP,66b337a9
4,2575,Task11CP,66b337a9
5,139,Task11CP,66b337a9
2,16,Task11CP,66b337a9
4,0,Task11CP,66b337a9
6,872,Task11CP,66b337a9
4,1909,Task11CP,66b337a9
3,77,Task11CP,66b337a9
7,371,Task11CP,66b337a9
5,570,Task11CP,66b337a9
7,1013,Task11CP,66b337a9
5,2708,Task11CP,66b337a9
6,107,Task11CP,66b337a9
5,246,Task11CP,66b337a9
4,135,Task11CP,66b337a9
5,753,Task11CP,66b337a9
4,139,Task11CP,66b337a9
6,2020,Task11CP,66b337a9
7,200,Task11CP,66b337a9
5,400,Task11CP,66b337a9
8,110,Task11CP,66b337a9
6,307,Task11CP,66b337a9
4,230,Task11CP,66b337a9
5,382,Task11CP,66b337a9
6,3959,Task11CP,66b337a9
5,217,Task11CP,66b337a9
4,169,Task11CP,66b337a9
5,614,Task11CP,66b337a9
7,200,Task11CP,66b337a9
5,3146,Task11CP,66b337a9
7,649,Task11CP,66b337a9
5,291,Task11CP,66b337a9
10,16,Task11CP,66b337a9
5,264,Task11CP,66b337a9
8,60,Task11CP,66b337a9
6,520,Task11CP,66b337a9
5,184,Task11CP,66b337a9
8,974,Task11CP,66b337a9
6,292,Task11CP,66b337a9
8,718,Task11CP,66b337a9
10,600,Task11CP,66b337a9
8,183,Task11CP,66b337a9
9,0,Task11CP,66b337a9
7,2132,Task11CP,66b337a9
5,401,Task11CP,66b337a9
7,184,Task11CP,66b337a9
10,167,Task11CP,66b337a9
8,190,Task11CP,66b337a9
7,723,Task11CP,66b337a9
5,309,Task11CP,66b337a9
9,30,Task11CP,66b337a9
7,1119,Task11CP,66b337a9
9,46,Task11CP,66b337a9
7,506,Task11CP,66b337a9
9,260,Task11CP,66b337a9
5,2512,Task11CP,66b337a9
4,240,Task11CP,66b337a9
2,199,Task11CP,66b337a9
3,2364,Task11CP,66b337a9
5,216,Task11CP,66b337a9
3,245,Task11CP,66b337a9
5,274,Task11CP,66b337a9
3,245,Task11CP,66b337a9
4,292,Task11CP,66b337a9
3,880,Task11CP,66b337a9
4,1078,Task11CP,66b337a9
2,216,Task11CP,66b337a9
1,403,Task11CP,66b337a9
3,354,Task11CP,66b337a9
4,2168,Task11CP,66b337a9
5,26,Task11CP,66b337a9
4,2248,Task11CP,66b337a9
5,0,Task11CP,66b337a9
4,2284,Task11CP,66b337a9
5,168,Task11CP,66b337a9
3,544,Task11CP,66b337a9
4,3200,Task11CP,66b337a9
8,31,Task11CP,66b337a9
4,5119,Task11CP,66b337a9
3,399,Task11CP,66b337a9
5,154,Task11CP,66b337a9
14,108,Task11CP,66b337a9
4,1551,Task11CP,66b337a9
5,30,Task11CP,66b337a9
4,570,Task11CP,66b337a9
5,841,Task11CP,66b337a9
3,390,Task11CP,66b337a9
5,2023,Task11CP,66b337a9
4,1139,Task11CP,66b337a9
5,1771,Task11CP,66b337a9
7,15,Task11CP,66b337a9
5,2602,Task11CP,66b337a9
3,432,Task11CP,66b337a9
5,305,Task11CP,66b337a9
4,16,Task11CP,66b337a9
5,1377,Task11CP,66b337a9
7,3603,Task11CP,66b337a9
5,950,Task11CP,66b337a9
4,1232,Task11CP,66b337a9
5,31,Task11CP,66b337a9
4,384,Task11CP,66b337a9
2,217,Task11CP,66b337a9
5,109,Task11CP,66b337a9
4,150,Task11CP,66b337a9
2,46,Task11CP,66b337a9
4,1018,Task11CP,66b337a9
6,231,Task11CP,66b337a9
4,1365,Task11CP,66b337a9
3,0,Task11CP,66b337a9
5,1814,Task11CP,66b337a9
11,0,Task11CP,66b337a9
5,637,Task11CP,66b337a9
4,984,Task11CP,66b337a9
17,310,Task11CP,66b337a9
9,367,Task11CP,66b337a9
7,155,Task11CP,66b337a9
5,92,Task11CP,66b337a9
7,756,Task11CP,66b337a9
5,198,Task11CP,66b337a9
9,710,Task11CP,66b337a9
7,309,Task11CP,66b337a9
9,27,Task11CP,66b337a9
7,662,Task11CP,66b337a9
