AOIName,FixationDuration,Stimulus,Participant
7,133,Task3CM,66b337a9
0,1074,Task3CM,66b337a9
14,2265,Task3CM,66b337a9
15,337,Task3CM,66b337a9
1,106,Task3CM,66b337a9
0,2186,Task3CM,66b337a9
1,2344,Task3CM,66b337a9
2,229,Task3CM,66b337a9
4,0,Task3CM,66b337a9
2,543,Task3CM,66b337a9
3,184,Task3CM,66b337a9
1,566,Task3CM,66b337a9
2,16,Task3CM,66b337a9
3,2284,Task3CM,66b337a9
0,198,Task3CM,66b337a9
12,0,Task3CM,66b337a9
4,93,Task3CM,66b337a9
3,3555,Task3CM,66b337a9
4,4308,Task3CM,66b337a9
5,556,Task3CM,66b337a9
4,248,Task3CM,66b337a9
5,261,Task3CM,66b337a9
4,92,Task3CM,66b337a9
3,521,Task3CM,66b337a9
5,663,Task3CM,66b337a9
4,847,Task3CM,66b337a9
2,587,Task3CM,66b337a9
5,245,Task3CM,66b337a9
4,1110,Task3CM,66b337a9
3,202,Task3CM,66b337a9
4,80,Task3CM,66b337a9
6,16,Task3CM,66b337a9
4,265,Task3CM,66b337a9
5,830,Task3CM,66b337a9
4,751,Task3CM,66b337a9
5,2899,Task3CM,66b337a9
7,601,Task3CM,66b337a9
6,399,Task3CM,66b337a9
8,385,Task3CM,66b337a9
10,400,Task3CM,66b337a9
4,15,Task3CM,66b337a9
3,215,Task3CM,66b337a9
1,569,Task3CM,66b337a9
0,405,Task3CM,66b337a9
8,76,Task3CM,66b337a9
9,276,Task3CM,66b337a9
6,261,Task3CM,66b337a9
5,975,Task3CM,66b337a9
6,123,Task3CM,66b337a9
5,472,Task3CM,66b337a9
6,155,Task3CM,66b337a9
5,327,Task3CM,66b337a9
4,212,Task3CM,66b337a9
2,367,Task3CM,66b337a9
5,139,Task3CM,66b337a9
3,124,Task3CM,66b337a9
2,937,Task3CM,66b337a9
3,231,Task3CM,66b337a9
1,306,Task3CM,66b337a9
4,231,Task3CM,66b337a9
7,2954,Task3CM,66b337a9
3,404,Task3CM,66b337a9
4,233,Task3CM,66b337a9
3,254,Task3CM,66b337a9
6,492,Task3CM,66b337a9
5,960,Task3CM,66b337a9
6,309,Task3CM,66b337a9
5,0,Task3CM,66b337a9
4,93,Task3CM,66b337a9
5,502,Task3CM,66b337a9
0,756,Task3CM,66b337a9
6,615,Task3CM,66b337a9
5,773,Task3CM,66b337a9
1,231,Task3CM,66b337a9
6,217,Task3CM,66b337a9
3,473,Task3CM,66b337a9
4,847,Task3CM,66b337a9
6,0,Task3CM,66b337a9
7,0,Task3CM,66b337a9
3,1030,Task3CM,66b337a9
7,15,Task3CM,66b337a9
3,248,Task3CM,66b337a9
1,229,Task3CM,66b337a9
5,124,Task3CM,66b337a9
4,1111,Task3CM,66b337a9
3,0,Task3CM,66b337a9
4,813,Task3CM,66b337a9
5,0,Task3CM,66b337a9
4,475,Task3CM,66b337a9
6,45,Task3CM,66b337a9
7,1814,Task3CM,66b337a9
9,0,Task3CM,66b337a9
6,1178,Task3CM,66b337a9
7,246,Task3CM,66b337a9
5,678,Task3CM,66b337a9
14,79,Task3CM,66b337a9
3,138,Task3CM,66b337a9
1,1036,Task3CM,66b337a9
3,1138,Task3CM,66b337a9
4,751,Task3CM,66b337a9
5,62,Task3CM,66b337a9
4,1198,Task3CM,66b337a9
3,322,Task3CM,66b337a9
4,170,Task3CM,66b337a9
1,0,Task3CM,66b337a9
2,31,Task3CM,66b337a9
1,92,Task3CM,66b337a9
4,0,Task3CM,66b337a9
3,999,Task3CM,66b337a9
6,216,Task3CM,66b337a9
3,782,Task3CM,66b337a9
1,1136,Task3CM,66b337a9
2,0,Task3CM,66b337a9
3,184,Task3CM,66b337a9
2,906,Task3CM,66b337a9
4,766,Task3CM,66b337a9
5,21,Task3CM,66b337a9
3,1046,Task3CM,66b337a9
4,3200,Task3CM,66b337a9
2,1157,Task3CM,66b337a9
5,508,Task3CM,66b337a9
4,15,Task3CM,66b337a9
5,0,Task3CM,66b337a9
6,477,Task3CM,66b337a9
7,446,Task3CM,66b337a9
6,412,Task3CM,66b337a9
9,93,Task3CM,66b337a9
8,77,Task3CM,66b337a9
7,3004,Task3CM,66b337a9
1,0,Task3CM,66b337a9
3,0,Task3CM,66b337a9
6,193,Task3CM,66b337a9
5,16,Task3CM,66b337a9
3,0,Task3CM,66b337a9
5,0,Task3CM,66b337a9
9,0,Task3CM,66b337a9
7,985,Task3CM,66b337a9
4,266,Task3CM,66b337a9
3,185,Task3CM,66b337a9
7,837,Task3CM,66b337a9
9,0,Task3CM,66b337a9
10,63,Task3CM,66b337a9
9,0,Task3CM,66b337a9
7,43,Task3CM,66b337a9
6,16,Task3CM,66b337a9
7,47,Task3CM,66b337a9
5,0,Task3CM,66b337a9
7,77,Task3CM,66b337a9
6,322,Task3CM,66b337a9
10,137,Task3CM,66b337a9
4,262,Task3CM,66b337a9
8,0,Task3CM,66b337a9
12,0,Task3CM,66b337a9
4,1309,Task3CM,66b337a9
3,2678,Task3CM,66b337a9
4,1764,Task3CM,66b337a9
6,39,Task3CM,66b337a9
4,91,Task3CM,66b337a9
6,139,Task3CM,66b337a9
5,465,Task3CM,66b337a9
2,45,Task3CM,66b337a9
4,171,Task3CM,66b337a9
6,108,Task3CM,66b337a9
4,786,Task3CM,66b337a9
6,231,Task3CM,66b337a9
7,325,Task3CM,66b337a9
6,168,Task3CM,66b337a9
5,16,Task3CM,66b337a9
7,199,Task3CM,66b337a9
6,62,Task3CM,66b337a9
8,77,Task3CM,66b337a9
7,447,Task3CM,66b337a9
5,0,Task3CM,66b337a9
6,35,Task3CM,66b337a9
7,63,Task3CM,66b337a9
6,154,Task3CM,66b337a9
7,325,Task3CM,66b337a9
9,152,Task3CM,66b337a9
7,249,Task3CM,66b337a9
9,596,Task3CM,66b337a9
12,15,Task3CM,66b337a9
7,153,Task3CM,66b337a9
5,432,Task3CM,66b337a9
9,307,Task3CM,66b337a9
5,416,Task3CM,66b337a9
4,123,Task3CM,66b337a9
5,1220,Task3CM,66b337a9
3,0,Task3CM,66b337a9
