AOIName,FixationDuration,Stimulus,Participant
5,0,Task10CP,782b7c64
1,31,Task10CP,782b7c64
0,405,Task10CP,782b7c64
4,108,Task10CP,782b7c64
7,771,Task10CP,782b7c64
16,92,Task10CP,782b7c64
23,232,Task10CP,782b7c64
1,261,Task10CP,782b7c64
5,15,Task10CP,782b7c64
6,307,Task10CP,782b7c64
2,0,Task10CP,782b7c64
0,526,Task10CP,782b7c64
2,96,Task10CP,782b7c64
3,62,Task10CP,782b7c64
1,575,Task10CP,782b7c64
4,1156,Task10CP,782b7c64
7,31,Task10CP,782b7c64
4,52,Task10CP,782b7c64
7,1348,Task10CP,782b7c64
10,1373,Task10CP,782b7c64
13,1631,Task10CP,782b7c64
15,79,Task10CP,782b7c64
17,199,Task10CP,782b7c64
15,27,Task10CP,782b7c64
12,109,Task10CP,782b7c64
14,0,Task10CP,782b7c64
12,64,Task10CP,782b7c64
22,202,Task10CP,782b7c64
23,50,Task10CP,782b7c64
22,1118,Task10CP,782b7c64
23,399,Task10CP,782b7c64
6,587,Task10CP,782b7c64
5,512,Task10CP,782b7c64
1,413,Task10CP,782b7c64
22,16,Task10CP,782b7c64
16,28,Task10CP,782b7c64
13,108,Task10CP,782b7c64
10,223,Task10CP,782b7c64
11,183,Task10CP,782b7c64
8,846,Task10CP,782b7c64
9,537,Task10CP,782b7c64
6,943,Task10CP,782b7c64
1,64,Task10CP,782b7c64
3,245,Task10CP,782b7c64
1,185,Task10CP,782b7c64
14,416,Task10CP,782b7c64
17,124,Task10CP,782b7c64
10,614,Task10CP,782b7c64
11,385,Task10CP,782b7c64
9,464,Task10CP,782b7c64
14,370,Task10CP,782b7c64
6,445,Task10CP,782b7c64
3,708,Task10CP,782b7c64
6,0,Task10CP,782b7c64
8,432,Task10CP,782b7c64
6,309,Task10CP,782b7c64
12,337,Task10CP,782b7c64
17,51,Task10CP,782b7c64
3,307,Task10CP,782b7c64
0,190,Task10CP,782b7c64
3,1163,Task10CP,782b7c64
12,0,Task10CP,782b7c64
17,323,Task10CP,782b7c64
12,571,Task10CP,782b7c64
9,17,Task10CP,782b7c64
6,1244,Task10CP,782b7c64
9,974,Task10CP,782b7c64
6,382,Task10CP,782b7c64
7,514,Task10CP,782b7c64
5,892,Task10CP,782b7c64
3,391,Task10CP,782b7c64
6,1094,Task10CP,782b7c64
0,325,Task10CP,782b7c64
13,217,Task10CP,782b7c64
11,279,Task10CP,782b7c64
22,338,Task10CP,782b7c64
19,0,Task10CP,782b7c64
22,138,Task10CP,782b7c64
23,140,Task10CP,782b7c64
22,47,Task10CP,782b7c64
23,0,Task10CP,782b7c64
22,92,Task10CP,782b7c64
23,134,Task10CP,782b7c64
8,169,Task10CP,782b7c64
13,169,Task10CP,782b7c64
22,439,Task10CP,782b7c64
6,404,Task10CP,782b7c64
1,202,Task10CP,782b7c64
0,584,Task10CP,782b7c64
10,169,Task10CP,782b7c64
7,248,Task10CP,782b7c64
3,761,Task10CP,782b7c64
5,217,Task10CP,782b7c64
6,0,Task10CP,782b7c64
8,108,Task10CP,782b7c64
6,848,Task10CP,782b7c64
5,369,Task10CP,782b7c64
22,434,Task10CP,782b7c64
11,0,Task10CP,782b7c64
6,538,Task10CP,782b7c64
5,339,Task10CP,782b7c64
22,310,Task10CP,782b7c64
