AOIName,FixationDuration,Stimulus,Participant
11,199,Task4CM,782b7c64
2,92,Task4CM,782b7c64
0,524,Task4CM,782b7c64
4,617,Task4CM,782b7c64
6,215,Task4CM,782b7c64
7,624,Task4CM,782b7c64
12,15,Task4CM,782b7c64
13,186,Task4CM,782b7c64
15,91,Task4CM,782b7c64
17,47,Task4CM,782b7c64
19,278,Task4CM,782b7c64
20,204,Task4CM,782b7c64
0,602,Task4CM,782b7c64
1,386,Task4CM,782b7c64
0,168,Task4CM,782b7c64
2,0,Task4CM,782b7c64
1,1617,Task4CM,782b7c64
0,216,Task4CM,782b7c64
1,1509,Task4CM,782b7c64
2,154,Task4CM,782b7c64
1,648,Task4CM,782b7c64
0,16,Task4CM,782b7c64
1,631,Task4CM,782b7c64
5,0,Task4CM,782b7c64
1,278,Task4CM,782b7c64
3,1402,Task4CM,782b7c64
0,709,Task4CM,782b7c64
3,1091,Task4CM,782b7c64
2,861,Task4CM,782b7c64
1,821,Task4CM,782b7c64
4,4031,Task4CM,782b7c64
5,326,Task4CM,782b7c64
4,0,Task4CM,782b7c64
2,584,Task4CM,782b7c64
3,168,Task4CM,782b7c64
7,0,Task4CM,782b7c64
3,24,Task4CM,782b7c64
1,138,Task4CM,782b7c64
0,395,Task4CM,782b7c64
4,452,Task4CM,782b7c64
6,0,Task4CM,782b7c64
5,371,Task4CM,782b7c64
6,0,Task4CM,782b7c64
7,0,Task4CM,782b7c64
6,0,Task4CM,782b7c64
3,0,Task4CM,782b7c64
7,0,Task4CM,782b7c64
10,0,Task4CM,782b7c64
11,62,Task4CM,782b7c64
9,122,Task4CM,782b7c64
5,202,Task4CM,782b7c64
4,1013,Task4CM,782b7c64
6,402,Task4CM,782b7c64
9,341,Task4CM,782b7c64
5,1221,Task4CM,782b7c64
9,15,Task4CM,782b7c64
10,77,Task4CM,782b7c64
13,154,Task4CM,782b7c64
15,527,Task4CM,782b7c64
10,131,Task4CM,782b7c64
3,0,Task4CM,782b7c64
0,354,Task4CM,782b7c64
4,0,Task4CM,782b7c64
6,1015,Task4CM,782b7c64
4,463,Task4CM,782b7c64
2,386,Task4CM,782b7c64
0,659,Task4CM,782b7c64
4,124,Task4CM,782b7c64
6,815,Task4CM,782b7c64
4,633,Task4CM,782b7c64
7,1355,Task4CM,782b7c64
6,0,Task4CM,782b7c64
1,721,Task4CM,782b7c64
6,122,Task4CM,782b7c64
7,366,Task4CM,782b7c64
6,1881,Task4CM,782b7c64
8,1962,Task4CM,782b7c64
7,677,Task4CM,782b7c64
8,400,Task4CM,782b7c64
7,170,Task4CM,782b7c64
8,463,Task4CM,782b7c64
6,766,Task4CM,782b7c64
7,263,Task4CM,782b7c64
8,786,Task4CM,782b7c64
7,15,Task4CM,782b7c64
8,1047,Task4CM,782b7c64
9,2114,Task4CM,782b7c64
7,927,Task4CM,782b7c64
10,153,Task4CM,782b7c64
12,3410,Task4CM,782b7c64
3,0,Task4CM,782b7c64
2,138,Task4CM,782b7c64
1,216,Task4CM,782b7c64
2,446,Task4CM,782b7c64
11,216,Task4CM,782b7c64
13,308,Task4CM,782b7c64
15,493,Task4CM,782b7c64
2,600,Task4CM,782b7c64
14,62,Task4CM,782b7c64
19,94,Task4CM,782b7c64
1,168,Task4CM,782b7c64
19,451,Task4CM,782b7c64
6,1206,Task4CM,782b7c64
7,1755,Task4CM,782b7c64
8,875,Task4CM,782b7c64
9,556,Task4CM,782b7c64
12,0,Task4CM,782b7c64
11,571,Task4CM,782b7c64
8,42,Task4CM,782b7c64
9,216,Task4CM,782b7c64
11,16,Task4CM,782b7c64
8,0,Task4CM,782b7c64
7,106,Task4CM,782b7c64
6,340,Task4CM,782b7c64
19,1218,Task4CM,782b7c64
12,0,Task4CM,782b7c64
9,375,Task4CM,782b7c64
14,0,Task4CM,782b7c64
17,32,Task4CM,782b7c64
21,274,Task4CM,782b7c64
20,0,Task4CM,782b7c64
9,402,Task4CM,782b7c64
8,340,Task4CM,782b7c64
9,540,Task4CM,782b7c64
13,281,Task4CM,782b7c64
12,416,Task4CM,782b7c64
8,1044,Task4CM,782b7c64
11,180,Task4CM,782b7c64
12,154,Task4CM,782b7c64
9,0,Task4CM,782b7c64
5,477,Task4CM,782b7c64
6,202,Task4CM,782b7c64
5,394,Task4CM,782b7c64
11,0,Task4CM,782b7c64
13,15,Task4CM,782b7c64
11,151,Task4CM,782b7c64
4,700,Task4CM,782b7c64
