AOIName,FixationDuration,Stimulus,Participant
14,0,Task1CP,9679a6e6
2,108,Task1CP,9679a6e6
0,46,Task1CP,9679a6e6
17,31,Task1CP,9679a6e6
15,15,Task1CP,9679a6e6
19,322,Task1CP,9679a6e6
20,2107,Task1CP,9679a6e6
3,123,Task1CP,9679a6e6
1,2044,Task1CP,9679a6e6
3,693,Task1CP,9679a6e6
1,0,Task1CP,9679a6e6
3,2602,Task1CP,9679a6e6
5,1458,Task1CP,9679a6e6
6,1410,Task1CP,9679a6e6
8,541,Task1CP,9679a6e6
5,3350,Task1CP,9679a6e6
2,539,Task1CP,9679a6e6
3,16,Task1CP,9679a6e6
4,0,Task1CP,9679a6e6
0,346,Task1CP,9679a6e6
4,2430,Task1CP,9679a6e6
5,150,Task1CP,9679a6e6
6,843,Task1CP,9679a6e6
7,590,Task1CP,9679a6e6
4,0,Task1CP,9679a6e6
7,874,Task1CP,9679a6e6
5,0,Task1CP,9679a6e6
6,274,Task1CP,9679a6e6
5,1076,Task1CP,9679a6e6
7,1501,Task1CP,9679a6e6
6,486,Task1CP,9679a6e6
5,586,Task1CP,9679a6e6
1,16,Task1CP,9679a6e6
6,1458,Task1CP,9679a6e6
8,185,Task1CP,9679a6e6
6,199,Task1CP,9679a6e6
8,2259,Task1CP,9679a6e6
10,139,Task1CP,9679a6e6
8,385,Task1CP,9679a6e6
10,30,Task1CP,9679a6e6
12,97,Task1CP,9679a6e6
8,1707,Task1CP,9679a6e6
6,1232,Task1CP,9679a6e6
10,92,Task1CP,9679a6e6
6,1953,Task1CP,9679a6e6
5,538,Task1CP,9679a6e6
6,0,Task1CP,9679a6e6
7,201,Task1CP,9679a6e6
15,429,Task1CP,9679a6e6
10,309,Task1CP,9679a6e6
3,2302,Task1CP,9679a6e6
5,847,Task1CP,9679a6e6
10,891,Task1CP,9679a6e6
8,755,Task1CP,9679a6e6
10,0,Task1CP,9679a6e6
6,3404,Task1CP,9679a6e6
8,1821,Task1CP,9679a6e6
5,216,Task1CP,9679a6e6
6,573,Task1CP,9679a6e6
15,1226,Task1CP,9679a6e6
13,0,Task1CP,9679a6e6
12,1096,Task1CP,9679a6e6
15,77,Task1CP,9679a6e6
13,0,Task1CP,9679a6e6
11,386,Task1CP,9679a6e6
3,1077,Task1CP,9679a6e6
5,211,Task1CP,9679a6e6
