AOIName,FixationDuration,Stimulus,Participant
8,491,Task8CM,9679a6e6
4,340,Task8CM,9679a6e6
1,0,Task8CM,9679a6e6
0,154,Task8CM,9679a6e6
2,61,Task8CM,9679a6e6
0,2011,Task8CM,9679a6e6
4,169,Task8CM,9679a6e6
13,356,Task8CM,9679a6e6
0,419,Task8CM,9679a6e6
13,418,Task8CM,9679a6e6
0,5972,Task8CM,9679a6e6
2,1124,Task8CM,9679a6e6
1,0,Task8CM,9679a6e6
2,2248,Task8CM,9679a6e6
0,380,Task8CM,9679a6e6
1,31,Task8CM,9679a6e6
3,3731,Task8CM,9679a6e6
1,799,Task8CM,9679a6e6
4,1865,Task8CM,9679a6e6
5,5810,Task8CM,9679a6e6
4,1431,Task8CM,9679a6e6
3,275,Task8CM,9679a6e6
4,846,Task8CM,9679a6e6
5,945,Task8CM,9679a6e6
6,0,Task8CM,9679a6e6
5,485,Task8CM,9679a6e6
6,0,Task8CM,9679a6e6
5,894,Task8CM,9679a6e6
6,2683,Task8CM,9679a6e6
5,417,Task8CM,9679a6e6
4,2433,Task8CM,9679a6e6
6,174,Task8CM,9679a6e6
5,171,Task8CM,9679a6e6
6,265,Task8CM,9679a6e6
8,323,Task8CM,9679a6e6
5,585,Task8CM,9679a6e6
7,0,Task8CM,9679a6e6
8,261,Task8CM,9679a6e6
6,531,Task8CM,9679a6e6
7,138,Task8CM,9679a6e6
5,155,Task8CM,9679a6e6
4,430,Task8CM,9679a6e6
5,155,Task8CM,9679a6e6
4,190,Task8CM,9679a6e6
5,0,Task8CM,9679a6e6
4,692,Task8CM,9679a6e6
5,0,Task8CM,9679a6e6
4,953,Task8CM,9679a6e6
5,15,Task8CM,9679a6e6
2,72,Task8CM,9679a6e6
4,324,Task8CM,9679a6e6
7,0,Task8CM,9679a6e6
6,169,Task8CM,9679a6e6
5,125,Task8CM,9679a6e6
6,231,Task8CM,9679a6e6
7,30,Task8CM,9679a6e6
5,31,Task8CM,9679a6e6
7,0,Task8CM,9679a6e6
9,247,Task8CM,9679a6e6
3,712,Task8CM,9679a6e6
13,0,Task8CM,9679a6e6
6,47,Task8CM,9679a6e6
7,266,Task8CM,9679a6e6
4,402,Task8CM,9679a6e6
6,45,Task8CM,9679a6e6
7,614,Task8CM,9679a6e6
9,16,Task8CM,9679a6e6
8,207,Task8CM,9679a6e6
7,573,Task8CM,9679a6e6
9,215,Task8CM,9679a6e6
13,76,Task8CM,9679a6e6
