AOIName,FixationDuration,Stimulus,Participant
18,296,Task11CP,967a04d0
4,107,Task11CP,967a04d0
0,294,Task11CP,967a04d0
1,226,Task11CP,967a04d0
16,0,Task11CP,967a04d0
7,0,Task11CP,967a04d0
2,476,Task11CP,967a04d0
1,1142,Task11CP,967a04d0
0,2065,Task11CP,967a04d0
1,572,Task11CP,967a04d0
0,383,Task11CP,967a04d0
2,415,Task11CP,967a04d0
5,16,Task11CP,967a04d0
3,63,Task11CP,967a04d0
1,210,Task11CP,967a04d0
4,277,Task11CP,967a04d0
2,2261,Task11CP,967a04d0
1,1445,Task11CP,967a04d0
3,1078,Task11CP,967a04d0
4,662,Task11CP,967a04d0
2,984,Task11CP,967a04d0
4,108,Task11CP,967a04d0
1,523,Task11CP,967a04d0
0,665,Task11CP,967a04d0
2,3555,Task11CP,967a04d0
0,112,Task11CP,967a04d0
1,330,Task11CP,967a04d0
5,752,Task11CP,967a04d0
4,1998,Task11CP,967a04d0
3,260,Task11CP,967a04d0
4,1322,Task11CP,967a04d0
3,554,Task11CP,967a04d0
9,72,Task11CP,967a04d0
5,543,Task11CP,967a04d0
3,401,Task11CP,967a04d0
1,232,Task11CP,967a04d0
5,294,Task11CP,967a04d0
4,919,Task11CP,967a04d0
2,16,Task11CP,967a04d0
0,229,Task11CP,967a04d0
16,152,Task11CP,967a04d0
11,169,Task11CP,967a04d0
16,153,Task11CP,967a04d0
5,1139,Task11CP,967a04d0
3,77,Task11CP,967a04d0
4,538,Task11CP,967a04d0
5,16,Task11CP,967a04d0
3,47,Task11CP,967a04d0
5,30,Task11CP,967a04d0
4,1554,Task11CP,967a04d0
3,16,Task11CP,967a04d0
4,556,Task11CP,967a04d0
5,150,Task11CP,967a04d0
4,1481,Task11CP,967a04d0
1,464,Task11CP,967a04d0
4,695,Task11CP,967a04d0
0,107,Task11CP,967a04d0
4,2239,Task11CP,967a04d0
1,307,Task11CP,967a04d0
3,1291,Task11CP,967a04d0
5,0,Task11CP,967a04d0
8,0,Task11CP,967a04d0
5,322,Task11CP,967a04d0
4,31,Task11CP,967a04d0
5,1515,Task11CP,967a04d0
4,4621,Task11CP,967a04d0
5,174,Task11CP,967a04d0
1,154,Task11CP,967a04d0
3,627,Task11CP,967a04d0
5,475,Task11CP,967a04d0
3,436,Task11CP,967a04d0
5,2014,Task11CP,967a04d0
8,554,Task11CP,967a04d0
6,1166,Task11CP,967a04d0
8,850,Task11CP,967a04d0
6,185,Task11CP,967a04d0
5,718,Task11CP,967a04d0
7,445,Task11CP,967a04d0
9,295,Task11CP,967a04d0
10,331,Task11CP,967a04d0
8,169,Task11CP,967a04d0
10,1598,Task11CP,967a04d0
9,62,Task11CP,967a04d0
11,151,Task11CP,967a04d0
9,0,Task11CP,967a04d0
10,261,Task11CP,967a04d0
12,650,Task11CP,967a04d0
11,202,Task11CP,967a04d0
10,1305,Task11CP,967a04d0
11,1834,Task11CP,967a04d0
16,139,Task11CP,967a04d0
14,352,Task11CP,967a04d0
11,156,Task11CP,967a04d0
14,327,Task11CP,967a04d0
11,292,Task11CP,967a04d0
10,231,Task11CP,967a04d0
9,1494,Task11CP,967a04d0
10,1795,Task11CP,967a04d0
9,1418,Task11CP,967a04d0
7,1406,Task11CP,967a04d0
9,508,Task11CP,967a04d0
10,1243,Task11CP,967a04d0
7,2145,Task11CP,967a04d0
24,678,Task11CP,967a04d0
25,0,Task11CP,967a04d0
7,782,Task11CP,967a04d0
22,31,Task11CP,967a04d0
14,169,Task11CP,967a04d0
17,0,Task11CP,967a04d0
16,120,Task11CP,967a04d0
11,448,Task11CP,967a04d0
17,0,Task11CP,967a04d0
9,553,Task11CP,967a04d0
7,1712,Task11CP,967a04d0
3,709,Task11CP,967a04d0
5,0,Task11CP,967a04d0
9,509,Task11CP,967a04d0
13,2295,Task11CP,967a04d0
11,1000,Task11CP,967a04d0
21,33,Task11CP,967a04d0
18,213,Task11CP,967a04d0
24,46,Task11CP,967a04d0
17,216,Task11CP,967a04d0
25,646,Task11CP,967a04d0
16,108,Task11CP,967a04d0
14,97,Task11CP,967a04d0
13,450,Task11CP,967a04d0
9,138,Task11CP,967a04d0
2,275,Task11CP,967a04d0
10,570,Task11CP,967a04d0
22,0,Task11CP,967a04d0
13,140,Task11CP,967a04d0
9,3336,Task11CP,967a04d0
10,585,Task11CP,967a04d0
8,200,Task11CP,967a04d0
10,2741,Task11CP,967a04d0
12,465,Task11CP,967a04d0
10,556,Task11CP,967a04d0
9,0,Task11CP,967a04d0
8,663,Task11CP,967a04d0
9,927,Task11CP,967a04d0
21,0,Task11CP,967a04d0
7,460,Task11CP,967a04d0
8,0,Task11CP,967a04d0
5,1299,Task11CP,967a04d0
4,123,Task11CP,967a04d0
5,3146,Task11CP,967a04d0
6,1392,Task11CP,967a04d0
5,1836,Task11CP,967a04d0
6,185,Task11CP,967a04d0
5,1306,Task11CP,967a04d0
6,1707,Task11CP,967a04d0
8,77,Task11CP,967a04d0
5,1988,Task11CP,967a04d0
3,154,Task11CP,967a04d0
5,1853,Task11CP,967a04d0
7,154,Task11CP,967a04d0
5,415,Task11CP,967a04d0
7,1726,Task11CP,967a04d0
13,0,Task11CP,967a04d0
9,1155,Task11CP,967a04d0
10,1187,Task11CP,967a04d0
9,124,Task11CP,967a04d0
16,415,Task11CP,967a04d0
10,2431,Task11CP,967a04d0
22,32,Task11CP,967a04d0
11,121,Task11CP,967a04d0
9,243,Task11CP,967a04d0
7,3444,Task11CP,967a04d0
9,432,Task11CP,967a04d0
7,825,Task11CP,967a04d0
5,356,Task11CP,967a04d0
7,3462,Task11CP,967a04d0
9,108,Task11CP,967a04d0
7,446,Task11CP,967a04d0
24,0,Task11CP,967a04d0
27,0,Task11CP,967a04d0
24,15,Task11CP,967a04d0
9,703,Task11CP,967a04d0
10,137,Task11CP,967a04d0
11,139,Task11CP,967a04d0
10,426,Task11CP,967a04d0
11,376,Task11CP,967a04d0
10,527,Task11CP,967a04d0
9,305,Task11CP,967a04d0
24,2951,Task11CP,967a04d0
13,218,Task11CP,967a04d0
22,0,Task11CP,967a04d0
11,216,Task11CP,967a04d0
7,1148,Task11CP,967a04d0
8,185,Task11CP,967a04d0
11,216,Task11CP,967a04d0
25,15,Task11CP,967a04d0
11,198,Task11CP,967a04d0
24,92,Task11CP,967a04d0
16,154,Task11CP,967a04d0
11,0,Task11CP,967a04d0
9,122,Task11CP,967a04d0
5,262,Task11CP,967a04d0
26,0,Task11CP,967a04d0
14,93,Task11CP,967a04d0
7,1000,Task11CP,967a04d0
5,540,Task11CP,967a04d0
3,449,Task11CP,967a04d0
4,0,Task11CP,967a04d0
5,31,Task11CP,967a04d0
6,719,Task11CP,967a04d0
4,1186,Task11CP,967a04d0
3,1136,Task11CP,967a04d0
