AOIName,FixationDuration,Stimulus,Participant
2,92,Task1CM,967a04d0
0,2719,Task1CM,967a04d0
1,903,Task1CM,967a04d0
0,0,Task1CM,967a04d0
1,1970,Task1CM,967a04d0
0,2278,Task1CM,967a04d0
2,1741,Task1CM,967a04d0
3,140,Task1CM,967a04d0
2,308,Task1CM,967a04d0
3,723,Task1CM,967a04d0
4,136,Task1CM,967a04d0
2,123,Task1CM,967a04d0
3,858,Task1CM,967a04d0
4,169,Task1CM,967a04d0
6,450,Task1CM,967a04d0
3,432,Task1CM,967a04d0
4,460,Task1CM,967a04d0
5,15,Task1CM,967a04d0
4,474,Task1CM,967a04d0
5,1873,Task1CM,967a04d0
3,633,Task1CM,967a04d0
2,988,Task1CM,967a04d0
5,245,Task1CM,967a04d0
7,108,Task1CM,967a04d0
9,446,Task1CM,967a04d0
13,215,Task1CM,967a04d0
9,230,Task1CM,967a04d0
6,1477,Task1CM,967a04d0
5,15,Task1CM,967a04d0
4,338,Task1CM,967a04d0
2,4844,Task1CM,967a04d0
3,275,Task1CM,967a04d0
4,337,Task1CM,967a04d0
3,4682,Task1CM,967a04d0
4,385,Task1CM,967a04d0
2,538,Task1CM,967a04d0
4,493,Task1CM,967a04d0
3,1737,Task1CM,967a04d0
4,2106,Task1CM,967a04d0
5,464,Task1CM,967a04d0
7,0,Task1CM,967a04d0
4,3158,Task1CM,967a04d0
6,495,Task1CM,967a04d0
9,171,Task1CM,967a04d0
2,1262,Task1CM,967a04d0
5,678,Task1CM,967a04d0
11,0,Task1CM,967a04d0
3,1727,Task1CM,967a04d0
4,0,Task1CM,967a04d0
1,16,Task1CM,967a04d0
2,1182,Task1CM,967a04d0
0,232,Task1CM,967a04d0
3,924,Task1CM,967a04d0
4,60,Task1CM,967a04d0
3,2372,Task1CM,967a04d0
4,345,Task1CM,967a04d0
3,1492,Task1CM,967a04d0
2,2172,Task1CM,967a04d0
3,463,Task1CM,967a04d0
4,108,Task1CM,967a04d0
3,2799,Task1CM,967a04d0
5,0,Task1CM,967a04d0
3,463,Task1CM,967a04d0
2,1676,Task1CM,967a04d0
6,93,Task1CM,967a04d0
4,15,Task1CM,967a04d0
3,724,Task1CM,967a04d0
4,0,Task1CM,967a04d0
3,3417,Task1CM,967a04d0
4,2170,Task1CM,967a04d0
7,28,Task1CM,967a04d0
5,1761,Task1CM,967a04d0
4,815,Task1CM,967a04d0
6,31,Task1CM,967a04d0
5,508,Task1CM,967a04d0
7,552,Task1CM,967a04d0
5,0,Task1CM,967a04d0
4,0,Task1CM,967a04d0
2,1435,Task1CM,967a04d0
5,0,Task1CM,967a04d0
2,92,Task1CM,967a04d0
4,0,Task1CM,967a04d0
3,2484,Task1CM,967a04d0
5,0,Task1CM,967a04d0
3,9710,Task1CM,967a04d0
5,0,Task1CM,967a04d0
3,4248,Task1CM,967a04d0
4,0,Task1CM,967a04d0
3,4535,Task1CM,967a04d0
7,0,Task1CM,967a04d0
4,8130,Task1CM,967a04d0
5,802,Task1CM,967a04d0
4,970,Task1CM,967a04d0
5,3370,Task1CM,967a04d0
4,450,Task1CM,967a04d0
7,0,Task1CM,967a04d0
5,1567,Task1CM,967a04d0
6,583,Task1CM,967a04d0
7,125,Task1CM,967a04d0
8,118,Task1CM,967a04d0
7,171,Task1CM,967a04d0
4,1420,Task1CM,967a04d0
5,938,Task1CM,967a04d0
4,3340,Task1CM,967a04d0
5,246,Task1CM,967a04d0
3,1669,Task1CM,967a04d0
4,2139,Task1CM,967a04d0
3,775,Task1CM,967a04d0
2,0,Task1CM,967a04d0
3,784,Task1CM,967a04d0
5,740,Task1CM,967a04d0
3,559,Task1CM,967a04d0
5,2251,Task1CM,967a04d0
3,170,Task1CM,967a04d0
4,466,Task1CM,967a04d0
5,523,Task1CM,967a04d0
4,831,Task1CM,967a04d0
5,31,Task1CM,967a04d0
4,0,Task1CM,967a04d0
3,816,Task1CM,967a04d0
5,601,Task1CM,967a04d0
3,1203,Task1CM,967a04d0
7,90,Task1CM,967a04d0
5,122,Task1CM,967a04d0
3,1478,Task1CM,967a04d0
4,16,Task1CM,967a04d0
3,1914,Task1CM,967a04d0
2,1062,Task1CM,967a04d0
1,1473,Task1CM,967a04d0
7,0,Task1CM,967a04d0
2,0,Task1CM,967a04d0
6,78,Task1CM,967a04d0
3,4778,Task1CM,967a04d0
5,92,Task1CM,967a04d0
3,1467,Task1CM,967a04d0
4,16,Task1CM,967a04d0
3,3004,Task1CM,967a04d0
5,15,Task1CM,967a04d0
4,2313,Task1CM,967a04d0
6,0,Task1CM,967a04d0
4,725,Task1CM,967a04d0
5,0,Task1CM,967a04d0
4,0,Task1CM,967a04d0
5,894,Task1CM,967a04d0
13,77,Task1CM,967a04d0
4,1262,Task1CM,967a04d0
5,1478,Task1CM,967a04d0
6,1522,Task1CM,967a04d0
3,393,Task1CM,967a04d0
7,310,Task1CM,967a04d0
3,1723,Task1CM,967a04d0
5,15,Task1CM,967a04d0
3,464,Task1CM,967a04d0
5,137,Task1CM,967a04d0
13,430,Task1CM,967a04d0
8,1465,Task1CM,967a04d0
5,677,Task1CM,967a04d0
4,155,Task1CM,967a04d0
3,1089,Task1CM,967a04d0
13,445,Task1CM,967a04d0
6,30,Task1CM,967a04d0
4,280,Task1CM,967a04d0
5,318,Task1CM,967a04d0
4,139,Task1CM,967a04d0
3,5616,Task1CM,967a04d0
6,0,Task1CM,967a04d0
5,107,Task1CM,967a04d0
3,357,Task1CM,967a04d0
6,277,Task1CM,967a04d0
5,771,Task1CM,967a04d0
7,399,Task1CM,967a04d0
9,462,Task1CM,967a04d0
8,214,Task1CM,967a04d0
5,719,Task1CM,967a04d0
3,15,Task1CM,967a04d0
1,603,Task1CM,967a04d0
5,122,Task1CM,967a04d0
6,1585,Task1CM,967a04d0
5,414,Task1CM,967a04d0
4,184,Task1CM,967a04d0
9,370,Task1CM,967a04d0
11,0,Task1CM,967a04d0
14,61,Task1CM,967a04d0
7,338,Task1CM,967a04d0
6,139,Task1CM,967a04d0
4,357,Task1CM,967a04d0
3,799,Task1CM,967a04d0
5,346,Task1CM,967a04d0
4,1031,Task1CM,967a04d0
3,1629,Task1CM,967a04d0
4,1102,Task1CM,967a04d0
7,195,Task1CM,967a04d0
5,768,Task1CM,967a04d0
3,276,Task1CM,967a04d0
13,15,Task1CM,967a04d0
5,231,Task1CM,967a04d0
8,1421,Task1CM,967a04d0
14,508,Task1CM,967a04d0
11,62,Task1CM,967a04d0
7,246,Task1CM,967a04d0
9,461,Task1CM,967a04d0
7,0,Task1CM,967a04d0
2,1060,Task1CM,967a04d0
4,319,Task1CM,967a04d0
2,693,Task1CM,967a04d0
6,339,Task1CM,967a04d0
2,706,Task1CM,967a04d0
9,31,Task1CM,967a04d0
