AOIName,FixationDuration,Stimulus,Participant
7,186,Task12CM,9a43cae5
2,0,Task12CM,9a43cae5
0,591,Task12CM,9a43cae5
1,856,Task12CM,9a43cae5
10,216,Task12CM,9a43cae5
0,430,Task12CM,9a43cae5
1,414,Task12CM,9a43cae5
2,661,Task12CM,9a43cae5
1,282,Task12CM,9a43cae5
2,1013,Task12CM,9a43cae5
4,755,Task12CM,9a43cae5
3,154,Task12CM,9a43cae5
4,2141,Task12CM,9a43cae5
5,1155,Task12CM,9a43cae5
6,1484,Task12CM,9a43cae5
5,990,Task12CM,9a43cae5
4,797,Task12CM,9a43cae5
7,0,Task12CM,9a43cae5
4,106,Task12CM,9a43cae5
10,1449,Task12CM,9a43cae5
5,31,Task12CM,9a43cae5
2,95,Task12CM,9a43cae5
10,542,Task12CM,9a43cae5
11,104,Task12CM,9a43cae5
5,124,Task12CM,9a43cae5
6,337,Task12CM,9a43cae5
4,907,Task12CM,9a43cae5
2,0,Task12CM,9a43cae5
3,83,Task12CM,9a43cae5
7,137,Task12CM,9a43cae5
8,0,Task12CM,9a43cae5
7,89,Task12CM,9a43cae5
6,171,Task12CM,9a43cae5
7,123,Task12CM,9a43cae5
4,708,Task12CM,9a43cae5
10,116,Task12CM,9a43cae5
2,138,Task12CM,9a43cae5
4,1366,Task12CM,9a43cae5
6,51,Task12CM,9a43cae5
4,109,Task12CM,9a43cae5
6,50,Task12CM,9a43cae5
5,248,Task12CM,9a43cae5
6,1340,Task12CM,9a43cae5
10,0,Task12CM,9a43cae5
12,183,Task12CM,9a43cae5
11,414,Task12CM,9a43cae5
7,0,Task12CM,9a43cae5
6,185,Task12CM,9a43cae5
8,184,Task12CM,9a43cae5
6,70,Task12CM,9a43cae5
11,110,Task12CM,9a43cae5
13,0,Task12CM,9a43cae5
7,0,Task12CM,9a43cae5
6,46,Task12CM,9a43cae5
7,324,Task12CM,9a43cae5
6,414,Task12CM,9a43cae5
5,230,Task12CM,9a43cae5
6,200,Task12CM,9a43cae5
5,15,Task12CM,9a43cae5
2,321,Task12CM,9a43cae5
13,56,Task12CM,9a43cae5
14,0,Task12CM,9a43cae5
12,170,Task12CM,9a43cae5
