AOIName,FixationDuration,Stimulus,Participant
16,200,Task5CP,9a43cae5
0,199,Task5CP,9a43cae5
1,169,Task5CP,9a43cae5
0,419,Task5CP,9a43cae5
1,3425,Task5CP,9a43cae5
0,169,Task5CP,9a43cae5
3,3550,Task5CP,9a43cae5
1,820,Task5CP,9a43cae5
3,247,Task5CP,9a43cae5
5,1962,Task5CP,9a43cae5
1,169,Task5CP,9a43cae5
3,1538,Task5CP,9a43cae5
5,2088,Task5CP,9a43cae5
7,3817,Task5CP,9a43cae5
5,123,Task5CP,9a43cae5
4,0,Task5CP,9a43cae5
2,1201,Task5CP,9a43cae5
4,1029,Task5CP,9a43cae5
6,509,Task5CP,9a43cae5
4,602,Task5CP,9a43cae5
6,2503,Task5CP,9a43cae5
5,0,Task5CP,9a43cae5
7,716,Task5CP,9a43cae5
9,0,Task5CP,9a43cae5
7,1717,Task5CP,9a43cae5
5,0,Task5CP,9a43cae5
3,929,Task5CP,9a43cae5
0,324,Task5CP,9a43cae5
9,989,Task5CP,9a43cae5
7,2078,Task5CP,9a43cae5
9,170,Task5CP,9a43cae5
8,577,Task5CP,9a43cae5
7,91,Task5CP,9a43cae5
8,300,Task5CP,9a43cae5
10,0,Task5CP,9a43cae5
8,645,Task5CP,9a43cae5
7,662,Task5CP,9a43cae5
5,199,Task5CP,9a43cae5
7,386,Task5CP,9a43cae5
5,480,Task5CP,9a43cae5
9,107,Task5CP,9a43cae5
8,1158,Task5CP,9a43cae5
10,255,Task5CP,9a43cae5
9,31,Task5CP,9a43cae5
11,101,Task5CP,9a43cae5
12,188,Task5CP,9a43cae5
10,539,Task5CP,9a43cae5
11,0,Task5CP,9a43cae5
9,3879,Task5CP,9a43cae5
13,78,Task5CP,9a43cae5
15,230,Task5CP,9a43cae5
13,255,Task5CP,9a43cae5
14,851,Task5CP,9a43cae5
10,46,Task5CP,9a43cae5
14,334,Task5CP,9a43cae5
17,1274,Task5CP,9a43cae5
13,52,Task5CP,9a43cae5
16,0,Task5CP,9a43cae5
20,1396,Task5CP,9a43cae5
22,0,Task5CP,9a43cae5
24,61,Task5CP,9a43cae5
22,0,Task5CP,9a43cae5
25,721,Task5CP,9a43cae5
26,1748,Task5CP,9a43cae5
27,170,Task5CP,9a43cae5
26,37,Task5CP,9a43cae5
11,0,Task5CP,9a43cae5
5,0,Task5CP,9a43cae5
1,1740,Task5CP,9a43cae5
3,1415,Task5CP,9a43cae5
5,68,Task5CP,9a43cae5
26,432,Task5CP,9a43cae5
3,2072,Task5CP,9a43cae5
1,153,Task5CP,9a43cae5
3,1340,Task5CP,9a43cae5
5,186,Task5CP,9a43cae5
3,309,Task5CP,9a43cae5
5,918,Task5CP,9a43cae5
1,266,Task5CP,9a43cae5
7,598,Task5CP,9a43cae5
5,4621,Task5CP,9a43cae5
0,465,Task5CP,9a43cae5
1,0,Task5CP,9a43cae5
5,756,Task5CP,9a43cae5
1,154,Task5CP,9a43cae5
5,201,Task5CP,9a43cae5
3,79,Task5CP,9a43cae5
5,63,Task5CP,9a43cae5
4,621,Task5CP,9a43cae5
3,459,Task5CP,9a43cae5
5,818,Task5CP,9a43cae5
3,7477,Task5CP,9a43cae5
1,1030,Task5CP,9a43cae5
0,498,Task5CP,9a43cae5
3,1232,Task5CP,9a43cae5
1,23,Task5CP,9a43cae5
0,944,Task5CP,9a43cae5
1,78,Task5CP,9a43cae5
3,3053,Task5CP,9a43cae5
1,202,Task5CP,9a43cae5
5,183,Task5CP,9a43cae5
3,62,Task5CP,9a43cae5
9,0,Task5CP,9a43cae5
7,0,Task5CP,9a43cae5
5,430,Task5CP,9a43cae5
1,585,Task5CP,9a43cae5
0,560,Task5CP,9a43cae5
1,123,Task5CP,9a43cae5
5,3385,Task5CP,9a43cae5
3,906,Task5CP,9a43cae5
5,887,Task5CP,9a43cae5
7,617,Task5CP,9a43cae5
5,2139,Task5CP,9a43cae5
7,2187,Task5CP,9a43cae5
8,93,Task5CP,9a43cae5
5,702,Task5CP,9a43cae5
7,677,Task5CP,9a43cae5
8,277,Task5CP,9a43cae5
5,835,Task5CP,9a43cae5
7,833,Task5CP,9a43cae5
6,1386,Task5CP,9a43cae5
9,0,Task5CP,9a43cae5
11,0,Task5CP,9a43cae5
6,1339,Task5CP,9a43cae5
8,108,Task5CP,9a43cae5
6,138,Task5CP,9a43cae5
7,701,Task5CP,9a43cae5
8,304,Task5CP,9a43cae5
10,355,Task5CP,9a43cae5
8,254,Task5CP,9a43cae5
10,1114,Task5CP,9a43cae5
12,429,Task5CP,9a43cae5
11,262,Task5CP,9a43cae5
9,396,Task5CP,9a43cae5
11,1179,Task5CP,9a43cae5
13,231,Task5CP,9a43cae5
11,323,Task5CP,9a43cae5
13,387,Task5CP,9a43cae5
14,916,Task5CP,9a43cae5
17,93,Task5CP,9a43cae5
13,368,Task5CP,9a43cae5
14,21,Task5CP,9a43cae5
13,3732,Task5CP,9a43cae5
19,775,Task5CP,9a43cae5
20,4799,Task5CP,9a43cae5
13,273,Task5CP,9a43cae5
9,2698,Task5CP,9a43cae5
11,0,Task5CP,9a43cae5
9,2744,Task5CP,9a43cae5
8,0,Task5CP,9a43cae5
10,397,Task5CP,9a43cae5
7,1223,Task5CP,9a43cae5
9,0,Task5CP,9a43cae5
8,91,Task5CP,9a43cae5
7,1124,Task5CP,9a43cae5
25,140,Task5CP,9a43cae5
7,276,Task5CP,9a43cae5
9,151,Task5CP,9a43cae5
7,780,Task5CP,9a43cae5
5,598,Task5CP,9a43cae5
3,509,Task5CP,9a43cae5
5,676,Task5CP,9a43cae5
9,1671,Task5CP,9a43cae5
7,1463,Task5CP,9a43cae5
5,415,Task5CP,9a43cae5
7,245,Task5CP,9a43cae5
5,525,Task5CP,9a43cae5
7,165,Task5CP,9a43cae5
5,1386,Task5CP,9a43cae5
25,842,Task5CP,9a43cae5
26,256,Task5CP,9a43cae5
27,229,Task5CP,9a43cae5
26,91,Task5CP,9a43cae5
25,202,Task5CP,9a43cae5
26,154,Task5CP,9a43cae5
11,170,Task5CP,9a43cae5
5,79,Task5CP,9a43cae5
0,433,Task5CP,9a43cae5
11,16,Task5CP,9a43cae5
15,400,Task5CP,9a43cae5
13,569,Task5CP,9a43cae5
14,199,Task5CP,9a43cae5
2,123,Task5CP,9a43cae5
6,2248,Task5CP,9a43cae5
4,323,Task5CP,9a43cae5
6,409,Task5CP,9a43cae5
8,263,Task5CP,9a43cae5
5,46,Task5CP,9a43cae5
8,323,Task5CP,9a43cae5
6,1520,Task5CP,9a43cae5
8,495,Task5CP,9a43cae5
5,141,Task5CP,9a43cae5
7,232,Task5CP,9a43cae5
3,77,Task5CP,9a43cae5
4,2040,Task5CP,9a43cae5
2,123,Task5CP,9a43cae5
1,17,Task5CP,9a43cae5
3,1221,Task5CP,9a43cae5
4,368,Task5CP,9a43cae5
1,169,Task5CP,9a43cae5
3,5168,Task5CP,9a43cae5
1,1817,Task5CP,9a43cae5
2,476,Task5CP,9a43cae5
1,87,Task5CP,9a43cae5
4,538,Task5CP,9a43cae5
2,906,Task5CP,9a43cae5
6,1447,Task5CP,9a43cae5
4,92,Task5CP,9a43cae5
6,125,Task5CP,9a43cae5
2,1472,Task5CP,9a43cae5
1,712,Task5CP,9a43cae5
3,124,Task5CP,9a43cae5
4,890,Task5CP,9a43cae5
6,792,Task5CP,9a43cae5
4,374,Task5CP,9a43cae5
5,296,Task5CP,9a43cae5
6,123,Task5CP,9a43cae5
4,540,Task5CP,9a43cae5
5,169,Task5CP,9a43cae5
3,185,Task5CP,9a43cae5
5,749,Task5CP,9a43cae5
1,306,Task5CP,9a43cae5
0,54,Task5CP,9a43cae5
1,231,Task5CP,9a43cae5
3,0,Task5CP,9a43cae5
7,278,Task5CP,9a43cae5
6,945,Task5CP,9a43cae5
7,139,Task5CP,9a43cae5
5,278,Task5CP,9a43cae5
7,1725,Task5CP,9a43cae5
9,365,Task5CP,9a43cae5
5,568,Task5CP,9a43cae5
7,77,Task5CP,9a43cae5
9,715,Task5CP,9a43cae5
5,169,Task5CP,9a43cae5
7,538,Task5CP,9a43cae5
9,229,Task5CP,9a43cae5
7,1274,Task5CP,9a43cae5
8,1186,Task5CP,9a43cae5
3,169,Task5CP,9a43cae5
5,404,Task5CP,9a43cae5
10,384,Task5CP,9a43cae5
8,410,Task5CP,9a43cae5
9,93,Task5CP,9a43cae5
11,0,Task5CP,9a43cae5
9,3412,Task5CP,9a43cae5
5,367,Task5CP,9a43cae5
7,169,Task5CP,9a43cae5
11,1136,Task5CP,9a43cae5
7,248,Task5CP,9a43cae5
9,2092,Task5CP,9a43cae5
16,924,Task5CP,9a43cae5
9,489,Task5CP,9a43cae5
11,103,Task5CP,9a43cae5
7,123,Task5CP,9a43cae5
16,77,Task5CP,9a43cae5
9,368,Task5CP,9a43cae5
13,0,Task5CP,9a43cae5
11,94,Task5CP,9a43cae5
9,7448,Task5CP,9a43cae5
13,431,Task5CP,9a43cae5
10,254,Task5CP,9a43cae5
11,0,Task5CP,9a43cae5
10,706,Task5CP,9a43cae5
9,845,Task5CP,9a43cae5
11,281,Task5CP,9a43cae5
9,4646,Task5CP,9a43cae5
11,615,Task5CP,9a43cae5
10,469,Task5CP,9a43cae5
11,169,Task5CP,9a43cae5
