AOIName,FixationDuration,Stimulus,Participant
9,0,Task3CM,b1c5e27d
7,179,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
0,370,Task3CM,b1c5e27d
3,0,Task3CM,b1c5e27d
1,154,Task3CM,b1c5e27d
8,0,Task3CM,b1c5e27d
12,154,Task3CM,b1c5e27d
2,61,Task3CM,b1c5e27d
0,1296,Task3CM,b1c5e27d
2,0,Task3CM,b1c5e27d
1,1370,Task3CM,b1c5e27d
2,654,Task3CM,b1c5e27d
3,95,Task3CM,b1c5e27d
2,1004,Task3CM,b1c5e27d
4,16,Task3CM,b1c5e27d
3,1472,Task3CM,b1c5e27d
4,184,Task3CM,b1c5e27d
2,214,Task3CM,b1c5e27d
3,140,Task3CM,b1c5e27d
6,16,Task3CM,b1c5e27d
4,741,Task3CM,b1c5e27d
3,0,Task3CM,b1c5e27d
2,137,Task3CM,b1c5e27d
4,357,Task3CM,b1c5e27d
3,509,Task3CM,b1c5e27d
6,32,Task3CM,b1c5e27d
4,273,Task3CM,b1c5e27d
5,0,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
3,431,Task3CM,b1c5e27d
5,359,Task3CM,b1c5e27d
6,33,Task3CM,b1c5e27d
4,602,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
4,1046,Task3CM,b1c5e27d
5,353,Task3CM,b1c5e27d
3,29,Task3CM,b1c5e27d
2,359,Task3CM,b1c5e27d
4,0,Task3CM,b1c5e27d
1,139,Task3CM,b1c5e27d
4,539,Task3CM,b1c5e27d
5,363,Task3CM,b1c5e27d
7,1003,Task3CM,b1c5e27d
5,680,Task3CM,b1c5e27d
7,109,Task3CM,b1c5e27d
9,0,Task3CM,b1c5e27d
12,230,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
4,0,Task3CM,b1c5e27d
3,415,Task3CM,b1c5e27d
2,185,Task3CM,b1c5e27d
4,247,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
4,429,Task3CM,b1c5e27d
7,15,Task3CM,b1c5e27d
5,433,Task3CM,b1c5e27d
4,124,Task3CM,b1c5e27d
3,0,Task3CM,b1c5e27d
4,323,Task3CM,b1c5e27d
3,92,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
5,46,Task3CM,b1c5e27d
4,801,Task3CM,b1c5e27d
7,20,Task3CM,b1c5e27d
4,289,Task3CM,b1c5e27d
6,16,Task3CM,b1c5e27d
3,826,Task3CM,b1c5e27d
4,47,Task3CM,b1c5e27d
9,15,Task3CM,b1c5e27d
5,0,Task3CM,b1c5e27d
4,35,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
5,123,Task3CM,b1c5e27d
7,31,Task3CM,b1c5e27d
5,845,Task3CM,b1c5e27d
4,414,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
7,32,Task3CM,b1c5e27d
4,157,Task3CM,b1c5e27d
3,276,Task3CM,b1c5e27d
4,62,Task3CM,b1c5e27d
5,34,Task3CM,b1c5e27d
2,294,Task3CM,b1c5e27d
6,298,Task3CM,b1c5e27d
7,862,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
5,1399,Task3CM,b1c5e27d
3,1007,Task3CM,b1c5e27d
1,261,Task3CM,b1c5e27d
4,354,Task3CM,b1c5e27d
5,94,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
3,308,Task3CM,b1c5e27d
12,246,Task3CM,b1c5e27d
6,583,Task3CM,b1c5e27d
3,1219,Task3CM,b1c5e27d
4,41,Task3CM,b1c5e27d
3,569,Task3CM,b1c5e27d
6,92,Task3CM,b1c5e27d
5,0,Task3CM,b1c5e27d
7,45,Task3CM,b1c5e27d
2,31,Task3CM,b1c5e27d
0,1018,Task3CM,b1c5e27d
4,0,Task3CM,b1c5e27d
2,31,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
4,322,Task3CM,b1c5e27d
2,1276,Task3CM,b1c5e27d
3,47,Task3CM,b1c5e27d
4,293,Task3CM,b1c5e27d
7,663,Task3CM,b1c5e27d
9,0,Task3CM,b1c5e27d
7,231,Task3CM,b1c5e27d
6,738,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
4,937,Task3CM,b1c5e27d
5,447,Task3CM,b1c5e27d
4,1110,Task3CM,b1c5e27d
3,555,Task3CM,b1c5e27d
4,1593,Task3CM,b1c5e27d
6,294,Task3CM,b1c5e27d
9,60,Task3CM,b1c5e27d
7,46,Task3CM,b1c5e27d
6,538,Task3CM,b1c5e27d
4,359,Task3CM,b1c5e27d
5,32,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
7,46,Task3CM,b1c5e27d
5,125,Task3CM,b1c5e27d
7,54,Task3CM,b1c5e27d
5,108,Task3CM,b1c5e27d
7,31,Task3CM,b1c5e27d
5,706,Task3CM,b1c5e27d
7,47,Task3CM,b1c5e27d
5,0,Task3CM,b1c5e27d
7,26,Task3CM,b1c5e27d
4,204,Task3CM,b1c5e27d
5,325,Task3CM,b1c5e27d
7,169,Task3CM,b1c5e27d
6,995,Task3CM,b1c5e27d
7,189,Task3CM,b1c5e27d
5,138,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
5,260,Task3CM,b1c5e27d
8,47,Task3CM,b1c5e27d
7,417,Task3CM,b1c5e27d
6,92,Task3CM,b1c5e27d
5,0,Task3CM,b1c5e27d
4,188,Task3CM,b1c5e27d
7,1017,Task3CM,b1c5e27d
9,31,Task3CM,b1c5e27d
7,357,Task3CM,b1c5e27d
3,676,Task3CM,b1c5e27d
12,0,Task3CM,b1c5e27d
5,203,Task3CM,b1c5e27d
7,837,Task3CM,b1c5e27d
9,123,Task3CM,b1c5e27d
7,449,Task3CM,b1c5e27d
9,0,Task3CM,b1c5e27d
6,39,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
5,154,Task3CM,b1c5e27d
3,695,Task3CM,b1c5e27d
4,93,Task3CM,b1c5e27d
5,292,Task3CM,b1c5e27d
4,431,Task3CM,b1c5e27d
5,69,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
6,0,Task3CM,b1c5e27d
7,0,Task3CM,b1c5e27d
4,277,Task3CM,b1c5e27d
6,30,Task3CM,b1c5e27d
7,15,Task3CM,b1c5e27d
4,0,Task3CM,b1c5e27d
5,117,Task3CM,b1c5e27d
7,280,Task3CM,b1c5e27d
5,0,Task3CM,b1c5e27d
4,102,Task3CM,b1c5e27d
7,675,Task3CM,b1c5e27d
14,123,Task3CM,b1c5e27d
7,328,Task3CM,b1c5e27d
2,195,Task3CM,b1c5e27d
14,16,Task3CM,b1c5e27d
8,156,Task3CM,b1c5e27d
7,183,Task3CM,b1c5e27d
