AOIName,FixationDuration,Stimulus,Participant
13,0,Task7CP,b1c5e27d
0,971,Task7CP,b1c5e27d
5,0,Task7CP,b1c5e27d
1,16,Task7CP,b1c5e27d
0,465,Task7CP,b1c5e27d
1,2803,Task7CP,b1c5e27d
3,51,Task7CP,b1c5e27d
7,15,Task7CP,b1c5e27d
1,600,Task7CP,b1c5e27d
3,47,Task7CP,b1c5e27d
5,30,Task7CP,b1c5e27d
3,620,Task7CP,b1c5e27d
5,500,Task7CP,b1c5e27d
7,339,Task7CP,b1c5e27d
10,324,Task7CP,b1c5e27d
3,138,Task7CP,b1c5e27d
1,32,Task7CP,b1c5e27d
0,1003,Task7CP,b1c5e27d
1,402,Task7CP,b1c5e27d
0,185,Task7CP,b1c5e27d
1,109,Task7CP,b1c5e27d
3,108,Task7CP,b1c5e27d
1,461,Task7CP,b1c5e27d
5,0,Task7CP,b1c5e27d
3,600,Task7CP,b1c5e27d
7,16,Task7CP,b1c5e27d
3,1223,Task7CP,b1c5e27d
7,22,Task7CP,b1c5e27d
3,2025,Task7CP,b1c5e27d
0,92,Task7CP,b1c5e27d
5,0,Task7CP,b1c5e27d
3,290,Task7CP,b1c5e27d
5,1266,Task7CP,b1c5e27d
1,629,Task7CP,b1c5e27d
5,262,Task7CP,b1c5e27d
7,541,Task7CP,b1c5e27d
1,554,Task7CP,b1c5e27d
5,31,Task7CP,b1c5e27d
3,228,Task7CP,b1c5e27d
7,508,Task7CP,b1c5e27d
3,245,Task7CP,b1c5e27d
5,15,Task7CP,b1c5e27d
3,307,Task7CP,b1c5e27d
5,692,Task7CP,b1c5e27d
3,262,Task7CP,b1c5e27d
7,1885,Task7CP,b1c5e27d
9,1497,Task7CP,b1c5e27d
12,307,Task7CP,b1c5e27d
15,430,Task7CP,b1c5e27d
21,49,Task7CP,b1c5e27d
18,122,Task7CP,b1c5e27d
13,0,Task7CP,b1c5e27d
0,478,Task7CP,b1c5e27d
1,205,Task7CP,b1c5e27d
19,31,Task7CP,b1c5e27d
1,678,Task7CP,b1c5e27d
7,446,Task7CP,b1c5e27d
10,49,Task7CP,b1c5e27d
18,397,Task7CP,b1c5e27d
10,0,Task7CP,b1c5e27d
18,151,Task7CP,b1c5e27d
19,318,Task7CP,b1c5e27d
10,0,Task7CP,b1c5e27d
3,617,Task7CP,b1c5e27d
15,120,Task7CP,b1c5e27d
19,261,Task7CP,b1c5e27d
5,0,Task7CP,b1c5e27d
3,77,Task7CP,b1c5e27d
0,106,Task7CP,b1c5e27d
1,261,Task7CP,b1c5e27d
0,386,Task7CP,b1c5e27d
1,0,Task7CP,b1c5e27d
0,112,Task7CP,b1c5e27d
1,639,Task7CP,b1c5e27d
3,863,Task7CP,b1c5e27d
1,801,Task7CP,b1c5e27d
5,27,Task7CP,b1c5e27d
1,696,Task7CP,b1c5e27d
3,1760,Task7CP,b1c5e27d
5,1046,Task7CP,b1c5e27d
3,645,Task7CP,b1c5e27d
7,0,Task7CP,b1c5e27d
5,184,Task7CP,b1c5e27d
9,384,Task7CP,b1c5e27d
1,756,Task7CP,b1c5e27d
