AOIName,FixationDuration,Stimulus,Participant
15,0,Task12CP,ba88bf04
9,139,Task12CP,ba88bf04
7,0,Task12CP,ba88bf04
3,515,Task12CP,ba88bf04
9,86,Task12CP,ba88bf04
3,835,Task12CP,ba88bf04
1,199,Task12CP,ba88bf04
3,261,Task12CP,ba88bf04
8,77,Task12CP,ba88bf04
3,19,Task12CP,ba88bf04
5,106,Task12CP,ba88bf04
6,297,Task12CP,ba88bf04
10,414,Task12CP,ba88bf04
9,432,Task12CP,ba88bf04
5,620,Task12CP,ba88bf04
17,110,Task12CP,ba88bf04
18,6545,Task12CP,ba88bf04
19,277,Task12CP,ba88bf04
15,325,Task12CP,ba88bf04
