AOIName,FixationDuration,Stimulus,Participant
12,198,Task6CM,ba88bf04
4,54,Task6CM,ba88bf04
1,218,Task6CM,ba88bf04
2,1053,Task6CM,ba88bf04
3,299,Task6CM,ba88bf04
6,30,Task6CM,ba88bf04
5,246,Task6CM,ba88bf04
3,774,Task6CM,ba88bf04
5,1157,Task6CM,ba88bf04
6,18,Task6CM,ba88bf04
5,513,Task6CM,ba88bf04
4,728,Task6CM,ba88bf04
3,2685,Task6CM,ba88bf04
8,541,Task6CM,ba88bf04
5,3287,Task6CM,ba88bf04
6,3138,Task6CM,ba88bf04
7,340,Task6CM,ba88bf04
8,1100,Task6CM,ba88bf04
13,478,Task6CM,ba88bf04
19,77,Task6CM,ba88bf04
18,93,Task6CM,ba88bf04
17,62,Task6CM,ba88bf04
18,277,Task6CM,ba88bf04
19,15,Task6CM,ba88bf04
20,60,Task6CM,ba88bf04
19,554,Task6CM,ba88bf04
18,124,Task6CM,ba88bf04
20,526,Task6CM,ba88bf04
19,16,Task6CM,ba88bf04
15,0,Task6CM,ba88bf04
13,77,Task6CM,ba88bf04
14,325,Task6CM,ba88bf04
13,557,Task6CM,ba88bf04
10,0,Task6CM,ba88bf04
9,154,Task6CM,ba88bf04
8,954,Task6CM,ba88bf04
4,267,Task6CM,ba88bf04
3,599,Task6CM,ba88bf04
2,762,Task6CM,ba88bf04
3,2303,Task6CM,ba88bf04
1,384,Task6CM,ba88bf04
3,406,Task6CM,ba88bf04
1,644,Task6CM,ba88bf04
2,1589,Task6CM,ba88bf04
3,1111,Task6CM,ba88bf04
4,24,Task6CM,ba88bf04
3,509,Task6CM,ba88bf04
1,480,Task6CM,ba88bf04
4,711,Task6CM,ba88bf04
3,172,Task6CM,ba88bf04
4,541,Task6CM,ba88bf04
5,2176,Task6CM,ba88bf04
4,560,Task6CM,ba88bf04
5,2197,Task6CM,ba88bf04
6,139,Task6CM,ba88bf04
5,190,Task6CM,ba88bf04
3,541,Task6CM,ba88bf04
1,170,Task6CM,ba88bf04
7,820,Task6CM,ba88bf04
6,1285,Task6CM,ba88bf04
4,307,Task6CM,ba88bf04
6,1974,Task6CM,ba88bf04
7,3015,Task6CM,ba88bf04
6,723,Task6CM,ba88bf04
7,565,Task6CM,ba88bf04
6,817,Task6CM,ba88bf04
8,3941,Task6CM,ba88bf04
7,867,Task6CM,ba88bf04
8,1009,Task6CM,ba88bf04
6,234,Task6CM,ba88bf04
8,2157,Task6CM,ba88bf04
6,359,Task6CM,ba88bf04
8,635,Task6CM,ba88bf04
6,616,Task6CM,ba88bf04
8,15,Task6CM,ba88bf04
9,2547,Task6CM,ba88bf04
6,362,Task6CM,ba88bf04
8,633,Task6CM,ba88bf04
13,1695,Task6CM,ba88bf04
14,402,Task6CM,ba88bf04
13,1287,Task6CM,ba88bf04
6,232,Task6CM,ba88bf04
19,727,Task6CM,ba88bf04
18,600,Task6CM,ba88bf04
19,278,Task6CM,ba88bf04
18,0,Task6CM,ba88bf04
19,495,Task6CM,ba88bf04
8,3203,Task6CM,ba88bf04
13,0,Task6CM,ba88bf04
19,603,Task6CM,ba88bf04
20,45,Task6CM,ba88bf04
19,399,Task6CM,ba88bf04
8,1578,Task6CM,ba88bf04
9,308,Task6CM,ba88bf04
17,0,Task6CM,ba88bf04
19,640,Task6CM,ba88bf04
7,216,Task6CM,ba88bf04
3,1244,Task6CM,ba88bf04
9,0,Task6CM,ba88bf04
3,588,Task6CM,ba88bf04
6,587,Task6CM,ba88bf04
8,414,Task6CM,ba88bf04
18,413,Task6CM,ba88bf04
20,525,Task6CM,ba88bf04
18,122,Task6CM,ba88bf04
19,0,Task6CM,ba88bf04
18,186,Task6CM,ba88bf04
19,606,Task6CM,ba88bf04
13,0,Task6CM,ba88bf04
9,850,Task6CM,ba88bf04
8,188,Task6CM,ba88bf04
19,511,Task6CM,ba88bf04
17,0,Task6CM,ba88bf04
8,370,Task6CM,ba88bf04
6,893,Task6CM,ba88bf04
8,1405,Task6CM,ba88bf04
9,621,Task6CM,ba88bf04
8,3943,Task6CM,ba88bf04
9,403,Task6CM,ba88bf04
8,3544,Task6CM,ba88bf04
19,3354,Task6CM,ba88bf04
9,293,Task6CM,ba88bf04
8,2274,Task6CM,ba88bf04
9,570,Task6CM,ba88bf04
14,779,Task6CM,ba88bf04
9,491,Task6CM,ba88bf04
8,187,Task6CM,ba88bf04
7,296,Task6CM,ba88bf04
8,289,Task6CM,ba88bf04
7,0,Task6CM,ba88bf04
6,125,Task6CM,ba88bf04
4,696,Task6CM,ba88bf04
3,61,Task6CM,ba88bf04
7,0,Task6CM,ba88bf04
4,15,Task6CM,ba88bf04
3,605,Task6CM,ba88bf04
6,188,Task6CM,ba88bf04
7,502,Task6CM,ba88bf04
13,1629,Task6CM,ba88bf04
8,570,Task6CM,ba88bf04
6,1045,Task6CM,ba88bf04
8,352,Task6CM,ba88bf04
13,989,Task6CM,ba88bf04
15,14,Task6CM,ba88bf04
13,2843,Task6CM,ba88bf04
14,419,Task6CM,ba88bf04
13,468,Task6CM,ba88bf04
5,1526,Task6CM,ba88bf04
13,1901,Task6CM,ba88bf04
14,449,Task6CM,ba88bf04
13,494,Task6CM,ba88bf04
15,280,Task6CM,ba88bf04
17,0,Task6CM,ba88bf04
19,603,Task6CM,ba88bf04
