AOIName,FixationDuration,Stimulus,Participant
0,0,Task5CP,cb039d67
3,232,Task5CP,cb039d67
9,726,Task5CP,cb039d67
10,76,Task5CP,cb039d67
11,185,Task5CP,cb039d67
0,123,Task5CP,cb039d67
25,947,Task5CP,cb039d67
27,263,Task5CP,cb039d67
26,139,Task5CP,cb039d67
11,0,Task5CP,cb039d67
1,289,Task5CP,cb039d67
2,150,Task5CP,cb039d67
0,652,Task5CP,cb039d67
2,773,Task5CP,cb039d67
0,371,Task5CP,cb039d67
4,1213,Task5CP,cb039d67
3,312,Task5CP,cb039d67
1,261,Task5CP,cb039d67
4,218,Task5CP,cb039d67
6,1611,Task5CP,cb039d67
10,20,Task5CP,cb039d67
5,92,Task5CP,cb039d67
3,0,Task5CP,cb039d67
5,200,Task5CP,cb039d67
8,1155,Task5CP,cb039d67
5,324,Task5CP,cb039d67
7,785,Task5CP,cb039d67
5,757,Task5CP,cb039d67
1,308,Task5CP,cb039d67
10,1512,Task5CP,cb039d67
12,157,Task5CP,cb039d67
14,208,Task5CP,cb039d67
11,184,Task5CP,cb039d67
17,604,Task5CP,cb039d67
19,64,Task5CP,cb039d67
15,185,Task5CP,cb039d67
13,707,Task5CP,cb039d67
11,416,Task5CP,cb039d67
13,415,Task5CP,cb039d67
17,1091,Task5CP,cb039d67
25,2117,Task5CP,cb039d67
26,334,Task5CP,cb039d67
13,0,Task5CP,cb039d67
1,448,Task5CP,cb039d67
0,156,Task5CP,cb039d67
3,261,Task5CP,cb039d67
1,203,Task5CP,cb039d67
4,710,Task5CP,cb039d67
2,92,Task5CP,cb039d67
4,370,Task5CP,cb039d67
3,107,Task5CP,cb039d67
5,294,Task5CP,cb039d67
2,200,Task5CP,cb039d67
4,184,Task5CP,cb039d67
5,447,Task5CP,cb039d67
3,280,Task5CP,cb039d67
4,0,Task5CP,cb039d67
2,78,Task5CP,cb039d67
3,636,Task5CP,cb039d67
5,210,Task5CP,cb039d67
6,1906,Task5CP,cb039d67
5,108,Task5CP,cb039d67
7,992,Task5CP,cb039d67
9,555,Task5CP,cb039d67
8,276,Task5CP,cb039d67
10,464,Task5CP,cb039d67
12,0,Task5CP,cb039d67
14,170,Task5CP,cb039d67
11,31,Task5CP,cb039d67
9,417,Task5CP,cb039d67
11,117,Task5CP,cb039d67
12,43,Task5CP,cb039d67
10,30,Task5CP,cb039d67
12,234,Task5CP,cb039d67
11,881,Task5CP,cb039d67
1,789,Task5CP,cb039d67
3,308,Task5CP,cb039d67
4,294,Task5CP,cb039d67
6,130,Task5CP,cb039d67
4,201,Task5CP,cb039d67
6,16,Task5CP,cb039d67
3,0,Task5CP,cb039d67
1,292,Task5CP,cb039d67
3,540,Task5CP,cb039d67
0,265,Task5CP,cb039d67
25,674,Task5CP,cb039d67
11,575,Task5CP,cb039d67
25,4443,Task5CP,cb039d67
26,15,Task5CP,cb039d67
27,0,Task5CP,cb039d67
26,261,Task5CP,cb039d67
9,357,Task5CP,cb039d67
13,46,Task5CP,cb039d67
16,38,Task5CP,cb039d67
21,169,Task5CP,cb039d67
20,278,Task5CP,cb039d67
22,0,Task5CP,cb039d67
19,0,Task5CP,cb039d67
1,544,Task5CP,cb039d67
0,139,Task5CP,cb039d67
3,650,Task5CP,cb039d67
5,50,Task5CP,cb039d67
3,449,Task5CP,cb039d67
1,22,Task5CP,cb039d67
3,398,Task5CP,cb039d67
4,684,Task5CP,cb039d67
2,61,Task5CP,cb039d67
4,76,Task5CP,cb039d67
2,50,Task5CP,cb039d67
0,31,Task5CP,cb039d67
3,649,Task5CP,cb039d67
6,1460,Task5CP,cb039d67
5,497,Task5CP,cb039d67
8,32,Task5CP,cb039d67
6,259,Task5CP,cb039d67
8,720,Task5CP,cb039d67
6,154,Task5CP,cb039d67
8,432,Task5CP,cb039d67
5,305,Task5CP,cb039d67
7,1100,Task5CP,cb039d67
9,539,Task5CP,cb039d67
5,571,Task5CP,cb039d67
9,833,Task5CP,cb039d67
10,463,Task5CP,cb039d67
8,139,Task5CP,cb039d67
9,1617,Task5CP,cb039d67
11,34,Task5CP,cb039d67
9,23,Task5CP,cb039d67
11,724,Task5CP,cb039d67
9,361,Task5CP,cb039d67
11,412,Task5CP,cb039d67
9,265,Task5CP,cb039d67
12,417,Task5CP,cb039d67
10,155,Task5CP,cb039d67
12,253,Task5CP,cb039d67
8,309,Task5CP,cb039d67
10,155,Task5CP,cb039d67
9,589,Task5CP,cb039d67
5,631,Task5CP,cb039d67
25,751,Task5CP,cb039d67
13,1053,Task5CP,cb039d67
17,681,Task5CP,cb039d67
11,172,Task5CP,cb039d67
9,30,Task5CP,cb039d67
12,186,Task5CP,cb039d67
14,278,Task5CP,cb039d67
12,1173,Task5CP,cb039d67
13,15,Task5CP,cb039d67
9,200,Task5CP,cb039d67
11,69,Task5CP,cb039d67
9,384,Task5CP,cb039d67
12,372,Task5CP,cb039d67
10,295,Task5CP,cb039d67
12,0,Task5CP,cb039d67
11,30,Task5CP,cb039d67
13,153,Task5CP,cb039d67
11,573,Task5CP,cb039d67
9,680,Task5CP,cb039d67
8,324,Task5CP,cb039d67
7,238,Task5CP,cb039d67
10,517,Task5CP,cb039d67
16,0,Task5CP,cb039d67
11,155,Task5CP,cb039d67
13,0,Task5CP,cb039d67
9,248,Task5CP,cb039d67
10,0,Task5CP,cb039d67
11,46,Task5CP,cb039d67
12,232,Task5CP,cb039d67
10,399,Task5CP,cb039d67
12,292,Task5CP,cb039d67
11,356,Task5CP,cb039d67
22,217,Task5CP,cb039d67
25,1108,Task5CP,cb039d67
11,122,Task5CP,cb039d67
7,139,Task5CP,cb039d67
5,423,Task5CP,cb039d67
25,4676,Task5CP,cb039d67
5,16,Task5CP,cb039d67
7,354,Task5CP,cb039d67
9,870,Task5CP,cb039d67
7,420,Task5CP,cb039d67
25,2708,Task5CP,cb039d67
26,896,Task5CP,cb039d67
27,0,Task5CP,cb039d67
26,14,Task5CP,cb039d67
25,1945,Task5CP,cb039d67
15,208,Task5CP,cb039d67
20,110,Task5CP,cb039d67
27,16,Task5CP,cb039d67
25,1139,Task5CP,cb039d67
13,231,Task5CP,cb039d67
7,0,Task5CP,cb039d67
5,155,Task5CP,cb039d67
7,215,Task5CP,cb039d67
8,293,Task5CP,cb039d67
6,202,Task5CP,cb039d67
2,232,Task5CP,cb039d67
10,365,Task5CP,cb039d67
11,310,Task5CP,cb039d67
9,198,Task5CP,cb039d67
7,203,Task5CP,cb039d67
13,0,Task5CP,cb039d67
20,0,Task5CP,cb039d67
18,56,Task5CP,cb039d67
13,483,Task5CP,cb039d67
9,453,Task5CP,cb039d67
22,46,Task5CP,cb039d67
1,311,Task5CP,cb039d67
3,231,Task5CP,cb039d67
5,46,Task5CP,cb039d67
3,593,Task5CP,cb039d67
1,354,Task5CP,cb039d67
3,0,Task5CP,cb039d67
1,444,Task5CP,cb039d67
3,183,Task5CP,cb039d67
9,200,Task5CP,cb039d67
3,340,Task5CP,cb039d67
1,509,Task5CP,cb039d67
0,172,Task5CP,cb039d67
5,293,Task5CP,cb039d67
4,795,Task5CP,cb039d67
6,0,Task5CP,cb039d67
8,214,Task5CP,cb039d67
6,1810,Task5CP,cb039d67
7,279,Task5CP,cb039d67
3,216,Task5CP,cb039d67
8,142,Task5CP,cb039d67
6,294,Task5CP,cb039d67
8,326,Task5CP,cb039d67
4,30,Task5CP,cb039d67
6,884,Task5CP,cb039d67
9,93,Task5CP,cb039d67
7,47,Task5CP,cb039d67
5,47,Task5CP,cb039d67
3,138,Task5CP,cb039d67
1,0,Task5CP,cb039d67
9,0,Task5CP,cb039d67
11,322,Task5CP,cb039d67
5,996,Task5CP,cb039d67
3,619,Task5CP,cb039d67
5,1278,Task5CP,cb039d67
9,476,Task5CP,cb039d67
7,665,Task5CP,cb039d67
9,15,Task5CP,cb039d67
5,262,Task5CP,cb039d67
8,1130,Task5CP,cb039d67
5,743,Task5CP,cb039d67
7,46,Task5CP,cb039d67
9,79,Task5CP,cb039d67
25,262,Task5CP,cb039d67
7,340,Task5CP,cb039d67
9,897,Task5CP,cb039d67
7,494,Task5CP,cb039d67
10,450,Task5CP,cb039d67
22,0,Task5CP,cb039d67
25,139,Task5CP,cb039d67
22,0,Task5CP,cb039d67
11,861,Task5CP,cb039d67
9,478,Task5CP,cb039d67
7,470,Task5CP,cb039d67
11,262,Task5CP,cb039d67
9,1017,Task5CP,cb039d67
11,1064,Task5CP,cb039d67
9,335,Task5CP,cb039d67
11,1154,Task5CP,cb039d67
25,2841,Task5CP,cb039d67
13,76,Task5CP,cb039d67
11,256,Task5CP,cb039d67
9,34,Task5CP,cb039d67
7,1251,Task5CP,cb039d67
25,6453,Task5CP,cb039d67
13,1012,Task5CP,cb039d67
17,902,Task5CP,cb039d67
19,16,Task5CP,cb039d67
17,267,Task5CP,cb039d67
19,153,Task5CP,cb039d67
17,30,Task5CP,cb039d67
19,0,Task5CP,cb039d67
11,447,Task5CP,cb039d67
12,1589,Task5CP,cb039d67
17,0,Task5CP,cb039d67
12,2274,Task5CP,cb039d67
19,0,Task5CP,cb039d67
12,2491,Task5CP,cb039d67
26,15,Task5CP,cb039d67
25,16,Task5CP,cb039d67
27,118,Task5CP,cb039d67
26,527,Task5CP,cb039d67
15,101,Task5CP,cb039d67
9,229,Task5CP,cb039d67
7,225,Task5CP,cb039d67
9,1050,Task5CP,cb039d67
7,93,Task5CP,cb039d67
5,0,Task5CP,cb039d67
10,557,Task5CP,cb039d67
8,363,Task5CP,cb039d67
10,1077,Task5CP,cb039d67
12,0,Task5CP,cb039d67
10,139,Task5CP,cb039d67
9,1404,Task5CP,cb039d67
11,1513,Task5CP,cb039d67
16,46,Task5CP,cb039d67
25,140,Task5CP,cb039d67
13,1556,Task5CP,cb039d67
14,0,Task5CP,cb039d67
25,473,Task5CP,cb039d67
7,417,Task5CP,cb039d67
11,95,Task5CP,cb039d67
9,700,Task5CP,cb039d67
27,0,Task5CP,cb039d67
25,448,Task5CP,cb039d67
26,51,Task5CP,cb039d67
25,2772,Task5CP,cb039d67
27,122,Task5CP,cb039d67
26,47,Task5CP,cb039d67
