AOIName,FixationDuration,Stimulus,Participant
7,15,Task9CM,cb039d67
5,61,Task9CM,cb039d67
4,308,Task9CM,cb039d67
1,528,Task9CM,cb039d67
11,0,Task9CM,cb039d67
13,756,Task9CM,cb039d67
3,1160,Task9CM,cb039d67
1,677,Task9CM,cb039d67
2,173,Task9CM,cb039d67
13,2571,Task9CM,cb039d67
7,123,Task9CM,cb039d67
9,218,Task9CM,cb039d67
15,711,Task9CM,cb039d67
14,662,Task9CM,cb039d67
13,4403,Task9CM,cb039d67
14,214,Task9CM,cb039d67
13,1186,Task9CM,cb039d67
14,25,Task9CM,cb039d67
13,571,Task9CM,cb039d67
16,0,Task9CM,cb039d67
14,76,Task9CM,cb039d67
3,0,Task9CM,cb039d67
0,4275,Task9CM,cb039d67
1,384,Task9CM,cb039d67
4,215,Task9CM,cb039d67
5,836,Task9CM,cb039d67
7,0,Task9CM,cb039d67
9,204,Task9CM,cb039d67
6,650,Task9CM,cb039d67
3,73,Task9CM,cb039d67
0,1036,Task9CM,cb039d67
2,0,Task9CM,cb039d67
0,154,Task9CM,cb039d67
1,28,Task9CM,cb039d67
0,91,Task9CM,cb039d67
1,326,Task9CM,cb039d67
0,616,Task9CM,cb039d67
3,385,Task9CM,cb039d67
2,138,Task9CM,cb039d67
1,0,Task9CM,cb039d67
0,946,Task9CM,cb039d67
11,201,Task9CM,cb039d67
13,94,Task9CM,cb039d67
0,1244,Task9CM,cb039d67
3,217,Task9CM,cb039d67
4,618,Task9CM,cb039d67
2,0,Task9CM,cb039d67
0,3581,Task9CM,cb039d67
1,201,Task9CM,cb039d67
11,0,Task9CM,cb039d67
13,761,Task9CM,cb039d67
14,78,Task9CM,cb039d67
13,291,Task9CM,cb039d67
14,310,Task9CM,cb039d67
13,488,Task9CM,cb039d67
0,1584,Task9CM,cb039d67
13,1105,Task9CM,cb039d67
14,0,Task9CM,cb039d67
13,961,Task9CM,cb039d67
0,2568,Task9CM,cb039d67
1,556,Task9CM,cb039d67
0,3323,Task9CM,cb039d67
13,225,Task9CM,cb039d67
6,0,Task9CM,cb039d67
2,122,Task9CM,cb039d67
4,15,Task9CM,cb039d67
13,105,Task9CM,cb039d67
2,168,Task9CM,cb039d67
1,127,Task9CM,cb039d67
0,237,Task9CM,cb039d67
1,1175,Task9CM,cb039d67
2,1416,Task9CM,cb039d67
3,4705,Task9CM,cb039d67
4,224,Task9CM,cb039d67
5,149,Task9CM,cb039d67
3,246,Task9CM,cb039d67
2,1027,Task9CM,cb039d67
3,539,Task9CM,cb039d67
2,349,Task9CM,cb039d67
0,295,Task9CM,cb039d67
3,2072,Task9CM,cb039d67
0,660,Task9CM,cb039d67
2,416,Task9CM,cb039d67
4,631,Task9CM,cb039d67
5,125,Task9CM,cb039d67
6,0,Task9CM,cb039d67
5,773,Task9CM,cb039d67
4,77,Task9CM,cb039d67
5,450,Task9CM,cb039d67
4,115,Task9CM,cb039d67
6,155,Task9CM,cb039d67
5,294,Task9CM,cb039d67
6,357,Task9CM,cb039d67
8,30,Task9CM,cb039d67
5,185,Task9CM,cb039d67
9,265,Task9CM,cb039d67
6,2363,Task9CM,cb039d67
5,307,Task9CM,cb039d67
6,916,Task9CM,cb039d67
5,78,Task9CM,cb039d67
6,2284,Task9CM,cb039d67
5,508,Task9CM,cb039d67
3,137,Task9CM,cb039d67
4,203,Task9CM,cb039d67
6,48,Task9CM,cb039d67
5,155,Task9CM,cb039d67
6,654,Task9CM,cb039d67
0,706,Task9CM,cb039d67
6,276,Task9CM,cb039d67
9,556,Task9CM,cb039d67
