AOIName,FixationDuration,Stimulus,Participant
5,0,Task1CM,dac593bd
3,215,Task1CM,dac593bd
5,310,Task1CM,dac593bd
13,403,Task1CM,dac593bd
4,0,Task1CM,dac593bd
1,492,Task1CM,dac593bd
2,323,Task1CM,dac593bd
0,184,Task1CM,dac593bd
2,1063,Task1CM,dac593bd
4,1252,Task1CM,dac593bd
6,139,Task1CM,dac593bd
8,42,Task1CM,dac593bd
13,494,Task1CM,dac593bd
0,1664,Task1CM,dac593bd
1,1064,Task1CM,dac593bd
0,0,Task1CM,dac593bd
1,2547,Task1CM,dac593bd
2,5122,Task1CM,dac593bd
3,20,Task1CM,dac593bd
2,2678,Task1CM,dac593bd
3,1286,Task1CM,dac593bd
4,1306,Task1CM,dac593bd
5,774,Task1CM,dac593bd
3,1057,Task1CM,dac593bd
2,323,Task1CM,dac593bd
14,201,Task1CM,dac593bd
3,1924,Task1CM,dac593bd
2,893,Task1CM,dac593bd
1,710,Task1CM,dac593bd
8,0,Task1CM,dac593bd
13,31,Task1CM,dac593bd
6,0,Task1CM,dac593bd
2,906,Task1CM,dac593bd
3,940,Task1CM,dac593bd
15,31,Task1CM,dac593bd
13,0,Task1CM,dac593bd
3,430,Task1CM,dac593bd
5,2068,Task1CM,dac593bd
8,28,Task1CM,dac593bd
4,1048,Task1CM,dac593bd
2,954,Task1CM,dac593bd
3,2426,Task1CM,dac593bd
5,1509,Task1CM,dac593bd
8,370,Task1CM,dac593bd
9,140,Task1CM,dac593bd
7,552,Task1CM,dac593bd
5,0,Task1CM,dac593bd
4,383,Task1CM,dac593bd
0,274,Task1CM,dac593bd
1,691,Task1CM,dac593bd
0,568,Task1CM,dac593bd
13,15,Task1CM,dac593bd
7,124,Task1CM,dac593bd
3,348,Task1CM,dac593bd
13,79,Task1CM,dac593bd
8,0,Task1CM,dac593bd
6,15,Task1CM,dac593bd
5,1540,Task1CM,dac593bd
13,48,Task1CM,dac593bd
3,523,Task1CM,dac593bd
2,783,Task1CM,dac593bd
3,446,Task1CM,dac593bd
4,262,Task1CM,dac593bd
3,338,Task1CM,dac593bd
13,47,Task1CM,dac593bd
3,118,Task1CM,dac593bd
2,0,Task1CM,dac593bd
1,614,Task1CM,dac593bd
0,1077,Task1CM,dac593bd
2,139,Task1CM,dac593bd
0,3625,Task1CM,dac593bd
8,16,Task1CM,dac593bd
2,62,Task1CM,dac593bd
5,63,Task1CM,dac593bd
1,1718,Task1CM,dac593bd
2,568,Task1CM,dac593bd
3,218,Task1CM,dac593bd
2,630,Task1CM,dac593bd
3,752,Task1CM,dac593bd
5,961,Task1CM,dac593bd
8,0,Task1CM,dac593bd
14,0,Task1CM,dac593bd
7,0,Task1CM,dac593bd
6,0,Task1CM,dac593bd
8,30,Task1CM,dac593bd
2,682,Task1CM,dac593bd
4,77,Task1CM,dac593bd
3,108,Task1CM,dac593bd
5,0,Task1CM,dac593bd
3,1370,Task1CM,dac593bd
5,1276,Task1CM,dac593bd
3,1614,Task1CM,dac593bd
5,460,Task1CM,dac593bd
2,741,Task1CM,dac593bd
3,216,Task1CM,dac593bd
2,321,Task1CM,dac593bd
3,545,Task1CM,dac593bd
2,771,Task1CM,dac593bd
3,44,Task1CM,dac593bd
8,0,Task1CM,dac593bd
6,0,Task1CM,dac593bd
3,431,Task1CM,dac593bd
2,247,Task1CM,dac593bd
1,307,Task1CM,dac593bd
6,602,Task1CM,dac593bd
8,155,Task1CM,dac593bd
7,15,Task1CM,dac593bd
4,738,Task1CM,dac593bd
3,45,Task1CM,dac593bd
1,507,Task1CM,dac593bd
0,601,Task1CM,dac593bd
1,446,Task1CM,dac593bd
14,0,Task1CM,dac593bd
0,0,Task1CM,dac593bd
1,599,Task1CM,dac593bd
7,0,Task1CM,dac593bd
4,0,Task1CM,dac593bd
3,0,Task1CM,dac593bd
0,0,Task1CM,dac593bd
2,2085,Task1CM,dac593bd
1,861,Task1CM,dac593bd
0,784,Task1CM,dac593bd
1,0,Task1CM,dac593bd
5,323,Task1CM,dac593bd
3,307,Task1CM,dac593bd
2,1605,Task1CM,dac593bd
3,645,Task1CM,dac593bd
5,721,Task1CM,dac593bd
8,417,Task1CM,dac593bd
16,0,Task1CM,dac593bd
