AOIName,FixationDuration,Stimulus,Participant
10,217,Task9CP,dac593bd
6,122,Task9CP,dac593bd
10,0,Task9CP,dac593bd
9,170,Task9CP,dac593bd
7,155,Task9CP,dac593bd
3,0,Task9CP,dac593bd
1,0,Task9CP,dac593bd
0,983,Task9CP,dac593bd
2,265,Task9CP,dac593bd
0,32,Task9CP,dac593bd
4,401,Task9CP,dac593bd
2,494,Task9CP,dac593bd
4,1210,Task9CP,dac593bd
6,94,Task9CP,dac593bd
5,214,Task9CP,dac593bd
10,0,Task9CP,dac593bd
9,168,Task9CP,dac593bd
7,449,Task9CP,dac593bd
16,0,Task9CP,dac593bd
13,169,Task9CP,dac593bd
16,0,Task9CP,dac593bd
19,2582,Task9CP,dac593bd
20,400,Task9CP,dac593bd
19,0,Task9CP,dac593bd
20,0,Task9CP,dac593bd
19,88,Task9CP,dac593bd
20,0,Task9CP,dac593bd
19,479,Task9CP,dac593bd
20,200,Task9CP,dac593bd
0,203,Task9CP,dac593bd
1,153,Task9CP,dac593bd
16,107,Task9CP,dac593bd
19,387,Task9CP,dac593bd
0,5172,Task9CP,dac593bd
1,155,Task9CP,dac593bd
3,47,Task9CP,dac593bd
1,4722,Task9CP,dac593bd
3,663,Task9CP,dac593bd
2,241,Task9CP,dac593bd
4,432,Task9CP,dac593bd
2,0,Task9CP,dac593bd
4,660,Task9CP,dac593bd
1,31,Task9CP,dac593bd
3,348,Task9CP,dac593bd
4,45,Task9CP,dac593bd
3,277,Task9CP,dac593bd
1,690,Task9CP,dac593bd
0,129,Task9CP,dac593bd
1,311,Task9CP,dac593bd
4,490,Task9CP,dac593bd
5,938,Task9CP,dac593bd
3,858,Task9CP,dac593bd
4,1081,Task9CP,dac593bd
2,140,Task9CP,dac593bd
5,510,Task9CP,dac593bd
7,140,Task9CP,dac593bd
8,92,Task9CP,dac593bd
11,0,Task9CP,dac593bd
7,882,Task9CP,dac593bd
9,692,Task9CP,dac593bd
6,262,Task9CP,dac593bd
10,16,Task9CP,dac593bd
8,46,Task9CP,dac593bd
11,30,Task9CP,dac593bd
7,0,Task9CP,dac593bd
9,618,Task9CP,dac593bd
8,198,Task9CP,dac593bd
14,555,Task9CP,dac593bd
20,353,Task9CP,dac593bd
13,138,Task9CP,dac593bd
14,631,Task9CP,dac593bd
19,600,Task9CP,dac593bd
17,94,Task9CP,dac593bd
1,47,Task9CP,dac593bd
0,972,Task9CP,dac593bd
3,643,Task9CP,dac593bd
1,0,Task9CP,dac593bd
0,2190,Task9CP,dac593bd
1,7045,Task9CP,dac593bd
3,2645,Task9CP,dac593bd
1,3221,Task9CP,dac593bd
2,414,Task9CP,dac593bd
4,79,Task9CP,dac593bd
1,1226,Task9CP,dac593bd
6,140,Task9CP,dac593bd
1,2345,Task9CP,dac593bd
0,784,Task9CP,dac593bd
1,2506,Task9CP,dac593bd
3,2370,Task9CP,dac593bd
4,326,Task9CP,dac593bd
2,0,Task9CP,dac593bd
4,942,Task9CP,dac593bd
5,153,Task9CP,dac593bd
3,1447,Task9CP,dac593bd
5,619,Task9CP,dac593bd
4,62,Task9CP,dac593bd
5,663,Task9CP,dac593bd
6,1727,Task9CP,dac593bd
5,429,Task9CP,dac593bd
4,216,Task9CP,dac593bd
7,744,Task9CP,dac593bd
6,372,Task9CP,dac593bd
8,92,Task9CP,dac593bd
6,340,Task9CP,dac593bd
8,405,Task9CP,dac593bd
9,924,Task9CP,dac593bd
8,94,Task9CP,dac593bd
14,250,Task9CP,dac593bd
9,48,Task9CP,dac593bd
12,30,Task9CP,dac593bd
10,0,Task9CP,dac593bd
19,185,Task9CP,dac593bd
5,231,Task9CP,dac593bd
9,186,Task9CP,dac593bd
7,152,Task9CP,dac593bd
6,168,Task9CP,dac593bd
3,76,Task9CP,dac593bd
1,307,Task9CP,dac593bd
3,0,Task9CP,dac593bd
4,154,Task9CP,dac593bd
1,122,Task9CP,dac593bd
3,678,Task9CP,dac593bd
5,0,Task9CP,dac593bd
0,45,Task9CP,dac593bd
1,59,Task9CP,dac593bd
0,4960,Task9CP,dac593bd
1,2945,Task9CP,dac593bd
3,5807,Task9CP,dac593bd
5,3231,Task9CP,dac593bd
6,675,Task9CP,dac593bd
5,589,Task9CP,dac593bd
3,138,Task9CP,dac593bd
4,226,Task9CP,dac593bd
0,315,Task9CP,dac593bd
1,553,Task9CP,dac593bd
3,1766,Task9CP,dac593bd
6,881,Task9CP,dac593bd
8,696,Task9CP,dac593bd
6,1666,Task9CP,dac593bd
5,803,Task9CP,dac593bd
7,681,Task9CP,dac593bd
9,247,Task9CP,dac593bd
7,184,Task9CP,dac593bd
9,186,Task9CP,dac593bd
7,309,Task9CP,dac593bd
4,1029,Task9CP,dac593bd
7,62,Task9CP,dac593bd
3,201,Task9CP,dac593bd
5,1158,Task9CP,dac593bd
16,63,Task9CP,dac593bd
19,1976,Task9CP,dac593bd
8,569,Task9CP,dac593bd
14,845,Task9CP,dac593bd
13,894,Task9CP,dac593bd
8,679,Task9CP,dac593bd
6,123,Task9CP,dac593bd
8,1216,Task9CP,dac593bd
6,414,Task9CP,dac593bd
1,0,Task9CP,dac593bd
6,216,Task9CP,dac593bd
7,199,Task9CP,dac593bd
5,155,Task9CP,dac593bd
