AOIName,FixationDuration,Stimulus,Participant
16,319,Task5CP,dfab1ede
13,0,Task5CP,dfab1ede
22,416,Task5CP,dfab1ede
0,454,Task5CP,dfab1ede
7,16,Task5CP,dfab1ede
9,0,Task5CP,dfab1ede
26,47,Task5CP,dfab1ede
1,155,Task5CP,dfab1ede
3,86,Task5CP,dfab1ede
0,0,Task5CP,dfab1ede
2,78,Task5CP,dfab1ede
0,31,Task5CP,dfab1ede
25,925,Task5CP,dfab1ede
26,184,Task5CP,dfab1ede
25,1002,Task5CP,dfab1ede
26,451,Task5CP,dfab1ede
25,122,Task5CP,dfab1ede
26,599,Task5CP,dfab1ede
0,491,Task5CP,dfab1ede
1,851,Task5CP,dfab1ede
22,0,Task5CP,dfab1ede
29,0,Task5CP,dfab1ede
3,123,Task5CP,dfab1ede
0,476,Task5CP,dfab1ede
25,218,Task5CP,dfab1ede
0,1198,Task5CP,dfab1ede
1,1622,Task5CP,dfab1ede
4,107,Task5CP,dfab1ede
2,1488,Task5CP,dfab1ede
0,1203,Task5CP,dfab1ede
2,3131,Task5CP,dfab1ede
1,92,Task5CP,dfab1ede
2,356,Task5CP,dfab1ede
1,539,Task5CP,dfab1ede
2,369,Task5CP,dfab1ede
1,462,Task5CP,dfab1ede
2,229,Task5CP,dfab1ede
1,4187,Task5CP,dfab1ede
3,783,Task5CP,dfab1ede
1,1845,Task5CP,dfab1ede
0,180,Task5CP,dfab1ede
1,1263,Task5CP,dfab1ede
0,691,Task5CP,dfab1ede
4,123,Task5CP,dfab1ede
3,7753,Task5CP,dfab1ede
5,772,Task5CP,dfab1ede
1,319,Task5CP,dfab1ede
5,692,Task5CP,dfab1ede
11,713,Task5CP,dfab1ede
15,0,Task5CP,dfab1ede
20,1749,Task5CP,dfab1ede
25,124,Task5CP,dfab1ede
7,62,Task5CP,dfab1ede
1,1357,Task5CP,dfab1ede
7,169,Task5CP,dfab1ede
1,1090,Task5CP,dfab1ede
13,93,Task5CP,dfab1ede
3,768,Task5CP,dfab1ede
1,0,Task5CP,dfab1ede
3,82,Task5CP,dfab1ede
0,476,Task5CP,dfab1ede
1,170,Task5CP,dfab1ede
0,1802,Task5CP,dfab1ede
1,107,Task5CP,dfab1ede
0,1813,Task5CP,dfab1ede
1,71,Task5CP,dfab1ede
0,198,Task5CP,dfab1ede
1,1353,Task5CP,dfab1ede
3,0,Task5CP,dfab1ede
1,364,Task5CP,dfab1ede
8,0,Task5CP,dfab1ede
5,76,Task5CP,dfab1ede
2,125,Task5CP,dfab1ede
22,86,Task5CP,dfab1ede
1,154,Task5CP,dfab1ede
0,194,Task5CP,dfab1ede
26,0,Task5CP,dfab1ede
29,0,Task5CP,dfab1ede
22,62,Task5CP,dfab1ede
26,38,Task5CP,dfab1ede
16,0,Task5CP,dfab1ede
22,45,Task5CP,dfab1ede
12,0,Task5CP,dfab1ede
6,0,Task5CP,dfab1ede
0,153,Task5CP,dfab1ede
1,862,Task5CP,dfab1ede
3,1523,Task5CP,dfab1ede
7,0,Task5CP,dfab1ede
3,1324,Task5CP,dfab1ede
1,721,Task5CP,dfab1ede
0,317,Task5CP,dfab1ede
1,1635,Task5CP,dfab1ede
3,292,Task5CP,dfab1ede
0,173,Task5CP,dfab1ede
3,4486,Task5CP,dfab1ede
1,760,Task5CP,dfab1ede
5,725,Task5CP,dfab1ede
3,716,Task5CP,dfab1ede
5,1483,Task5CP,dfab1ede
0,3256,Task5CP,dfab1ede
3,60,Task5CP,dfab1ede
0,753,Task5CP,dfab1ede
3,196,Task5CP,dfab1ede
1,984,Task5CP,dfab1ede
3,0,Task5CP,dfab1ede
0,937,Task5CP,dfab1ede
3,717,Task5CP,dfab1ede
26,30,Task5CP,dfab1ede
16,21,Task5CP,dfab1ede
11,170,Task5CP,dfab1ede
3,451,Task5CP,dfab1ede
13,230,Task5CP,dfab1ede
9,587,Task5CP,dfab1ede
5,247,Task5CP,dfab1ede
11,155,Task5CP,dfab1ede
13,173,Task5CP,dfab1ede
3,0,Task5CP,dfab1ede
1,954,Task5CP,dfab1ede
3,1327,Task5CP,dfab1ede
5,6268,Task5CP,dfab1ede
3,46,Task5CP,dfab1ede
5,4245,Task5CP,dfab1ede
7,1258,Task5CP,dfab1ede
11,0,Task5CP,dfab1ede
9,31,Task5CP,dfab1ede
7,2317,Task5CP,dfab1ede
8,336,Task5CP,dfab1ede
7,1214,Task5CP,dfab1ede
3,124,Task5CP,dfab1ede
1,1083,Task5CP,dfab1ede
7,0,Task5CP,dfab1ede
1,881,Task5CP,dfab1ede
3,780,Task5CP,dfab1ede
1,236,Task5CP,dfab1ede
5,650,Task5CP,dfab1ede
9,865,Task5CP,dfab1ede
8,96,Task5CP,dfab1ede
7,912,Task5CP,dfab1ede
9,61,Task5CP,dfab1ede
3,31,Task5CP,dfab1ede
0,678,Task5CP,dfab1ede
1,1053,Task5CP,dfab1ede
0,373,Task5CP,dfab1ede
1,1578,Task5CP,dfab1ede
3,153,Task5CP,dfab1ede
1,1825,Task5CP,dfab1ede
11,102,Task5CP,dfab1ede
5,217,Task5CP,dfab1ede
7,86,Task5CP,dfab1ede
1,124,Task5CP,dfab1ede
0,264,Task5CP,dfab1ede
3,450,Task5CP,dfab1ede
13,108,Task5CP,dfab1ede
3,1020,Task5CP,dfab1ede
1,788,Task5CP,dfab1ede
23,0,Task5CP,dfab1ede
25,47,Task5CP,dfab1ede
26,150,Task5CP,dfab1ede
25,984,Task5CP,dfab1ede
18,1674,Task5CP,dfab1ede
13,30,Task5CP,dfab1ede
9,369,Task5CP,dfab1ede
11,0,Task5CP,dfab1ede
9,109,Task5CP,dfab1ede
13,93,Task5CP,dfab1ede
11,433,Task5CP,dfab1ede
7,431,Task5CP,dfab1ede
5,765,Task5CP,dfab1ede
7,540,Task5CP,dfab1ede
10,340,Task5CP,dfab1ede
13,247,Task5CP,dfab1ede
11,61,Task5CP,dfab1ede
9,4673,Task5CP,dfab1ede
3,203,Task5CP,dfab1ede
5,1253,Task5CP,dfab1ede
9,1065,Task5CP,dfab1ede
11,0,Task5CP,dfab1ede
9,29,Task5CP,dfab1ede
7,41,Task5CP,dfab1ede
9,2376,Task5CP,dfab1ede
5,538,Task5CP,dfab1ede
3,184,Task5CP,dfab1ede
1,472,Task5CP,dfab1ede
3,2390,Task5CP,dfab1ede
5,552,Task5CP,dfab1ede
7,4548,Task5CP,dfab1ede
8,586,Task5CP,dfab1ede
9,974,Task5CP,dfab1ede
11,583,Task5CP,dfab1ede
13,1154,Task5CP,dfab1ede
9,370,Task5CP,dfab1ede
11,493,Task5CP,dfab1ede
14,169,Task5CP,dfab1ede
13,353,Task5CP,dfab1ede
11,0,Task5CP,dfab1ede
8,169,Task5CP,dfab1ede
13,416,Task5CP,dfab1ede
11,217,Task5CP,dfab1ede
7,660,Task5CP,dfab1ede
11,310,Task5CP,dfab1ede
5,693,Task5CP,dfab1ede
16,3114,Task5CP,dfab1ede
11,495,Task5CP,dfab1ede
16,16,Task5CP,dfab1ede
20,402,Task5CP,dfab1ede
18,552,Task5CP,dfab1ede
22,48,Task5CP,dfab1ede
9,93,Task5CP,dfab1ede
11,1171,Task5CP,dfab1ede
7,771,Task5CP,dfab1ede
22,16,Task5CP,dfab1ede
18,123,Task5CP,dfab1ede
20,278,Task5CP,dfab1ede
24,200,Task5CP,dfab1ede
3,47,Task5CP,dfab1ede
0,246,Task5CP,dfab1ede
11,0,Task5CP,dfab1ede
13,616,Task5CP,dfab1ede
11,1108,Task5CP,dfab1ede
8,295,Task5CP,dfab1ede
10,155,Task5CP,dfab1ede
19,125,Task5CP,dfab1ede
13,171,Task5CP,dfab1ede
