AOIName,FixationDuration,Stimulus,Participant
7,215,Task9CM,dfab1ede
1,139,Task9CM,dfab1ede
0,0,Task9CM,dfab1ede
6,187,Task9CM,dfab1ede
2,0,Task9CM,dfab1ede
1,183,Task9CM,dfab1ede
0,709,Task9CM,dfab1ede
13,61,Task9CM,dfab1ede
11,137,Task9CM,dfab1ede
13,31,Task9CM,dfab1ede
15,169,Task9CM,dfab1ede
12,1288,Task9CM,dfab1ede
13,903,Task9CM,dfab1ede
14,168,Task9CM,dfab1ede
2,108,Task9CM,dfab1ede
1,15,Task9CM,dfab1ede
0,358,Task9CM,dfab1ede
15,61,Task9CM,dfab1ede
13,337,Task9CM,dfab1ede
0,118,Task9CM,dfab1ede
1,200,Task9CM,dfab1ede
0,3561,Task9CM,dfab1ede
11,170,Task9CM,dfab1ede
1,151,Task9CM,dfab1ede
2,0,Task9CM,dfab1ede
0,2755,Task9CM,dfab1ede
1,783,Task9CM,dfab1ede
0,1711,Task9CM,dfab1ede
1,6657,Task9CM,dfab1ede
2,169,Task9CM,dfab1ede
1,877,Task9CM,dfab1ede
2,2150,Task9CM,dfab1ede
3,0,Task9CM,dfab1ede
2,3969,Task9CM,dfab1ede
0,1975,Task9CM,dfab1ede
2,1400,Task9CM,dfab1ede
0,3375,Task9CM,dfab1ede
1,681,Task9CM,dfab1ede
2,1760,Task9CM,dfab1ede
1,310,Task9CM,dfab1ede
2,1799,Task9CM,dfab1ede
1,534,Task9CM,dfab1ede
0,232,Task9CM,dfab1ede
3,798,Task9CM,dfab1ede
2,879,Task9CM,dfab1ede
3,1311,Task9CM,dfab1ede
0,446,Task9CM,dfab1ede
6,122,Task9CM,dfab1ede
8,676,Task9CM,dfab1ede
3,599,Task9CM,dfab1ede
5,0,Task9CM,dfab1ede
3,341,Task9CM,dfab1ede
1,0,Task9CM,dfab1ede
0,135,Task9CM,dfab1ede
3,447,Task9CM,dfab1ede
0,6558,Task9CM,dfab1ede
1,555,Task9CM,dfab1ede
0,992,Task9CM,dfab1ede
11,308,Task9CM,dfab1ede
0,2110,Task9CM,dfab1ede
5,0,Task9CM,dfab1ede
2,0,Task9CM,dfab1ede
3,0,Task9CM,dfab1ede
1,1311,Task9CM,dfab1ede
0,3307,Task9CM,dfab1ede
1,1541,Task9CM,dfab1ede
2,93,Task9CM,dfab1ede
1,691,Task9CM,dfab1ede
0,0,Task9CM,dfab1ede
1,328,Task9CM,dfab1ede
2,1169,Task9CM,dfab1ede
5,507,Task9CM,dfab1ede
9,574,Task9CM,dfab1ede
11,170,Task9CM,dfab1ede
13,432,Task9CM,dfab1ede
14,30,Task9CM,dfab1ede
13,170,Task9CM,dfab1ede
14,245,Task9CM,dfab1ede
13,772,Task9CM,dfab1ede
14,1028,Task9CM,dfab1ede
13,0,Task9CM,dfab1ede
14,200,Task9CM,dfab1ede
13,1338,Task9CM,dfab1ede
14,171,Task9CM,dfab1ede
5,90,Task9CM,dfab1ede
4,0,Task9CM,dfab1ede
3,155,Task9CM,dfab1ede
4,998,Task9CM,dfab1ede
2,671,Task9CM,dfab1ede
13,562,Task9CM,dfab1ede
4,61,Task9CM,dfab1ede
3,215,Task9CM,dfab1ede
6,91,Task9CM,dfab1ede
9,1078,Task9CM,dfab1ede
4,0,Task9CM,dfab1ede
13,31,Task9CM,dfab1ede
1,117,Task9CM,dfab1ede
6,309,Task9CM,dfab1ede
2,153,Task9CM,dfab1ede
8,446,Task9CM,dfab1ede
4,184,Task9CM,dfab1ede
3,615,Task9CM,dfab1ede
1,155,Task9CM,dfab1ede
0,888,Task9CM,dfab1ede
1,307,Task9CM,dfab1ede
4,168,Task9CM,dfab1ede
3,475,Task9CM,dfab1ede
13,140,Task9CM,dfab1ede
14,0,Task9CM,dfab1ede
13,0,Task9CM,dfab1ede
0,105,Task9CM,dfab1ede
1,0,Task9CM,dfab1ede
4,61,Task9CM,dfab1ede
3,381,Task9CM,dfab1ede
2,509,Task9CM,dfab1ede
3,300,Task9CM,dfab1ede
1,1033,Task9CM,dfab1ede
2,588,Task9CM,dfab1ede
1,767,Task9CM,dfab1ede
2,862,Task9CM,dfab1ede
1,169,Task9CM,dfab1ede
0,290,Task9CM,dfab1ede
1,153,Task9CM,dfab1ede
2,1644,Task9CM,dfab1ede
1,2295,Task9CM,dfab1ede
3,589,Task9CM,dfab1ede
2,585,Task9CM,dfab1ede
1,1199,Task9CM,dfab1ede
2,1182,Task9CM,dfab1ede
4,0,Task9CM,dfab1ede
3,1172,Task9CM,dfab1ede
1,478,Task9CM,dfab1ede
3,44,Task9CM,dfab1ede
7,0,Task9CM,dfab1ede
3,2853,Task9CM,dfab1ede
2,354,Task9CM,dfab1ede
1,477,Task9CM,dfab1ede
0,401,Task9CM,dfab1ede
3,2897,Task9CM,dfab1ede
5,217,Task9CM,dfab1ede
3,616,Task9CM,dfab1ede
4,356,Task9CM,dfab1ede
3,123,Task9CM,dfab1ede
1,324,Task9CM,dfab1ede
5,0,Task9CM,dfab1ede
4,1013,Task9CM,dfab1ede
2,677,Task9CM,dfab1ede
3,751,Task9CM,dfab1ede
1,1411,Task9CM,dfab1ede
2,0,Task9CM,dfab1ede
1,691,Task9CM,dfab1ede
5,0,Task9CM,dfab1ede
0,124,Task9CM,dfab1ede
6,0,Task9CM,dfab1ede
0,880,Task9CM,dfab1ede
2,23,Task9CM,dfab1ede
1,216,Task9CM,dfab1ede
6,0,Task9CM,dfab1ede
5,30,Task9CM,dfab1ede
2,334,Task9CM,dfab1ede
1,2481,Task9CM,dfab1ede
0,799,Task9CM,dfab1ede
1,1273,Task9CM,dfab1ede
3,2393,Task9CM,dfab1ede
5,114,Task9CM,dfab1ede
2,1243,Task9CM,dfab1ede
3,261,Task9CM,dfab1ede
7,0,Task9CM,dfab1ede
3,1630,Task9CM,dfab1ede
4,707,Task9CM,dfab1ede
7,0,Task9CM,dfab1ede
3,1860,Task9CM,dfab1ede
4,280,Task9CM,dfab1ede
3,1401,Task9CM,dfab1ede
4,352,Task9CM,dfab1ede
3,155,Task9CM,dfab1ede
4,522,Task9CM,dfab1ede
3,216,Task9CM,dfab1ede
5,2555,Task9CM,dfab1ede
3,290,Task9CM,dfab1ede
5,324,Task9CM,dfab1ede
6,155,Task9CM,dfab1ede
5,397,Task9CM,dfab1ede
6,55,Task9CM,dfab1ede
7,260,Task9CM,dfab1ede
13,337,Task9CM,dfab1ede
6,123,Task9CM,dfab1ede
3,3099,Task9CM,dfab1ede
4,2630,Task9CM,dfab1ede
7,0,Task9CM,dfab1ede
6,31,Task9CM,dfab1ede
2,0,Task9CM,dfab1ede
3,0,Task9CM,dfab1ede
6,156,Task9CM,dfab1ede
13,232,Task9CM,dfab1ede
15,121,Task9CM,dfab1ede
