AOIName,FixationDuration,Stimulus,Participant
7,0,Task5CM,f9ec2bc7
1,108,Task5CM,f9ec2bc7
0,769,Task5CM,f9ec2bc7
1,1407,Task5CM,f9ec2bc7
2,200,Task5CM,f9ec2bc7
1,351,Task5CM,f9ec2bc7
0,16,Task5CM,f9ec2bc7
1,1506,Task5CM,f9ec2bc7
2,399,Task5CM,f9ec2bc7
1,263,Task5CM,f9ec2bc7
2,199,Task5CM,f9ec2bc7
1,356,Task5CM,f9ec2bc7
2,153,Task5CM,f9ec2bc7
0,644,Task5CM,f9ec2bc7
1,301,Task5CM,f9ec2bc7
3,123,Task5CM,f9ec2bc7
2,46,Task5CM,f9ec2bc7
3,295,Task5CM,f9ec2bc7
4,448,Task5CM,f9ec2bc7
2,660,Task5CM,f9ec2bc7
3,62,Task5CM,f9ec2bc7
10,0,Task5CM,f9ec2bc7
13,248,Task5CM,f9ec2bc7
3,154,Task5CM,f9ec2bc7
6,0,Task5CM,f9ec2bc7
15,0,Task5CM,f9ec2bc7
16,293,Task5CM,f9ec2bc7
15,22,Task5CM,f9ec2bc7
3,1095,Task5CM,f9ec2bc7
2,1333,Task5CM,f9ec2bc7
3,383,Task5CM,f9ec2bc7
4,1385,Task5CM,f9ec2bc7
5,2486,Task5CM,f9ec2bc7
3,696,Task5CM,f9ec2bc7
4,126,Task5CM,f9ec2bc7
5,838,Task5CM,f9ec2bc7
4,21,Task5CM,f9ec2bc7
6,124,Task5CM,f9ec2bc7
5,3274,Task5CM,f9ec2bc7
6,23,Task5CM,f9ec2bc7
5,182,Task5CM,f9ec2bc7
4,804,Task5CM,f9ec2bc7
3,663,Task5CM,f9ec2bc7
4,0,Task5CM,f9ec2bc7
5,155,Task5CM,f9ec2bc7
4,231,Task5CM,f9ec2bc7
6,277,Task5CM,f9ec2bc7
4,0,Task5CM,f9ec2bc7
5,412,Task5CM,f9ec2bc7
3,1300,Task5CM,f9ec2bc7
5,123,Task5CM,f9ec2bc7
4,108,Task5CM,f9ec2bc7
5,106,Task5CM,f9ec2bc7
4,0,Task5CM,f9ec2bc7
3,293,Task5CM,f9ec2bc7
4,400,Task5CM,f9ec2bc7
3,93,Task5CM,f9ec2bc7
6,139,Task5CM,f9ec2bc7
5,1461,Task5CM,f9ec2bc7
6,583,Task5CM,f9ec2bc7
5,1312,Task5CM,f9ec2bc7
7,1122,Task5CM,f9ec2bc7
5,544,Task5CM,f9ec2bc7
3,0,Task5CM,f9ec2bc7
5,401,Task5CM,f9ec2bc7
11,201,Task5CM,f9ec2bc7
6,15,Task5CM,f9ec2bc7
5,154,Task5CM,f9ec2bc7
4,901,Task5CM,f9ec2bc7
5,0,Task5CM,f9ec2bc7
7,0,Task5CM,f9ec2bc7
6,429,Task5CM,f9ec2bc7
5,1328,Task5CM,f9ec2bc7
6,45,Task5CM,f9ec2bc7
4,339,Task5CM,f9ec2bc7
5,816,Task5CM,f9ec2bc7
7,0,Task5CM,f9ec2bc7
6,432,Task5CM,f9ec2bc7
5,138,Task5CM,f9ec2bc7
6,217,Task5CM,f9ec2bc7
5,77,Task5CM,f9ec2bc7
6,184,Task5CM,f9ec2bc7
5,184,Task5CM,f9ec2bc7
6,4067,Task5CM,f9ec2bc7
5,3321,Task5CM,f9ec2bc7
6,3165,Task5CM,f9ec2bc7
7,26,Task5CM,f9ec2bc7
6,5104,Task5CM,f9ec2bc7
7,262,Task5CM,f9ec2bc7
6,1703,Task5CM,f9ec2bc7
5,157,Task5CM,f9ec2bc7
6,965,Task5CM,f9ec2bc7
5,587,Task5CM,f9ec2bc7
6,230,Task5CM,f9ec2bc7
5,1662,Task5CM,f9ec2bc7
6,15,Task5CM,f9ec2bc7
7,0,Task5CM,f9ec2bc7
6,15,Task5CM,f9ec2bc7
7,15,Task5CM,f9ec2bc7
4,504,Task5CM,f9ec2bc7
5,257,Task5CM,f9ec2bc7
6,326,Task5CM,f9ec2bc7
7,665,Task5CM,f9ec2bc7
4,137,Task5CM,f9ec2bc7
5,61,Task5CM,f9ec2bc7
6,176,Task5CM,f9ec2bc7
7,93,Task5CM,f9ec2bc7
8,615,Task5CM,f9ec2bc7
9,342,Task5CM,f9ec2bc7
7,89,Task5CM,f9ec2bc7
9,31,Task5CM,f9ec2bc7
7,0,Task5CM,f9ec2bc7
13,0,Task5CM,f9ec2bc7
15,166,Task5CM,f9ec2bc7
17,339,Task5CM,f9ec2bc7
9,16,Task5CM,f9ec2bc7
5,601,Task5CM,f9ec2bc7
3,230,Task5CM,f9ec2bc7
4,261,Task5CM,f9ec2bc7
3,0,Task5CM,f9ec2bc7
5,16,Task5CM,f9ec2bc7
6,16,Task5CM,f9ec2bc7
16,61,Task5CM,f9ec2bc7
15,46,Task5CM,f9ec2bc7
6,742,Task5CM,f9ec2bc7
7,0,Task5CM,f9ec2bc7
5,0,Task5CM,f9ec2bc7
6,62,Task5CM,f9ec2bc7
15,653,Task5CM,f9ec2bc7
18,92,Task5CM,f9ec2bc7
17,31,Task5CM,f9ec2bc7
15,354,Task5CM,f9ec2bc7
16,444,Task5CM,f9ec2bc7
15,125,Task5CM,f9ec2bc7
5,450,Task5CM,f9ec2bc7
15,634,Task5CM,f9ec2bc7
3,294,Task5CM,f9ec2bc7
16,108,Task5CM,f9ec2bc7
15,434,Task5CM,f9ec2bc7
3,0,Task5CM,f9ec2bc7
2,656,Task5CM,f9ec2bc7
15,1468,Task5CM,f9ec2bc7
16,93,Task5CM,f9ec2bc7
3,199,Task5CM,f9ec2bc7
16,46,Task5CM,f9ec2bc7
15,727,Task5CM,f9ec2bc7
5,426,Task5CM,f9ec2bc7
15,462,Task5CM,f9ec2bc7
4,217,Task5CM,f9ec2bc7
5,183,Task5CM,f9ec2bc7
6,107,Task5CM,f9ec2bc7
7,478,Task5CM,f9ec2bc7
18,156,Task5CM,f9ec2bc7
7,96,Task5CM,f9ec2bc7
10,346,Task5CM,f9ec2bc7
5,16,Task5CM,f9ec2bc7
4,0,Task5CM,f9ec2bc7
1,399,Task5CM,f9ec2bc7
0,809,Task5CM,f9ec2bc7
13,0,Task5CM,f9ec2bc7
15,16,Task5CM,f9ec2bc7
16,77,Task5CM,f9ec2bc7
15,972,Task5CM,f9ec2bc7
5,711,Task5CM,f9ec2bc7
7,212,Task5CM,f9ec2bc7
16,169,Task5CM,f9ec2bc7
15,117,Task5CM,f9ec2bc7
16,26,Task5CM,f9ec2bc7
15,309,Task5CM,f9ec2bc7
16,333,Task5CM,f9ec2bc7
