AOIName,FixationDuration,Stimulus,Participant
16,278,Task8CP,f9ec2bc7
8,16,Task8CP,f9ec2bc7
3,307,Task8CP,f9ec2bc7
0,2435,Task8CP,f9ec2bc7
1,218,Task8CP,f9ec2bc7
0,467,Task8CP,f9ec2bc7
3,155,Task8CP,f9ec2bc7
2,170,Task8CP,f9ec2bc7
1,586,Task8CP,f9ec2bc7
0,61,Task8CP,f9ec2bc7
1,1570,Task8CP,f9ec2bc7
0,2649,Task8CP,f9ec2bc7
1,529,Task8CP,f9ec2bc7
2,278,Task8CP,f9ec2bc7
0,232,Task8CP,f9ec2bc7
3,988,Task8CP,f9ec2bc7
5,754,Task8CP,f9ec2bc7
7,93,Task8CP,f9ec2bc7
11,78,Task8CP,f9ec2bc7
9,804,Task8CP,f9ec2bc7
13,215,Task8CP,f9ec2bc7
22,216,Task8CP,f9ec2bc7
21,201,Task8CP,f9ec2bc7
19,0,Task8CP,f9ec2bc7
16,262,Task8CP,f9ec2bc7
19,170,Task8CP,f9ec2bc7
9,359,Task8CP,f9ec2bc7
7,785,Task8CP,f9ec2bc7
9,77,Task8CP,f9ec2bc7
7,976,Task8CP,f9ec2bc7
9,138,Task8CP,f9ec2bc7
8,305,Task8CP,f9ec2bc7
9,169,Task8CP,f9ec2bc7
11,773,Task8CP,f9ec2bc7
9,186,Task8CP,f9ec2bc7
11,835,Task8CP,f9ec2bc7
9,15,Task8CP,f9ec2bc7
11,78,Task8CP,f9ec2bc7
7,461,Task8CP,f9ec2bc7
15,790,Task8CP,f9ec2bc7
13,0,Task8CP,f9ec2bc7
5,940,Task8CP,f9ec2bc7
7,27,Task8CP,f9ec2bc7
22,0,Task8CP,f9ec2bc7
21,61,Task8CP,f9ec2bc7
7,66,Task8CP,f9ec2bc7
2,171,Task8CP,f9ec2bc7
1,41,Task8CP,f9ec2bc7
0,429,Task8CP,f9ec2bc7
2,170,Task8CP,f9ec2bc7
5,15,Task8CP,f9ec2bc7
7,3074,Task8CP,f9ec2bc7
9,263,Task8CP,f9ec2bc7
5,16,Task8CP,f9ec2bc7
11,18,Task8CP,f9ec2bc7
7,1865,Task8CP,f9ec2bc7
5,657,Task8CP,f9ec2bc7
7,447,Task8CP,f9ec2bc7
5,61,Task8CP,f9ec2bc7
7,278,Task8CP,f9ec2bc7
13,76,Task8CP,f9ec2bc7
15,0,Task8CP,f9ec2bc7
7,1662,Task8CP,f9ec2bc7
5,277,Task8CP,f9ec2bc7
7,589,Task8CP,f9ec2bc7
8,323,Task8CP,f9ec2bc7
9,0,Task8CP,f9ec2bc7
7,325,Task8CP,f9ec2bc7
21,44,Task8CP,f9ec2bc7
22,78,Task8CP,f9ec2bc7
21,47,Task8CP,f9ec2bc7
5,2970,Task8CP,f9ec2bc7
7,984,Task8CP,f9ec2bc7
21,156,Task8CP,f9ec2bc7
7,3370,Task8CP,f9ec2bc7
13,0,Task8CP,f9ec2bc7
7,660,Task8CP,f9ec2bc7
15,191,Task8CP,f9ec2bc7
9,541,Task8CP,f9ec2bc7
5,139,Task8CP,f9ec2bc7
21,371,Task8CP,f9ec2bc7
9,0,Task8CP,f9ec2bc7
5,970,Task8CP,f9ec2bc7
11,634,Task8CP,f9ec2bc7
5,554,Task8CP,f9ec2bc7
9,450,Task8CP,f9ec2bc7
7,416,Task8CP,f9ec2bc7
5,1686,Task8CP,f9ec2bc7
11,385,Task8CP,f9ec2bc7
5,4163,Task8CP,f9ec2bc7
9,0,Task8CP,f9ec2bc7
5,587,Task8CP,f9ec2bc7
7,25,Task8CP,f9ec2bc7
5,2583,Task8CP,f9ec2bc7
7,1667,Task8CP,f9ec2bc7
2,15,Task8CP,f9ec2bc7
5,3052,Task8CP,f9ec2bc7
7,353,Task8CP,f9ec2bc7
2,0,Task8CP,f9ec2bc7
1,676,Task8CP,f9ec2bc7
5,602,Task8CP,f9ec2bc7
2,184,Task8CP,f9ec2bc7
0,140,Task8CP,f9ec2bc7
7,1002,Task8CP,f9ec2bc7
6,175,Task8CP,f9ec2bc7
18,0,Task8CP,f9ec2bc7
2,0,Task8CP,f9ec2bc7
5,0,Task8CP,f9ec2bc7
9,216,Task8CP,f9ec2bc7
8,761,Task8CP,f9ec2bc7
6,16,Task8CP,f9ec2bc7
13,116,Task8CP,f9ec2bc7
9,30,Task8CP,f9ec2bc7
7,503,Task8CP,f9ec2bc7
6,259,Task8CP,f9ec2bc7
7,15,Task8CP,f9ec2bc7
9,229,Task8CP,f9ec2bc7
11,0,Task8CP,f9ec2bc7
5,211,Task8CP,f9ec2bc7
7,1324,Task8CP,f9ec2bc7
5,16,Task8CP,f9ec2bc7
7,882,Task8CP,f9ec2bc7
5,125,Task8CP,f9ec2bc7
0,78,Task8CP,f9ec2bc7
1,232,Task8CP,f9ec2bc7
7,295,Task8CP,f9ec2bc7
5,4349,Task8CP,f9ec2bc7
0,0,Task8CP,f9ec2bc7
5,1068,Task8CP,f9ec2bc7
9,31,Task8CP,f9ec2bc7
7,2802,Task8CP,f9ec2bc7
23,183,Task8CP,f9ec2bc7
