Task,Type,Difficulty,ParticipantID
Task1,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task2,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task3,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task4,CM,4,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task5,CM,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task6,CM,4,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task7,CP,2,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task8,CP,3,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task9,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task10,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task11,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task12,CP,1,615db7bf-3727-4ad8-a57f-4b18d9d94739
Task1,CP,1,1ce913d5-069e-4146-9f00-0e5864133078
Task2,CP,2,1ce913d5-069e-4146-9f00-0e5864133078
Task3,CP,3,1ce913d5-069e-4146-9f00-0e5864133078
Task4,CP,2,1ce913d5-069e-4146-9f00-0e5864133078
Task5,CP,3,1ce913d5-069e-4146-9f00-0e5864133078
Task6,CP,2,1ce913d5-069e-4146-9f00-0e5864133078
Task7,CM,3,1ce913d5-069e-4146-9f00-0e5864133078
Task8,CM,3,1ce913d5-069e-4146-9f00-0e5864133078
Task9,CM,3,1ce913d5-069e-4146-9f00-0e5864133078
Task10,CM,1,1ce913d5-069e-4146-9f00-0e5864133078
Task11,CM,5,1ce913d5-069e-4146-9f00-0e5864133078
Task12,CM,1,1ce913d5-069e-4146-9f00-0e5864133078
Task1,CM,2,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task2,CM,2,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task3,CM,4,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task4,CM,4,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task5,CM,5,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task6,CM,4,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task7,CP,5,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task8,CP,2,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task9,CP,3,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task10,CP,1,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task11,CP,3,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task12,CP,1,f9ec2bc7-062a-49b5-9a15-8a0d6b5e18de
Task1,CP,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task2,CP,3,9679a6e6-f970-447c-802a-86f7f518f29c
Task3,CP,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task4,CP,3,9679a6e6-f970-447c-802a-86f7f518f29c
Task5,CP,5,9679a6e6-f970-447c-802a-86f7f518f29c
Task6,CP,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task7,CM,2,9679a6e6-f970-447c-802a-86f7f518f29c
Task8,CM,1,9679a6e6-f970-447c-802a-86f7f518f29c
Task9,CM,3,9679a6e6-f970-447c-802a-86f7f518f29c
Task10,CM,1,9679a6e6-f970-447c-802a-86f7f518f29c
Task11,CM,4,9679a6e6-f970-447c-802a-86f7f518f29c
Task12,CM,1,9679a6e6-f970-447c-802a-86f7f518f29c
