Task,Comment Contribution,ParticipantID
Task1,5,1ce913d5-069e-4146-9f00-0e5864133078
Task2,5,1ce913d5-069e-4146-9f00-0e5864133078
Task3,4,1ce913d5-069e-4146-9f00-0e5864133078
Task4,4,1ce913d5-069e-4146-9f00-0e5864133078
Task5,4,1ce913d5-069e-4146-9f00-0e5864133078
Task6,4,1ce913d5-069e-4146-9f00-0e5864133078
Task7,2,1ce913d5-069e-4146-9f00-0e5864133078
Task8,2,1ce913d5-069e-4146-9f00-0e5864133078
Task9,3,1ce913d5-069e-4146-9f00-0e5864133078
Task10,3,1ce913d5-069e-4146-9f00-0e5864133078
Task11,5,1ce913d5-069e-4146-9f00-0e5864133078
Task12,2,1ce913d5-069e-4146-9f00-0e5864133078
