Task,Type,Difficulty,ParticipantID
Task1,CP,1,1ce913d5-069e-4146-9f00-0e5864133078
Task2,CP,2,1ce913d5-069e-4146-9f00-0e5864133078
Task3,CP,3,1ce913d5-069e-4146-9f00-0e5864133078
Task4,CP,2,1ce913d5-069e-4146-9f00-0e5864133078
Task5,CP,3,1ce913d5-069e-4146-9f00-0e5864133078
Task6,CP,2,1ce913d5-069e-4146-9f00-0e5864133078
Task7,CM,3,1ce913d5-069e-4146-9f00-0e5864133078
Task8,CM,3,1ce913d5-069e-4146-9f00-0e5864133078
Task9,CM,3,1ce913d5-069e-4146-9f00-0e5864133078
Task10,CM,1,1ce913d5-069e-4146-9f00-0e5864133078
Task11,CM,5,1ce913d5-069e-4146-9f00-0e5864133078
Task12,CM,1,1ce913d5-069e-4146-9f00-0e5864133078
