Task,Comment Contribution,ParticipantID
Task1,1,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task2,4,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task3,5,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task4,4,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task5,3,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task6,5,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task7,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task8,3,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task9,4,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task10,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task11,4,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task12,1,1d1071e4-7420-4ae4-b761-89c85bf3ab57
