Task,Type,Difficulty,ParticipantID
Task1,CP,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task2,CP,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task3,CP,1,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task4,CP,3,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task5,CP,4,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task6,CP,4,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task7,CM,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task8,CM,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task9,CM,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task10,CM,2,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task11,CM,3,1d1071e4-7420-4ae4-b761-89c85bf3ab57
Task12,CM,1,1d1071e4-7420-4ae4-b761-89c85bf3ab57
