Task,Comment Contribution,ParticipantID
Task1,2,1de0f518-4e16-4de9-8219-d710cf64b71f
Task2,3,1de0f518-4e16-4de9-8219-d710cf64b71f
Task3,2,1de0f518-4e16-4de9-8219-d710cf64b71f
Task4,3,1de0f518-4e16-4de9-8219-d710cf64b71f
Task5,2,1de0f518-4e16-4de9-8219-d710cf64b71f
Task6,4,1de0f518-4e16-4de9-8219-d710cf64b71f
Task7,1,1de0f518-4e16-4de9-8219-d710cf64b71f
Task8,1,1de0f518-4e16-4de9-8219-d710cf64b71f
Task9,4,1de0f518-4e16-4de9-8219-d710cf64b71f
Task10,3,1de0f518-4e16-4de9-8219-d710cf64b71f
Task11,5,1de0f518-4e16-4de9-8219-d710cf64b71f
Task12,5,1de0f518-4e16-4de9-8219-d710cf64b71f
