Task,Type,Difficulty,ParticipantID
Task1,CP,5,1de0f518-4e16-4de9-8219-d710cf64b71f
Task2,CP,4,1de0f518-4e16-4de9-8219-d710cf64b71f
Task3,CP,3,1de0f518-4e16-4de9-8219-d710cf64b71f
Task4,CP,4,1de0f518-4e16-4de9-8219-d710cf64b71f
Task5,CP,5,1de0f518-4e16-4de9-8219-d710cf64b71f
Task6,CP,5,1de0f518-4e16-4de9-8219-d710cf64b71f
Task7,CM,2,1de0f518-4e16-4de9-8219-d710cf64b71f
Task8,CM,1,1de0f518-4e16-4de9-8219-d710cf64b71f
Task9,CM,2,1de0f518-4e16-4de9-8219-d710cf64b71f
Task10,CM,3,1de0f518-4e16-4de9-8219-d710cf64b71f
Task11,CM,2,1de0f518-4e16-4de9-8219-d710cf64b71f
Task12,CM,4,1de0f518-4e16-4de9-8219-d710cf64b71f
