Task,Type,Difficulty,ParticipantID
Task1,CM,4,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task2,CM,2,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task3,CM,5,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task4,CM,3,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task5,CM,3,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task6,CM,3,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task7,CP,3,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task8,CP,1,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task9,CP,1,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task10,CP,1,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task11,CP,2,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
Task12,CP,1,45c939e2-e7fc-4728-b3e9-b2ed5380a6cd
