Task,Comment Contribution,ParticipantID
Task1,4,4d750b0b-717b-4190-a74f-e8c6189a082f
Task2,2,4d750b0b-717b-4190-a74f-e8c6189a082f
Task3,2,4d750b0b-717b-4190-a74f-e8c6189a082f
Task4,5,4d750b0b-717b-4190-a74f-e8c6189a082f
Task5,4,4d750b0b-717b-4190-a74f-e8c6189a082f
Task6,5,4d750b0b-717b-4190-a74f-e8c6189a082f
Task7,5,4d750b0b-717b-4190-a74f-e8c6189a082f
Task8,2,4d750b0b-717b-4190-a74f-e8c6189a082f
Task9,4,4d750b0b-717b-4190-a74f-e8c6189a082f
Task10,5,4d750b0b-717b-4190-a74f-e8c6189a082f
Task11,3,4d750b0b-717b-4190-a74f-e8c6189a082f
Task12,2,4d750b0b-717b-4190-a74f-e8c6189a082f
