Task,Comment Contribution,ParticipantID
Task1,1,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task2,5,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task3,2,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task4,4,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task5,4,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task6,4,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task7,1,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task8,1,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task9,4,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task10,1,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task11,2,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
Task12,1,5e4ae544-c0e0-434a-b361-f1bb9399dcb0
